;logFC;AveExpr;t;P.Value;adj.P.Val;B
lnc-GLRB-2;1.69734000000004;5.7724405;6.52238247221816;0.000261687085120304;0.00558150183774385;0.835613716453248
SNORD83B;1.43660000000001;9.702694;6.51583564215149;0.000263373952416225;0.00558150183774385;0.828848054870509
MDH1B;1.51314450000003;9.96120075;6.44558498826646;0.000282258764601795;0.00587408531452314;0.755906034943627
lnc-SFTPD-2;1.51293350000003;8.54667475;6.43835243710898;0.000284287250551634;0.00587408531452314;0.748360605600254
N4BP2L2-IT2;1.47685150000001;6.05573625;6.42027710944511;0.000289428211934338;0.00594055126069555;0.729473993862073
LNCSRLR;1.36954850000001;6.69140775;6.41448384796157;0.000291097793173829;0.00594055126069555;0.723411825397578
DUXAP10;1.36584450000001;7.62171125;6.39909264091118;0.000295585835321587;0.00599513356793354;0.70728521172198
SCARNA1;1.3530055;5.20292925;6.37192005274954;0.000303698842782797;0.00609917950833886;0.678739666508072
lnc-CDKAL1-1;1.64734650000004;8.16030425;6.36638337184855;0.000305382211825222;0.00609917950833886;0.672911520581647
TNFRSF9;1.3599335;8.78900025;6.36354116326755;0.000306250392735708;0.00609917950833886;0.669918148246909
LINC00504;1.49412725000003;13.171384375;6.32550044295473;0.000318139038033449;0.00622347727655965;0.6297532589019
lnc-AC069257.9.1-5;1.47181650000003;7.95585475;6.31869964268273;0.000320318183049386;0.00622691387750966;0.62255286498789
lnc-ZWINT-1;1.50352300000004;9.694096;6.31276821751174;0.000322232342719567;0.00622691387750966;0.616268002749368
lnc-RAP1GDS1-2;1.63344849999997;5.65091925;6.30506609805268;0.000324736978491904;0.00622691387750966;0.608100080781654
XLOC_l2_015716;1.47730550000003;5.77249675;6.27961595428325;0.0003331685711973;0.00624708146617736;0.581055606708168
SNORA11B;1.3750185;8.54541175;6.27577354195507;0.000334462619332545;0.00624708146617736;0.576965112276371
SNORA11D;1.40755999999999;9.453542;6.26883781203666;0.000336812633962824;0.00625563240382637;0.569576677580045
LINC00472;1.3239015;8.23329825;6.24773911217852;0.000344075280740132;0.00631951598959377;0.547061966714658
ST6GAL1;1.63277949999996;7.38188425;6.2417374158152;0.000346172942708328;0.00632291573808692;0.540646769499599
PLCB4;1.32468624999999;9.656312625;6.22907449938775;0.000350645666315334;0.00636942072988184;0.527095827881295
LRRC61;1.37472499999999;9.505649;6.21588400858814;0.000355373286905571;0.00642002233065474;0.512957795741374
JRKL-AS1;1.39606499999998;5.36984;6.19698385294211;0.000362271513339574;0.00650450588455141;0.492659812335149
SCARNA20;1.450764;8.375389;6.19235191398946;0.000363984751555357;0.00650450588455141;0.487678077795341
LINC01949;1.34859750000002;12.90870675;6.16100261273302;0.00037581999152944;0.00667989726879746;0.453886388990387
SNORD16;1.54149400000001;9.113142;6.13694215121674;0.000385194230690867;0.00680035386122663;0.427862586538882
SNORA37;1.63461099999999;8.720238;6.12949777485647;0.000388147146675865;0.00680035386122663;0.419795077912986
BIRC3;1.4774165;10.02467925;6.1279407045509;0.000388767961213501;0.00680035386122663;0.418106735119925
ABCA9;1.37706400000002;13.866878;6.11237429527184;0.000395035510952852;0.00687361789057963;0.401210109343169
XLOC_l2_010831;1.35420249999998;5.42806925;6.09663255296003;0.000401488222541614;0.0069493197053538;0.384090108714655
lnc-NDUFV3-1;1.2842585;5.27029425;6.01708762966841;0.000435940859082956;0.00735204587731026;0.297069777979496
lnc-THEMIS-1;1.661908;6.5123565;6.01378272566687;0.000437441800146045;0.00735204587731026;0.29343575279596
TRPM2;1.29533349999999;9.02140775;5.97784390351528;0.000454139996972333;0.00742616993011567;0.253821972835791
LINC00513;1.28896099999999;7.20162475;5.96961589436687;0.000458061911095066;0.00742616993011567;0.244727823900894
LOXL4;1.43036749999997;9.43149975;5.95595788148494;0.000464655462290178;0.00742616993011567;0.229611639290312
LINC01684;1.32646750000002;13.64811725;5.95529536454842;0.000464977972030836;0.00742616993011567;0.2288777409226
TCL1B;1.67385550000005;5.93562325;5.9451006397822;0.000469972216525565;0.00746984686458423;0.217577027747924
lnc-KANK4-1;1.38504000000002;5.6763315;5.91268564509632;0.000486252320315211;0.00765500081410518;0.181550688284362
LAPTM5;1.2532145;11.67834275;5.90127982491791;0.000492129072921012;0.00771079959752069;0.168839780843331
lnc-HDGFL1-1;1.26408800000001;5.2946935;5.88750352711213;0.000499332680288277;0.00775316549421612;0.153463247038488
GOLGA8Q;1.57576000000003;6.29238;5.87733401940851;0.000504725474998187;0.00775316549421612;0.142095653923436
lnc-FAM22B-1;1.33961350000002;5.93204975;5.87019496042659;0.000508549906250892;0.00775316549421612;0.134106991055611
COL8A1;1.30078749999999;10.02410525;5.86935932963521;0.000508999658933945;0.00775316549421612;0.133171452744309
SCARNA16;1.32444349999999;9.81133825;5.867729195748;0.000509878301017585;0.00775316549421612;0.131346142895705
XLOC_l2_015760;1.39676575000001;7.060124625;5.86739206298846;0.000510060225765668;0.00775316549421612;0.130968599328111
lnc-USP8-2;1.39782500000003;7.4026215;5.86519188249479;0.000511249267313707;0.00775316549421612;0.128504305270893
HNF4G;1.68912649999995;5.61560175;5.85613565996274;0.000516176042209085;0.00778111904962876;0.118353898814831
LOC100128108;1.28420650000002;6.69596925;5.80395346276144;0.000545612257162407;0.00806834664689585;0.0596451381908132
lnc-OIT3-2;1.39888175000002;6.419396875;5.79789533055252;0.000549148787661335;0.00806834664689585;0.0528047389034594
lnc-CDH16-2;1.24456150000001;6.93496675;5.7967632655097;0.000549812467258394;0.00806834664689585;0.0515259259937437
PINCR;1.29078050000002;5.56073125;5.789138298483;0.000554305918635644;0.00807284302647329;0.0429078843107709
lnc-VTI1A-3;1.80521200000006;8.86194;5.78480482585473;0.000556877830107401;0.00807472853655732;0.0380064009318435
lnc-GTF2A2-2;1.289819;6.5802755;5.77742453028125;0.00056128858229122;0.00810314433648373;0.0296526882800157
C6orf48;1.23357274999999;13.316801625;5.76612802898968;0.000568115125698589;0.00816575713596088;0.0168514834685345
lnc-ZSWIM7-1;1.72788500000006;6.661622;5.6978277839329;0.000611405101479087;0.00861699357498944;-0.0609280823641418
GPR135;1.28385100000002;7.95306;5.69304658671539;0.000614569904837994;0.00861699357498944;-0.0663974675087253
IGF1R;1.2567665;8.61754875;5.6892674074092;0.000617084308826211;0.00861699357498944;-0.0707228932139667
lnc-ACOT9-2;1.26581200000002;6.16364;5.68697622675999;0.000618614258016557;0.00861699357498944;-0.0733462262932294
DUXAP9;1.23460899950001;7.19407016675;5.68439917492625;0.000620340130322894;0.00861699357498944;-0.0762977601566348
lnc-RP3-377D14.1.1-3;1.44812500000004;7.013843;5.6622285014378;0.000635410653392019;0.00878940426825947;-0.101728970682482
lnc-PXDNL-1;1.46366549999999;7.10151825;5.65105509352835;0.000643159360291281;0.00885952018801239;-0.114571997954881
LOC105369147;1.24888650000001;9.16245575;5.62714006006806;0.000660099021347577;0.00898776928691239;-0.142120189400999
RALGPS2;1.21098750000001;7.24637525;5.61682694569563;0.000667556287656653;0.00898776928691239;-0.154025172534694
lnc-MYC-2;1.39921050000004;7.753361;5.61641509832034;0.000667856022354352;0.00898776928691239;-0.154500904681122
lnc-TM9SF2-2;1.86325350000007;6.87622225;5.57885066436743;0.00069583268346697;0.00919366168060566;-0.197994007690915
LPP;1.27913625000001;7.963070625;5.57645064534135;0.000697663797733073;0.00919366168060566;-0.20077966573638
lnc-TWSG1-1;1.30271149999999;5.59152225;5.57302661558868;0.000700285442530214;0.00919366168060566;-0.204755301028364
CD70;1.27666950000002;13.39554475;5.54222767198499;0.000724364065770669;0.00927562610751891;-0.240591413638648
ST6GALNAC3;1.19010124999999;6.437054125;5.53558594243436;0.000729675986051246;0.00927562610751891;-0.24833723826856
PARGP1;1.27652650000002;6.3445605;5.48472574111444;0.000771813553227436;0.00964431767285788;-0.307862682697563
LOC284581;1.31322650000002;9.79005625;5.48326568994962;0.000773062366396654;0.00964431767285788;-0.309576995949611
TLR4;1.16979225;8.708801375;5.46970703724143;0.000784766867619011;0.00974486084857584;-0.325511547853846
KLF17;1.19717900000002;12.846292;5.46477937660899;0.000789069185286003;0.00974486084857584;-0.331309274921098
ZBED2;1.43631499999996;9.6434875;5.46375764373196;0.000789964521300159;0.00974486084857584;-0.332511852765681
TNFRSF19;1.56515700000005;5.8438395;5.44568903084043;0.000805985214972641;0.00979627617904246;-0.353803554566012
LINC02516;1.1561655;5.54959625;5.42575411086774;0.00082407936033274;0.00986220797879889;-0.377349399355587
