,GSM758901,GSM758908,GSM758921,GSM758928,GSM758961,GSM758973
POTEI,-0.6482833,-0.51949996,1.4361444,0.5539472,-1.2550634,-0.82567096
FNTB,0.1441536,0.046462536,-1.0385079,-0.62298775,-0.71597147,-0.19139385
NFATC2IP,0.23420525,-0.26831198,0.6784816,0.65149355,-0.59758234,0.45285273
POTEE,-0.6634931,-0.59155315,1.4600365,0.42121482,-1.3265768,-0.96253
NEK2,0.7465818,1.6617856,-0.29804993,-1.237534,-3.1253464,-0.659199
MAP3K9,0.5094924,0.12106037,-0.023297787,-0.096899986,-0.13256073,0.06663132
TNFRSF4,3.1175785,1.0443153,0.52860737,3.4822025,2.8237448,3.973218
MAP3K7,-0.19839478,0.051031113,-0.6049423,-0.3036852,0.6586971,-0.06338692
MAP3K5,-1.1425648,-1.1953583,0.18272495,0.46536064,0.060390472,-1.0336533
KCNH2,-0.5480443,-0.3755585,1.6362454,0.5847591,-1.2882148,-0.7711597
FBXW4,0.07502079,-0.2643404,0.1929903,0.44196987,0.06276417,0.11415863
KCNH5,-0.6557721,-0.47147995,1.4840235,0.6047307,-1.2541956,-0.7463196
FBXW8,0.4634285,0.16842794,3.4824324,0.89687777,-0.1759243,0.009916306
KCNH6,0.12985086,0.70783186,-1.327101,-0.10147047,-0.92403364,-1.1419635
FBXO16,2.44706,2.7045484,4.2915497,4.1391563,3.5992537,2.4310188
FBXO17,0.69332504,0.63596916,0.21007538,-0.08294678,0.43720818,0.6505022
FBXO15,1.0407047,1.5140109,-2.182616,0.41178608,0.7307005,1.8686676
SRCIN1,0.5748284,0.3234806,0.69369364,-0.19483972,0.45234394,0.9875963
FBXO11,-0.2829075,-1.0817237,-0.5983448,0.7806721,-1.315918,-0.10561085
PIAS1,-0.018356323,-0.20394516,-0.023724556,0.69403267,-0.16490555,0.285594
MSH6,-0.053527832,0.30477715,0.070342064,0.17457771,0.07810974,0.06888676
NPAS4,0.08466053,-0.39705718,1.3337483,0.38843405,0.9336164,0.9380915
MSH2,0.14156342,0.49024773,0.16808128,0.5655403,1.0365753,0.20525455
PKP3,-0.19682574,-0.94712925,-0.11977315,-0.22010565,0.0959816,-0.84524775
KCNE1,0.55621624,0.72629166,-3.7743158,-2.2782664,-0.5532856,0.7048397
BLM,-0.47273397,-0.01924324,-0.43207932,0.19986916,-1.1997881,-0.84344053
GSTT2,-0.3351574,0.8224397,-0.5264034,1.1642418,1.892746,1.6237001
FBXO46,-0.18953514,-0.03366089,0.30978584,0.5833168,0.6111212,0.23895168
NPAS1,-0.006243229,-0.9379158,-0.4019513,-1.2922548,-1.3370509,0.000726
CCDC144A,1.0000038,0.37939167,0.19904089,0.31044674,-0.372859,-0.2526915
FBXO42,-0.043226242,0.19145012,0.13932991,-0.021720886,0.43934536,-0.089497566
NDOR1,0.7038803,0.6213341,0.82074547,-0.2824173,0.0454607,0.43351078
ZKSCAN8,-0.07108283,-0.38949275,0.15123367,0.7517686,-2.139771,-1.3048911
ZKSCAN3,0.1621232,0.6909189,0.34976912,0.5501456,0.41621494,-0.21347284
ZKSCAN2,0.074845076,0.25889635,0.5947442,0.1871345,0.62664557,0.053012133
CERT1,-1.1208382,-0.81557655,-1.0081415,-0.92001534,-1.4826326,-0.900774
ZKSCAN1,-0.111564636,-0.100450516,0.16688538,0.35798645,0.7644167,-0.09396839
NEK8,-2.10325,-1.7374456,-1.2244473,-2.417225,-3.7210412,-0.9537194
LINC01485,-0.17160106,-1.4703707,-0.110081196,0.58070374,-0.69669175,-0.058665037
