"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SERPING1",-1.526632525,-1.6438875,-7.21984216192877,0.000226225575479519,0.0147457943289832,1.07012381432649
"PRLR",-1.71060605,-1.35713554666667,-7.08800881871578,0.000252457500243231,0.0159716495006821,0.953605291004232
"TLR7",-3.814034925,-4.06503613333333,-6.92293368381623,0.000290303929244137,0.0173456597723372,0.804997726285746
"USP27X",-1.623824525,-2.53216555,-6.89026048820175,0.000298535070841943,0.0176738239646152,0.775220330694992
"VNN2",-4.464437175,-4.39534795,-6.84286256999281,0.000310950041158586,0.0179090085847958,0.731806788623714
"SLED1",-2.744678625,-2.47424833333333,-6.84003192777093,0.000311709781146189,0.0179090085847958,0.729205950457074
"CXCL10",-4.265620825,-4.18377125,-6.81523791675021,0.000318455073230035,0.0179090085847958,0.706385423492752
"TNFSF10",-3.333590175,-3.31583795,-6.8126831242636,0.000319159458740355,0.0179090085847958,0.704029953981932
"IFITM1",-3.1348982,-3.4126044,-6.78316148185892,0.000327428221366755,0.0179929201176889,0.676756831694613
"CD55",-1.487756875,-1.47174741666667,-6.77757615423766,0.000329019769702043,0.0179929201176889,0.671585553979225
"EMP2",-3.014260675,-3.31263775,-6.73309575175193,0.000342011915440766,0.0183916907528272,0.630273014750418
"PTGS2",-2.412393,-2.40101611666667,-6.62324746448662,0.000376660520459849,0.0197608970611984,0.527253293971699
"ZDHHC11",-1.5502577,-1.25387327666667,-6.54210659351845,0.000404810756111715,0.0208979504735112,0.450235485021317
"PLB1",-2.43300915,-2.6382916,-6.47580096415109,0.000429588290405799,0.0216572909217861,0.386710036107313
"RAB27A",-1.321493975,-1.086539975,-6.43015031608107,0.000447644143657001,0.0220507454886918,0.342662395320735
"GCH1",-2.211009925,-1.901046155,-6.3858144559916,0.000466005241001909,0.0226100136856039,0.299638499093915
"CSF3R",-2.291086575,-2.37224493333333,-6.32533177052629,0.000492441865720925,0.0235387211814602,0.240553378464763
"MYD88",-1.333762875,-1.13997967,-6.25364490657667,0.000525995948259059,0.0246219658140465,0.169931383524382
"PLAC8",-1.824480525,-2.08503063333333,-6.2270429128537,0.000539098434907785,0.0250273539601434,0.143559943489256
