"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SERPINI1",2.37642064,2.14792726666667,8.78208996610013,3.75698408149531e-06,5.3283117094262e-05,4.63307844627864
"SBNO2",1.50517274,1.56344975555556,8.73694151569367,3.94172034389867e-06,5.5536946242747e-05,4.58261022709474
"C1RL",2.14735566,2.1088471,8.70239508384592,4.08972205214215e-06,5.72472373155603e-05,4.54385015086498
"SEMA7A",3.96737738,4.15090323333333,8.697817525911,4.1097805685525e-06,5.73205128970714e-05,4.53870492303519
"DTX2",1.91140366,1.80150361111111,8.69714821251209,4.11272237274819e-06,5.73205128970714e-05,4.53795242353825
"CRISPLD2",2.82399912,3.0465335,8.67361883479142,4.21760416595544e-06,5.84299629097807e-05,4.51146888597848
"NBN",2.34755764,2.36207232222222,8.64852930452619,4.33264216295863e-06,5.97404698238718e-05,4.48316534594775
"C15orf48",3.86262434,4.04528668888889,8.64004441587707,4.37231193760031e-06,5.9874530502901e-05,4.4735785521143
"BTN3A3",1.856674,1.79560925111111,8.63234176455893,4.40866543558622e-06,6.01461269679448e-05,4.46486901496275
"NMI",1.998275,2.06457286666667,8.62687118923924,4.43468325700766e-06,6.03734410495157e-05,4.45867953008693
"TSPAN13",2.60115078,2.64079988888889,8.57463285036481,4.69167638831172e-06,6.28120077464222e-05,4.39941695566119
"IL4R",1.67946968,1.7368626,8.53289189045151,4.90862697992555e-06,6.53448113915045e-05,4.351854969558
"CCNO",3.20616578,3.08367066666667,8.5125633122729,5.01820000782308e-06,6.63574685460704e-05,4.32862410373499
"EREG",2.96621724,3.21431827777778,8.50303571724607,5.07046403538935e-06,6.69114609823466e-05,4.31772103459092
"FERMT2",2.98509278,2.88192408888889,8.50097904969034,5.08182316669172e-06,6.69244997850237e-05,4.31536617386671
"VEGFA",1.87658082,2.09954082222222,8.44943450241882,5.37570244566526e-06,6.97976013719877e-05,4.25619971266849
"LINC00869",2.03422378,2.11688985555556,8.43898517998782,5.43749401617075e-06,7.04581302938752e-05,4.24417031743757
"LIMK2",2.24917774,2.22356012222222,8.43664753333778,5.45142260306778e-06,7.049705422364e-05,4.24147757215651
"CAMTA1",3.15951652,2.99493147777778,8.42963368418762,5.49344617840968e-06,7.07569025734085e-05,4.23339473953857
"THAP10",1.95054246,1.96562687777778,8.4130382557855,5.59428156771381e-06,7.17691828160183e-05,4.21424876842401
"THAP2",1.54116486,1.44192159333333,8.40671278451901,5.63324178983818e-06,7.21256136306067e-05,4.2069432735606
"PTPRN2",1.9219026,2.42273406666667,8.40488797955305,5.64453577171488e-06,7.21271075938141e-05,4.20483493858163
"NECTIN3",2.68891576,2.71546306666667,8.40195638708744,5.66273119096741e-06,7.22166094373768e-05,4.20144709080976
"F11R",2.16272202,2.19059328888889,8.39455529091255,5.70895052550481e-06,7.26624413039104e-05,4.19288997557152
"TMPRSS3",3.80894492,3.95076037777778,8.37220473642699,5.85102527044393e-06,7.41781258746065e-05,4.16701216094805
"BCL2A1",2.29513742,2.41619195555556,8.36569022493019,5.89315290384242e-06,7.4565717036265e-05,4.1594593064894
"TRIL",3.88237384,3.84886748888889,8.32498233649275,6.16395286376845e-06,7.75360386547716e-05,4.11215788401567
"TANC1",3.1184688,3.10537708888889,8.31203448473351,6.25288628941782e-06,7.85017027735665e-05,4.09707474871522
"CAPSL",1.63520688,1.54949134444444,8.29402090844269,6.37893251240064e-06,7.99286436942162e-05,4.07605980103669
"SIPA1L1",1.88845198,1.89960246666667,8.28777244717822,6.42329514443556e-06,8.03285340446564e-05,4.0687618863068
"MAGI2-AS3",2.67540796,2.48962914,8.28581592395996,6.43725458047822e-06,8.03473961466653e-05,4.06647587191422
"SPINT1",2.0576277,1.85929033777778,8.27392982082597,6.52276868571497e-06,8.11010141212306e-05,4.05257898878982
"NFKB2",2.76550144,2.67181926666667,8.2668235699116,6.57448111790229e-06,8.15867820265837e-05,4.0442631110797
"HARS1",1.76846008,1.78129292222222,8.25547817522702,6.65796406728714e-06,8.24641883420421e-05,4.03097491952826
"CAVIN1",1.90038242,2.11637412222222,8.2472066776298,6.7195513432227e-06,8.27505053775117e-05,4.02127801423842
"RABGAP1L",1.7774288,2.02849958888889,8.24518167866186,6.73472270106267e-06,8.27793630284903e-05,4.0189028959287
"ST20",2.21775494,2.36739116666667,8.2382089253448,6.78724708214039e-06,8.32663601160683e-05,4.0107210826837
"FSCN1",4.98214206,4.76029542222222,8.2301064030939,6.84883937789053e-06,8.37037130786508e-05,4.00120681858566
"FMOD",2.83542984,3.0273537,8.21803248459717,6.9417458832539e-06,8.46788018613183e-05,3.9870156598331
"LHX2",2.07987196,1.9318806,8.21336786642106,6.97800374982377e-06,8.49604871653071e-05,3.98152872524513
"NINJ1",1.8559746,1.90579374444444,8.14878940169464,7.50159794359982e-06,9.09921269361835e-05,3.90531612191262
"BEGAIN",3.58175506,3.42579517777778,8.13144242904631,7.6493826376174e-06,9.24372025478372e-05,3.8847643399295
"TOMM34",3.06116504,3.17816047777778,8.12109094187646,7.73906906739803e-06,9.31720386043274e-05,3.87248430560601
"PARP14",2.52863776,2.57012444444444,8.07779435614848,8.12671910850429e-06,9.69347844864661e-05,3.82099017409021
"PROSER2",1.97372352,2.03621298888889,8.0637155347117,8.2572580436197e-06,9.81290721095358e-05,3.80420001250078
"ZDHHC11",1.55060798,1.53455156666667,8.05886820312907,8.30272604505169e-06,9.8488035236615e-05,3.79841396022108
"CD5",3.14773326,3.08404025555556,8.05335949304425,8.35472682092101e-06,9.89230315145014e-05,3.79183520708379
"CUL1",2.41520118,2.11817687777778,8.04169270405581,8.4660252251455e-06,9.98743341460035e-05,3.77789079794934
"ALPK3",2.5494113,2.53704283333333,8.03693416294401,8.51188017167707e-06,0.000100049476772008,3.77219883276268
"PTGER4",1.95187206,1.96580558888889,8.02939963037337,8.58503591842204e-06,0.000100657737199228,3.76318106596966
"PDE4DIPP2",1.95151536,1.77041465555556,8.02839657563237,8.59482615787609e-06,0.000100657737199228,3.76198006342382
"RHOF",3.10622606,2.92066536222222,7.98879075783522,8.99121542851288e-06,0.000104729807148364,3.71446634250836
"SLFN5",1.91033642,2.15026173333333,7.95924139123536,9.29982556640682e-06,0.000107547982759898,3.67889989185823
"GART",1.62835236,1.65121904444444,7.93284325529656,9.58522612757627e-06,0.000110650204295617,3.64704137330869
