,GSM758903,GSM758910,GSM758914,GSM758924,GSM758944,GSM758951,GSM758956,GSM758964,GSM758968
FBXO17,0.74059296,0.64070415,-0.16165257,0.14410973,0.25738811,1.0522766,1.269247,0.6398506,1.4508114
FBXO15,-0.3386364,-0.6889415,-0.55130196,0.35429525,-1.2464137,0.001134872,-0.39366102,-1.3757699,0.38501072
SRCIN1,-1.3254824,0.034511805,0.89182854,-0.16574693,-0.32853484,0.96840954,2.6165752,-1.2454686,-0.20630193
FBXO11,0.09352875,0.40911198,-0.12385559,0.84594536,0.7047491,0.20365524,-0.017296791,0.3871174,0.41192055
PIAS1,-0.04844284,-0.110466,0.18789387,0.40209007,0.21832943,0.31270027,-0.38402462,-0.10254288,0.28666496
MSH6,-0.5105419,-0.04284954,-0.6256323,-0.021289825,0.046125412,-0.118019104,-0.44664383,0.120051384,0.35381126
NPAS4,-0.51994324,0.5394442,-1.1379668,0.5549133,0.43842554,0.9128628,3.2494094,0.28099358,-0.48448825
MSH2,-0.85226107,-0.83689165,-1.0378399,-0.4153514,-0.8915744,-0.9263315,-1.15271,-0.49323225,-0.284894
PKP3,0.05467415,-0.14060211,0.33176374,-0.8971622,-0.30542707,0.40733647,1.6883383,-1.2399236,-0.49095154
KCNE1,2.4169922,3.0550795,3.6163254,1.9913025,2.4909124,3.9672565,3.357317,3.5903568,3.0646305
BLM,0.6332092,1.9955492,-0.001704216,2.172615,1.6021175,1.6853275,-0.44178772,1.8211279,1.7030525
GSTT2,0.029855728,-1.5170074,0.79119587,-0.43538904,-1.3469596,1.1240311,0.73621845,-1.2578564,0.4577055
FBXO46,0.4704628,0.5194731,0.3803072,0.8990593,0.8447132,1.2438946,0.5661049,0.57872677,1.2410831
NPAS1,2.3497438,1.3300319,2.2559686,0.38353014,1.2280893,2.451418,2.841497,1.1620984,1.4024115
CCDC144A,0.93840694,1.0243411,0.4116578,0.1361022,0.7220931,0.7257948,2.7317276,0.13855314,0.5654383
FBXO42,0.021518707,0.38766003,0.53934383,0.496706,0.19643784,0.8009243,0.32759857,0.57107735,0.5860672
NDOR1,0.4645481,-0.36434555,-0.45293236,-0.19108391,0.057291985,0.59169006,1.0825901,-0.5003443,0.5934124
