"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"QPRT",-2.5558028,-2.39326274444444,-11.5357656268184,2.77024098248873E-07,6.95578407003882E-06,7.35687497403375
"TOP2A",-3.93770958,-3.37793222222222,-11.5056029735551,2.84198751997378E-07,7.08082836540185E-06,7.3303802707942
"SMAD3",-4.18378472,-3.83683474444444,-11.4605638183368,2.95291321702248E-07,7.24777837921563E-06,7.2906960409455
"LMO2",-3.4704893,-3.53790741111111,-11.3962268718844,3.11962395306045E-07,7.5965786298487E-06,7.23375325132455
"CD1A",-4.20187084,-4.15631763333333,-11.3730894001139,3.18206035356749E-07,7.71948701562819E-06,7.21320112673281
"PYGL",-2.1499298,-2.36819552222222,-11.2305304067623,3.59807157931149E-07,8.53616025782979E-06,7.08570146278767
"VNN2",-2.73882932,-2.49448944444444,-11.0707008029464,4.13611402498582E-07,9.67041442146142E-06,6.94095034779227
"MKI67",-4.05765382,-3.24681977555556,-11.0662691745934,4.15222876468335E-07,9.67304412220276E-06,6.93690925156689
"FITM2",-2.29559624,-2.5376515,-10.9782708901307,4.48678540124834E-07,1.03036392150375E-05,6.85635447794309
"FBXO16",-3.76578076,-3.02360462,-10.9645128258768,4.54169265848067E-07,1.03927456472255E-05,6.84370634925632
"VNN1",-6.18138656,-5.82542178888889,-10.9359030532732,4.65822722065007E-07,1.05394195316042E-05,6.81735781605651
"GPNMB",-4.4083702,-4.56897416666667,-10.9327856548974,4.67112038747685E-07,1.05394195316042E-05,6.81448297710801
"MERTK",-3.62779816,-3.52337546666667,-10.8397117534524,5.07452365025523E-07,1.14097216428909E-05,6.72830229338936
"P2RY14",-4.11834824,-3.39004941555556,-10.746705131652,5.51577827587039E-07,1.21065704810176E-05,6.64150423633826
"COLEC12",-3.2201272,-3.3049643,-10.7235591550887,5.63196362043856E-07,1.23196817771831E-05,6.61979679512574
"PTGS1",-2.35439176,-2.7052563,-10.5552382412553,6.56140331461958E-07,1.37917705502411E-05,6.46064378925483
"NAAA",-1.74269944,-1.83000797777778,-10.5437122279461,6.63089022523705E-07,1.38925761764463E-05,6.44966162810824
"PPM1L",-3.90150166,-3.80016038888889,-10.5226261218526,6.76009213826444E-07,1.41174351353464E-05,6.42954237410531
