Clinical_Group,Structural_Category_Consensus,Structure,Column,N,Mean,Median,Q1,Q3,Min,Max,Pct_DDG_gt_1,Pct_DDG_gt_2,Pct_DDG_gt_3
Pathogenic_or_likely,core,7UV0_I_Na,DDG_7UV0,20,1.5416520500000002,1.040305,0.37024375,2.03609075,-1.55792,8.663883,50.0,25.0,15.0
Pathogenic_or_likely,core,AF_humano,DDG_AF,24,6.833497958333333,4.163869999999999,2.0753925,9.822148499999999,-0.013255,32.336633,87.5,79.16666666666666,62.5
Pathogenic_or_likely,superficie,7UUY_apo,DDG_7UUY,1,2.240543,2.240543,2.240543,2.240543,2.240543,2.240543,100.0,100.0,0.0
Pathogenic_or_likely,superficie,7UUZ_ReO4_Na,DDG_7UUZ,1,-0.18552,-0.18552,-0.18552,-0.18552,-0.18552,-0.18552,0.0,0.0,0.0
Pathogenic_or_likely,superficie,7UV0_I_Na,DDG_7UV0,1,3.441013,3.441013,3.441013,3.441013,3.441013,3.441013,100.0,100.0,100.0
Pathogenic_or_likely,superficie,AF_humano,DDG_AF,2,1.357933,1.357933,0.29400800000000005,2.4218580000000003,-0.769917,3.485783,50.0,50.0,50.0
Uncertain_significance,core,7UUY_apo,DDG_7UUY,52,1.9591405000000002,1.1678715,0.0027795,2.341393,-1.512153,17.648833,53.84615384615385,26.923076923076923,21.153846153846153
Uncertain_significance,core,7UUZ_ReO4_Na,DDG_7UUZ,54,1.831559740740741,0.6494765,-0.14488475,1.95225275,-1.954833,28.563767,40.74074074074074,24.074074074074073,14.814814814814813
Uncertain_significance,core,7UV0_I_Na,DDG_7UV0,51,1.1681638039215687,0.43176,-0.282501,1.913202,-1.93488,14.054367,41.17647058823529,25.49019607843137,13.725490196078432
Uncertain_significance,core,AF_humano,DDG_AF,62,2.1259918870967742,1.3049715,0.17116975,3.0508515,-1.61866,20.28669,56.451612903225815,45.16129032258064,29.03225806451613
Uncertain_significance,superficie,7UUY_apo,DDG_7UUY,3,1.8901149999999998,1.089377,0.747021,2.63284,0.404665,4.176303,66.66666666666666,33.33333333333333,33.33333333333333
Uncertain_significance,superficie,7UUZ_ReO4_Na,DDG_7UUZ,3,4.320101,2.962693,2.6047715,5.3567265,2.24685,7.75076,100.0,100.0,33.33333333333333
Uncertain_significance,superficie,7UV0_I_Na,DDG_7UV0,3,0.40934933333333334,-0.00109,-0.14102750000000003,0.7545065,-0.280965,1.510103,33.33333333333333,0.0,0.0
Uncertain_significance,superficie,AF_humano,DDG_AF,16,0.9304340625,0.6546639999999999,0.0250005,1.2936885,-1.319027,5.105017,31.25,12.5,12.5
VUS_or_unclassified,core,7UUY_apo,DDG_7UUY,520,2.0810084192307694,1.0445674999999999,0.01049425,2.52881525,-2.948477,34.970733,51.34615384615384,32.88461538461539,20.961538461538463
VUS_or_unclassified,core,7UUZ_ReO4_Na,DDG_7UUZ,518,2.3176885579150577,1.3067335,0.00377675,3.2092894999999997,-2.96809,31.185533,56.37065637065637,38.22393822393823,27.413127413127413
VUS_or_unclassified,core,7UV0_I_Na,DDG_7UV0,516,1.9454212422480617,0.9547625,-0.0053935,2.79280475,-3.497,27.927233,49.224806201550386,33.91472868217054,22.48062015503876
VUS_or_unclassified,core,AF_humano,DDG_AF,604,2.3181348460264903,1.3589415,0.24876674999999998,3.0016232499999997,-3.14311,62.181133,55.29801324503312,38.741721854304636,25.0
VUS_or_unclassified,sitio activo,7UUY_apo,DDG_7UUY,16,2.274521625,1.7771534999999998,0.28597874999999995,3.1857754999999996,-0.819911,6.98517,62.5,37.5,25.0
VUS_or_unclassified,sitio activo,7UUZ_ReO4_Na,DDG_7UUZ,16,3.9441898749999997,3.038143,1.0529467499999998,5.1499005,0.228827,12.437733,75.0,68.75,50.0
VUS_or_unclassified,sitio activo,7UV0_I_Na,DDG_7UV0,16,2.924150875,1.8392365000000002,0.57513575,4.203363250000001,-1.274933,16.0415,68.75,43.75,37.5
VUS_or_unclassified,sitio activo,AF_humano,DDG_AF,16,1.1002361875,1.250223,-0.022542,1.779885,-0.673785,3.896443,56.25,25.0,6.25
VUS_or_unclassified,superficie,7UUY_apo,DDG_7UUY,13,1.2466527692307694,0.961775,0.525995,1.439403,-1.295857,4.377287,46.15384615384615,23.076923076923077,15.384615384615385
VUS_or_unclassified,superficie,7UUZ_ReO4_Na,DDG_7UUZ,13,1.4992748461538463,1.22901,0.744099,1.680213,-1.243957,6.766353,61.53846153846154,23.076923076923077,7.6923076923076925
VUS_or_unclassified,superficie,7UV0_I_Na,DDG_7UV0,13,0.7687873076923076,0.456181,-0.005408,1.503577,-0.617299,2.354677,46.15384615384615,15.384615384615385,0.0
VUS_or_unclassified,superficie,AF_humano,DDG_AF,151,0.715632072847682,0.451718,0.0032435,1.31908,-2.507463,4.583493,31.788079470198678,13.90728476821192,7.28476821192053
