"","Subject 1","Subject 2","Subject 3","Subject 4","Subject 5","Subject 6","Subject 7","Subject 8","Subject 9","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15"
"AC024267.3",-0.849276121583663,-0.870862096694557,-1,-0.730311073142503,-1,-1,-0.677550154297818,-1,-1,-1,-1,-0.886459681591492,-0.950734325619881,-1,-1
"AC024267.6",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.835722240985268,-1,-0.950734325619881,-1,-1
"DHRS13",0.144953332696882,0.522457463387674,0.00849679344913952,0.611398377034656,0.259951405986491,0.382588417365492,0.323492781599081,1.31373483782109,1.23631528886492,0.901580549421645,0.608943572146253,0.258191966574373,1.26938999711382,0.971068697999974,0.378733088012326
"PHF12",3.82330777626446,3.84855169639219,3.98218899032409,3.84543791776442,3.84511608250549,4.02136503866981,4.14208433275168,3.89951276354883,2.19632781787158,3.78437091522949,5.01657902870374,5.01939727310603,4.58184688113891,5.10140223928915,3.99317948963105
"AC024267.4",-0.712820072634071,-0.541030157253225,-0.409367413722612,-0.858862932954838,-0.792124255156966,-0.818647476051295,-0.677550154297818,-0.726142746283141,-1,-1,0.291166966766332,0.3537284287686,-0.533117915481514,0.93479257249259,-0.848956445103301
"AC024267.5",-1,-1,-1,-1,-0.945156278303407,-1,-0.829785113698997,-1,-1,-1,-0.619810995417488,-0.886459681591492,-0.903095588994439,-0.743344819786082,-1
"PIPOX",2.27798193579869,1.98720429984331,2.05929472573019,2.45536946817519,2.51873347235977,2.27895413434624,2.61710408415212,1.90306089936903,2.07447830731712,2.39180939501895,2.95725487481863,2.45803343709908,2.04618815528893,2.48826372538103,2.49372789860873
"SEZ6",-0.588162667547801,-0.541030157253225,-0.185359052620329,-0.0551675077045748,-0.568410001574089,-0.657567092626806,-1,0.0322279740276416,0.988970611850136,-0.148183842998114,0.360568927794977,0.3537284287686,0.749401962605974,0.738321441039542,-0.00480408740882591
"AC024619.2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"MYO18A",2.4622483146893,2.1932480493076,2.63027794627834,1.84125577875661,1.80853318540597,2.37521354406506,2.5569740429696,2.1941509994171,0.313111340247061,2.61668708992792,4.04001598254782,3.07063109461765,2.85928636786469,4.00250211700897,2.7753477808055
"TIAF1",-0.268158085620723,-0.356753385622561,0.819477935046744,0.0198721818018457,-0.172236633455989,0.306502022461366,-0.191527271441085,-0.297689872372675,-1,0.551615187317311,1.06902531573355,0.527689475072933,1.08087744857909,1.40150041841466,0.316161267330777
"AC024619.3",-0.849276121583663,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CRYBA1",-0.849276121583663,-0.870862096694557,-0.674667180330049,-0.612282575451117,-1,-0.512678942779828,-1,-1,-1,-1,-0.835722240985268,-0.591266953670636,-0.569842005679963,-0.169077447834718,-1
"NUFIP2",6.46386265775921,6.64509824776076,6.82904619248646,6.65251242096333,6.61422413836836,6.81179588268579,6.80672623702998,6.69279333668135,5.50507288399822,6.59018701610036,7.80295333191968,7.78524385407039,6.59658752403061,7.90271545233276,6.88523411023957
