"","Subject 1","Subject 2","Subject 3","Subject 4","Subject 5","Subject 6","Subject 7","Subject 8","Subject 9","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15"
"HIST1H2AJ",61,97,73,18,72,206,70,112,6,66,188,256,188,232,198
"HIST1H2BM",14,19,21,23,17,31,11,34,0,12,17,15,8,26,7
"HIST1H4J",229,219,144,130,168,381,229,257,29,97,416,626,481,392,694
"HIST1H4K",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HIST1H2BN",625,399,509,966,758,1174,394,579,31,243,208,106,152,227,189
"HIST1H2AK",47,11,51,89,51,80,35,48,0,25,190,92,59,216,182
"HIST1H2AL",113,93,154,107,181,246,152,195,2,76,247,343,94,411,440
"HIST1H1B",361,411,720,243,467,692,588,360,18,527,1771,1693,428,3365,1125
"HIST1H3I",20,20,30,24,24,28,27,23,0,17,34,34,16,45,53
"HIST1H4L",6,8,4,27,12,13,3,8,0,1,6,5,4,3,4
"HIST1H3J",8,8,13,14,16,35,8,12,0,12,13,7,8,34,13
"HIST1H2AM",79,74,84,62,75,114,64,83,5,45,117,116,46,143,158
"HIST1H2BO",14,22,31,19,22,48,9,25,0,3,51,35,32,62,31
"OR2B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR2B6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AL121944.1",1548,1034,953,717,827,839,702,1619,368,755,360,414,525,331,1355
"ZNF165",58,45,64,37,59,52,56,54,3,37,43,30,17,57,57
"ZSCAN16-AS1",5721,5363,4388,5366,4392,4947,3890,4585,1487,3107,1718,1637,2831,2039,6142
"ZSCAN16",467,308,386,289,393,355,312,533,64,278,203,207,175,210,335
"AL358933.1",11,15,5,11,8,10,4,11,0,6,34,22,7,21,16
"ZKSCAN8",981,818,711,712,915,649,833,849,96,475,1117,1048,674,1133,881
"ZSCAN9",407,411,356,324,425,375,345,375,69,251,352,263,232,254,479
"ZKSCAN4",448,441,466,330,474,421,456,516,62,259,343,370,277,371,575
"NKAPL",283,304,314,278,348,354,198,379,50,120,124,156,126,183,405
"ZSCAN26",596,647,533,445,700,433,474,581,68,335,601,701,299,558,848
"AL021997.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PGBD1",39,46,27,33,65,49,33,37,1,17,37,42,42,71,74
"ZSCAN31",229,184,279,176,278,234,290,245,38,140,195,215,82,206,305
"ZKSCAN3",263,263,220,156,285,255,287,256,24,132,255,231,185,232,243
"ZSCAN12",167,174,133,111,164,104,123,125,23,55,256,262,66,189,216
"ZSCAN23",0,3,1,0,2,2,0,1,0,0,6,0,1,5,3
"GPX6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPX5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZBED9",1,1,0,1,0,0,0,0,0,0,2,0,1,4,2
"AL049543.1",1,0,0,0,1,1,0,1,0,0,0,3,0,0,3
"LINC00533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL662890.1",6,4,2,3,3,2,2,9,1,3,3,0,0,1,5
"LINC01623",0,0,0,0,0,0,1,2,0,0,0,1,0,0,1
"HCG14",9,17,13,11,8,15,12,10,2,7,11,6,7,11,21
"TRIM27",4866,4825,5205,4080,5237,3927,4675,5592,917,3432,4039,4544,2676,4521,5606
"LINC01556",31,37,29,61,62,88,19,105,2,17,19,12,12,39,55
"HCG15",3,7,2,5,3,8,3,6,0,1,2,2,0,4,2
"AL662791.1",1,0,0,1,2,0,0,1,0,0,1,1,0,0,0
"ZNF311",65,74,63,47,91,61,71,70,20,35,47,74,33,53,89
"AL662791.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR2W1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR2B3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR2J1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR2J3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL645937.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL645937.4",7,4,3,5,5,10,8,8,0,1,0,0,1,2,0
"OR2J2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR14J1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"OR5V1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR12D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR12D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR11A1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR10C1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OR2H1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAS1L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL662860.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
