"GENENAME","log2FoldChange","padj"
"EFNA5",3.6655199371737,0.00182266129381843
"SLC52A1",3.66033335686822,0.00539712341593698
"TDRP",3.65700666438608,3.13623425000641e-06
"RHOJ",3.65480172125909,0.00237570355469069
"ANKRD1",3.64331383686279,0.00207410747421726
"FBLN1",3.64316535673779,2.19497474166264e-11
"APLN",3.63669618489013,3.02516491227372e-07
"ACVRL1",3.63500530185486,1.38061786740325e-08
"HTRA1",3.63179844086155,1.18596621875891e-08
"ENSG00000291046",3.62554156969762,0.014779780885635
"UGDH",3.62214494575721,9.96837299358588e-09
"MYO6",3.61822239861547,1.8232917358679e-05
"SEMA3F",3.61406811149241,3.96047263144062e-07
"ATP6V1B1",3.6135014666779,0.00246588256688879
"PARD3",3.60972209217872,7.23245554043112e-07
"DKK3",3.60686582600763,1.31340077085555e-08
"TMC4",3.60614766627651,0.00437758324384926
"WFS1",3.59656674812748,2.69165349355579e-07
"TENM3",3.59407048905826,9.10003887813809e-06
"MGP",3.59342178715672,2.85661116814577e-05
"PLPP7",3.58859506293659,0.0210377732419938
"CCNE1",3.58335843499892,5.53075737693729e-07
"MT-ND2",3.58291703380388,5.91249973942629e-11
"VWCE",3.57268436210994,1.50814953559355e-06
"MXRA7",3.5683066299076,3.19307908286885e-10
"CTTN",3.56363860054842,5.69778182213359e-08
"ADCY6",3.56165233380882,0.00190686696080387
"ITIH5",3.55050176613214,9.1381695998074e-09
"CLEC1A",3.5504255542115,4.22130165819038e-05
"TGFB2",3.54582181123532,5.24603235789276e-06
"GTF2I-AS1",3.54240907289487,0.00221978795183815
"BAIAP2L1",3.54118315605337,5.35007948657364e-05
"GPR176",3.54060419034208,0.0140257633422575
"NNMT",3.53913348224908,0.00071925792192857
"PCDH1",3.53756427766205,4.34139157366822e-06
"GALNT18",3.52955894998808,0.00243502006508685
"PHYHD1",3.52747556695091,0.00437098000865114
"LOX",3.523144323513,0.00083636103235812
"SERPINH1",3.52283118366697,1.37629302538664e-09
"SIX5",3.52279174302215,0.00210178048662925
"LAMC2",3.51550871945097,0.0109977702728484
"ECSCR",3.50861981322295,0.00010581015041836
"ERRFI1",3.50679135116188,8.36718528032312e-10
"SRPX2",3.50369180298142,0.00265015049125967
"LAMC1",3.49094092962797,1.92673990383977e-08
"WNT7A",3.48996772350831,0.00096424522438713
"IPO5P1",3.4851114497513,0.0106542928401984
"SYDE1",3.48238838993856,3.22365068589643e-07
"FKBP9",3.47730346724381,1.52443878532432e-07
"ERBB2",3.47547247270535,4.153031199953e-08
"ITGA2",3.47454546514379,0.00317824700000366
"FAM107A",3.47209639299531,0.0264491575173459
"DUSP9",3.46422426029231,1.0434803225916e-06
"FBLIM1",3.45033989271587,7.20429354253634e-06
"SEMA6A",3.45007124072863,4.38308751221041e-06
"HOXD10",3.44722750216255,0.00306430912968782
"PHLDA2",3.43951696520495,1.35072215515605e-08
"ALDH1L2",3.42520247655567,0.0318180232971917
"KDF1",3.42040413626849,0.0135436370457565
"IL17RE",3.4203364620501,0.00571756071189445
"DUXAP10",3.41820909030152,0.00041601265834414
"ENSG00000203462",3.41702192139979,0.00439441059894558
"ZNF282",3.4156604731504,4.88579826631908e-07
"MMP1",3.41410485153768,3.98604223134544e-08
"LOXL2",3.40621046817746,6.10577931725167e-07
"ENSG00000251487",3.4024968534389,0.0282660957331179
"RASGRF2",3.40035506583005,8.07343939275204e-07
"GRAMD2A",3.39855590630837,1.35517605331723e-05
"LSR",3.39243703909824,1.42941793812008e-06
"RND3",3.39140658560862,5.4889820620048e-06
"YAP1",3.39106705259307,3.16127080519807e-07
"ENSG00000278791",3.38721466265756,0.0337517467368672
"ESRP2",3.38567562534068,0.00165699240828146
"CHMP4C",3.376135665764,0.0065845656290306
"OBSL1",3.36320555288029,3.21253028676651e-06
"BCAM",3.35783056259745,0.00017143253945443
"PTGER3",3.35454946005178,0.0193276731539011
"SFN",3.35436873056006,0.011827129183817
"HOXD9",3.35178426870901,0.00171779086515651
"FAIM",3.35142280106393,0.0165223516499374
"HYAL2",3.34920736525887,2.36189112039055e-06
"PODXL",3.34238695206794,4.16399434443554e-06
"HEXB",3.3379301476386,7.550945157521e-09
"GPC1-AS1",3.33733576590839,0.00306430912968782
"MT-ATP6",3.33706382299505,4.67013147890761e-10
"MARVELD3",3.32686070659971,0.0123592591319727
"LIMA1",3.32598406503447,1.05650408739155e-06
"LZTS1",3.32274518228403,0.0258578992005928
"MAGED1",3.31313201863076,6.56540432476966e-09
"MARCHF4",3.31302436929452,0.0405858167435746
"ACKR2",3.3113424053711,1.12530466859845e-05
"ISYNA1",3.30234495138474,6.79982941537275e-08
"AP1M2",3.30228767146079,0.00025813200882333
"SPRY4",3.30170127110846,0.00133583437735463
"MME",3.29699422827045,1.33144035501468e-06
"P3H2",3.29477795038225,0.00011395973841428
"PEAR1",3.29325626933661,0.00197053208667652
"GABRE",3.29052603519178,0.00578587948232944
"BEND7",3.29034563197685,0.0447052593367035
"LNX1",3.28709620118294,0.0203811321437365
