"Celulas","Enriquecido_En","ID","Description","enrichmentScore","pvalue","p.adjust","qvalue","setSize","core_enrichment"
"Hofbauer (HBC)","Masculino","GO:0072330","monocarboxylic acid biosynthetic process",-0.313016656842919,0.0028192847269386,0.0232908037562834,0.017965174393659,201,"HPGDS/ACSM2B/PTGES3/ANGPTL4/PRMT3/ABCD2/TMEM135/ABCD3/FADS1/OLAH/SCP2/SIRT1/RBP1/ABHD1/ALOX15/ACSM5/ALOX5/OSBPL1A/QKI/PDK4/HSD17B4/PECR/ABHD3/TBXAS1/KMO/ABHD2/CD74/CYP7B1/PROX1/PTGS2/INSIG2/MALRD1/SCD/LTC4S/HSD3B7/CEACAM1/MID1IP1/CYP27A1/PLA2G4A/FABP5/APOC2/PTGS1/SDS/HTD2/NR1H3/LPL/GATM/APOC1/ALOX15B"
"Hofbauer (HBC)","Femenino","GO:0015698","inorganic anion transport",0.384031547641457,0.00282806909986594,0.0233230223693607,0.0179900259620597,132,"SLC34A2/CLDN3/GABRP/SLC13A4/SLC6A2/CLDN4/CLIC5/SLC1A1/ANO4/GABRE/FGFR1/GLRB/KCNK1/SLC22A11/SLC4A10/SLC17A8/SLC12A8/SLC4A11/FXYD3/APOL1/SLC5A5/GABRA3/TMC4/SLC17A3/ANO2/P2RY6/GABRA2/SLC25A10/LRRC8A/SLC12A4/SLC4A5/CLIC3/GLRA3/SLC26A2/GABRG2/SLC17A4"
"Hofbauer (HBC)","Femenino","GO:0040037","negative regulation of fibroblast growth factor receptor signaling pathway",0.651215640880723,0.00284802566424015,0.0234471078392185,0.0180857382925159,18,"APLN/GPC1/SULF1/SPRY4/SULF2/FGF2/GATA3/THBS1"
"Hofbauer (HBC)","Masculino","GO:0090083","regulation of inclusion body assembly",-0.605835470133924,0.00286171950644091,0.0235192954272898,0.0181414196087268,20,"DNAJA4/DNAJB1/HSPA1B/IFNB1/SORL1/HSPA1A/APOE"
"Hofbauer (HBC)","Masculino","GO:0033003","regulation of mast cell activation",-0.630388134314289,0.00287492257697553,0.0235872084279349,0.0181938037562622,19,"CD300A/TSLP/ENPP3/CD300LF/PTPN6/NR4A3/MILR1/CD84"
"Hofbauer (HBC)","Masculino","GO:0009074","aromatic amino acid family catabolic process",-0.604901328778969,0.00290825051400246,0.0236628027905434,0.0182521128606473,20,"QDPR/HAAO/KMO/TDO2/FAH/IL4I1/HNMT/AMDHD1"
"Hofbauer (HBC)","Masculino","GO:0032369","negative regulation of lipid transport",-0.566322412397916,0.00290555829792605,0.0236628027905434,0.0182521128606473,27,"NFKBIA/MIR27A/APOC2/NR1H3/APOC1/APOE"
"Hofbauer (HBC)","Femenino","GO:0098743","cell aggregation",0.65005532014834,0.00291027697835391,0.0236628027905434,0.0182521128606473,18,"CCN2/MYCN/MGP/SOX9/TGFB2/WNT7A/COL11A1/BMPR1B/BARX2/BMP1"
"Hofbauer (HBC)","Masculino","GO:0061900","glial cell activation",-0.455331314817859,0.00291386974677268,0.0236628027905434,0.0182521128606473,51,"JAK2/SYT11/NR1D1/MMP8/TYROBP/IFNGR1/AIF1/C5AR1/ITGAM/CALHM2/JUN/GRN/CCL3/LRP1/ITGB2/CTSC/TNF/TLR1/TREM2/TLR6/C1QA"
"Hofbauer (HBC)","Femenino","GO:0034446","substrate adhesion-dependent cell spreading",0.42409636165255,0.00289820161298151,0.0236628027905434,0.0182521128606473,98,"TACSTD2/NTN4/LAMB1/TEK/OLFM4/LAMA5/FGA/FN1/PARVA/ANTXR1/SPRY4/FERMT2/EFNA5/PKP2/EFNA1/LAMC1/FZD4/FBLN1/CSPG5/MDK/LIMS2/RADIL/TYRO3/ACTN4/FGB/PTK2/ITGB1BP1/TRIOBP/DOCK1"
"Hofbauer (HBC)","Femenino","GO:0048593","camera-type eye morphogenesis",0.404889898232706,0.0028973279349647,0.0236628027905434,0.0182521128606473,116,"COL8A1/FAT1/BMP7/KDR/SHROOM2/TSPAN12/ADAMTS9/PROM1/SLC1A1/TENM3/LRP5/GLI3/EPHA2/PAX2/BMP4/ALDH1A3/BCAR3/SOX9/LARGE1/THRB/TSKU/CITED2/MEIS1/RP1/THY1/SDK1/RDH13/FJX1/NECTIN3"
"Hofbauer (HBC)","Masculino","GO:0042157","lipoprotein metabolic process",-0.411621434936299,0.00295842433005666,0.0239583669344889,0.018480093888956,70,"CLIP3/ATG7/ZDHHC11/ITGB3/PPARA/ZDHHC21/ATM/ZDHHC15/DBI/ABCA1/PPT1/ZDHHC17/ZDHHC19/APOC2/GLUL/CTSD/LIPA/APOC1/APOE"
"Hofbauer (HBC)","Femenino","GO:0007600","sensory perception",0.299361180487536,0.00296030083588449,0.0239583669344889,0.018480093888956,481,"TIMP3/VAX2/TACSTD2/EFEMP1/ATP6V1B1/SCNN1A/PIGR/NMU/SERPINE2/CLDN19/PTGES/COL18A1/CLIC5/ABCA4/HOXB8/NAV2/FGFR1/OR5H15/ITGA2/CXCL12/PTPRQ/GLRB/NR2F6/PAX2/SLC4A10/SLC17A8/WFS1/SPNS2/COL4A3/LYPD6/MYH14/MYO6/ANKRD24/ATP6V0A4/CDH3/HOXD1/CNGB1/SOX14/LARGE1/FZD4/P2RX2/LRP2/NPR2/OR10H1/LUM/EPS8L2/OR10G4/PENK/MARVELD2/THRB/CNGA4/HMCN1/GJC1/HEXB/MYO7B/NPY1R/GUCA1A/TMC7/OR4F15/SLC24A4/TBL1X/RAX2/RP1L1/OR2A5/LAMB2/COCH/OR56A4/ALDH7A1/EPAS1/NLGN2/MME/COL11A1/GRIN2D/DCDC2/VN1R1/OR8G5/TUB/CRYM/RP1/GPR143/TMEM150C/ITPR3/MYO1A/OR7G2/OR5AU1/TECTA/SCN1A/GJB6/OR2T33/OR2L2/KCNA2/OR1F1/TMC1/CHRNA7/BIRC5/EML2/GJB2/WNT10B/NDN/TRIOBP/REEP6/OR10A2/ELMOD3/RS1/GSDME/SCNN1D/TH/OR3A3/OR2L3/OR52N4/GJA3/OR5H14/FYN/SLC52A3/CCR2/EYA4/MAPK3/MMP24/OR8D4/BSND/TMTC4/OR2F1/LRIG1/LPO/PNOC/DRGX/OR2W3/CA6/KCNQ3/EPYC"
"Hofbauer (HBC)","Femenino","GO:0035036","sperm-egg recognition",0.553295699691266,0.00299894575951119,0.0242300609165244,0.0186896628596129,34,"PAEP/FOLR1/FOLR3/OVGP1/SPESP1/SPACA6/DCST2/FER1L5"
"Hofbauer (HBC)","Masculino","GO:0006809","nitric oxide biosynthetic process",-0.411748287777839,0.00301263035279187,0.0242995100246304,0.0187432318712993,74,"SIRPA/PTGS2/ITGB2/ESR1/IL10/CD36/GCHFR/TNF/GLA/ACP5/TLR6/TLR5/CYP1B1/APOE"
"Hofbauer (HBC)","Femenino","GO:0051146","striated muscle cell differentiation",0.327829298635862,0.00304121834832353,0.0244887312196372,0.0188891861201456,271,"BDNF/FHOD3/CNTNAP1/CDH2/DKK1/ANKRD1/IGF2/NRG1/NEO1/IRX3/ISL1/TPM1/KRT19/FHL2/GREB1L/CAV2/EDN1/EHD2/NOX4/SORBS2/DNER/MYOM3/BMP4/MYORG/ADAMTS5/ADPRHL1/GDF15/TANC1/LARGE1/P2RX2/OBSL1/SGCB/AVPR1A/PPIF/PLPP7/MYH10/SYNPO2L/CAPN2/CASQ1/DMPK/FLNC/MYMX/MEIS1/MYL9/SRF/CSRP2/POPDC3/GATA6/BMPR1A/MYLK3/MYOZ1/COL14A1/KLF5/PTGFRN/BARX2/WNT10B/ERVW-1/DOCK1/FER1L5/ANKRD23/SMYD3/EFNB2/CFL2/CBY1/G6PD/MYPN/EHD1/ADAM12/CASP7/BMP2"
"Hofbauer (HBC)","Femenino","GO:0050804","modulation of chemical synaptic transmission",0.30381155470233,0.00305071425541138,0.024523839342743,0.0189162664888967,429,"LZTS1/BDNF/SYT8/SYT7/DKK1/NMU/NEO1/PTN/PLAT/SERPINE2/SHANK3/ARHGAP44/SNCG/MAP1B/CDH1/SLC1A1/CLSTN2/EDN1/SYBU/RASGRF2/SLC4A10/LYPD6/PTPRS/RASGRF1/CPLX2/DAG1/F2R/DLGAP1/TACR1/MPP2/BCR/LARGE1/GPR158/FAM107A/GNAO1/CACNG4/SEPTIN5/SLC6A4/WNT7A/PENK/SLC7A11/GRM2/PCDH17/NEURL1/CACNA1A/GUCY1A1/SLC6A9/SYN1/PFN2/NLGN2/CSPG5/CHRNA5/MME/SV2B/DMPK/GFAP/DVL1/GRIN2D/TMEM25/ADAM22/NXPH4/C22orf39/SRF/LAMP5/PPP1R9A/SYT2/ITPR3/STXBP1/GHRL/JPH3/DBN1/NOG/SHANK2/TMEM108/SIPA1L1/RETN/CHRNA7/CNR2/CX3CL1/HRAS/CACNA2D2/SCTR/MCTP2/FER1L5/APP/NALCN/PRKN/NGFR/GLRA3/CDC20/CACNG8/SHISA8/CAMK2G/SHISA9/ITPKA/NRGN/CDKL5/FYN/NFATC4/PTPRD/PLCB1/CALB1/SYT5/PLK2/CCR2/RIMS4/EPHA7/SCT/SYT12/MAPK3/NTF4/PINK1/LRRTM2"
"Hofbauer (HBC)","Femenino","GO:0042490","mechanoreceptor differentiation",0.461823851836705,0.00308174015400979,0.0247316121603307,0.0190765303828045,66,"SLC44A4/MYCN/PLS1/FGFR1/MYCL/BMP4/MYO6/FGF2/ANKRD24/ESRP1/CTHRC1/TSKU/NTRK3/JAG2/CECR2/TECTA/TMC1/TRIOBP/ELMOD3/GSDME/HES1"
