"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPINT1",760.779268583477,-2.54945506151216,0.524143976845655,-4.86403578813402,1.15016103326042e-06,6.72017165587277e-05
"PROCR",565.992848547649,-2.60848390898613,0.536502596410667,-4.86201544305196,1.16196555100503e-06,6.76651272535265e-05
"TCF7",2027.79406719598,2.33451269784033,0.480308813508497,4.86044109994045,1.17124488245317e-06,6.79788973304217e-05
"IGKV3-15",169.937627207724,6.52765872470122,1.34376254153033,4.85774720083153,1.18728860554036e-06,6.86818938370531e-05
"MDFI",78.5407813551447,-4.66678616711742,0.962026763838442,-4.85099411215668,1.22844193476732e-06,7.08279887801489e-05
"LTB",634.809902669859,2.66794601993259,0.553440436710775,4.82065610490772,1.43086836968666e-06,8.18970479345545e-05
"PLEKHG6",228.177338850401,-3.42708935165959,0.710963889411366,-4.8203423587336,1.43312064710877e-06,8.18970479345545e-05
"STYXL2",67.7733148796028,-4.52445515769559,0.938654006037877,-4.8201521845026,1.43448750245986e-06,8.18970479345545e-05
"PDCD1",432.525040417262,2.93218604207992,0.609543554800549,4.81046189232428,1.50581911860173e-06,8.56894462604958e-05
"MYOZ1",76.9637589126704,-5.02322596877164,1.04709953809193,-4.79727646325313,1.60837542190538e-06,9.12283072100228e-05
"S100A8",5430.20125484718,2.78371603087241,0.580953797140291,4.79163066766253,1.65431224472544e-06,9.35302100820502e-05
"ESRP1",171.067933742851,-3.61302843746478,0.754873560581564,-4.78626968294036,1.6990971548711e-06,9.57523461148328e-05
"PIPOX",278.656302423534,-2.82330557284641,0.59028437914104,-4.78295830385141,1.72733966856703e-06,9.7030945369344e-05
"RBM38",4015.3199030642,2.23896650266629,0.46856793605531,4.77831778570953,1.76767850892686e-06,9.89786652274113e-05
"CALD1",929.932763287421,-2.94993112165684,0.617883986157626,-4.77424757356358,1.80380373002143e-06,0.00010016692610934
"GTF2I-AS1",115.021584331782,-3.67207644385837,0.769065958070326,-4.7747223828136,1.7995532842192e-06,0.00010016692610934
"MLC1",191.776008675502,3.65324865832159,0.765239888579642,4.77399141477369,1.80610084284157e-06,0.00010016692610934
"TENT5C",4819.06461057317,2.23412713563149,0.468724776131933,4.76639437340656,1.87551981988444e-06,0.000103687757130953
"MT-CO2",202820.253972542,-2.33491185116038,0.490264859594979,-4.76255192568628,1.91159986512869e-06,0.000105349052504096
"MTATP6P1",108446.062693033,-2.24135808655559,0.471066378355011,-4.75805149665433,1.95470637499657e-06,0.00010738591311695
"SLC27A6",63.9471849542793,-4.75513142267547,1.00238461040817,-4.74381926188907,2.09725985292022e-06,0.000114856205738295
"ERRFI1",1521.7542846959,-2.38800352451693,0.504278507900746,-4.73548542542079,2.18531409927445e-06,0.000119304491607264
"SYDE1",486.919544464369,-3.14755478765779,0.664988161684839,-4.73324935542164,2.20953767186871e-06,0.00012025116239111
"DAB2IP",422.04182438188,-2.68327666015289,0.567708752699227,-4.72650218513451,2.28420335142754e-06,0.000123928672513786
"PNPLA1",251.738160070501,3.11369624224013,0.65954496334424,4.72097645390551,2.34715112109483e-06,0.00012694962874776
"H3P6",183.546591088141,10.0882031013008,2.1376878414155,4.71921246210615,2.36759442571978e-06,0.000127660106843594
"IGHD",266.59588814137,3.10278533890728,0.657752017482718,4.71725704587262,2.39045596688826e-06,0.000128496202281655
"MT-ND6",2214.22756087714,-2.52917517092822,0.536602053341404,-4.71331623719873,2.43717514931201e-06,0.000130605674412518
"TJP1",472.228803381028,-3.24410947195482,0.688476325445599,-4.71201311077058,2.45281594897602e-06,0.000131041879598199
"ICOS",1192.69489560177,2.87508931354931,0.610421107726605,4.71000965916303,2.47705051863163e-06,0.000131532135442233
"TMEM132A",230.932756062787,-2.96156458544985,0.628751180327276,-4.71023304307486,2.47433703232475e-06,0.000131532135442233
"ATP2A3",2467.18055007967,2.32632626477035,0.494735755018242,4.70215916511748,2.57424702105963e-06,0.000136279077145187
"BCL11B",1768.61412599837,2.54225978788985,0.541615541085874,4.69384571719069,2.68116274003573e-06,0.000141510311384968
"FYN",4330.50203725094,2.17636146887499,0.463835110840519,4.69210160682143,2.70412760832565e-06,0.000142292497944124
"CD27",236.739466424122,3.07121221949139,0.655071957213779,4.6883585622474,2.75405159978089e-06,0.000144484328673189
"PRDM8",587.826882035493,3.56500204390696,0.7614744958048,4.681709057293,2.84493063241679e-06,0.00014880520403689
"MMP11",694.248367968034,-2.68196860912655,0.574560663819827,-4.66785977184051,3.04353501796059e-06,0.000158718079891855
"ASNS",105.542788041109,4.82211741059027,1.03423199338715,4.66251038589287,3.12375317055123e-06,0.000162416571099791
"CARMIL2",379.640067286374,2.7852717694004,0.597730210010625,4.65974736219354,3.16597723184007e-06,0.000164123508131294
"GSTM1",164.906800472294,9.93335620576626,2.14408519898463,4.63291114106397,3.6055932529903e-06,0.000186360100975564
"CALU",3502.43379491938,-2.16101078552271,0.46657747194856,-4.63162264671227,3.62810971529994e-06,0.000186970727806165
"PROK2",233.229319406257,3.04826229986796,0.658497716978784,4.62911597302648,3.67230071905216e-06,0.000188691451652474
