"Enriquecido_En","ID","Description","enrichmentScore","p.adjust","setSize","core_enrichment"
"Masculino","GO:0061082","myeloid leukocyte cytokine production",-0.564737661160932,0.000554487179428811,51,"TLR4/RTN4/NOD1/TWIST1/SYK/SIRT1/BCL6/PANX1/WNT5A/EPX/LAPTM5/PYCARD/RIPK2/CD74/AXL/NR4A3/CD36/P2RX7/CARD9/TLR7/ACP5"
"Femenino","GO:0014033","neural crest cell differentiation",0.518546696109555,0.000569036828755835,81,"SEMA5A/SEMA3F/BMP7/SFRP1/CDH2/NRG1/ISL1/LAMA5/FN1/SEMA6D/FOLR1/EDN1/BMP4/OVOL2/SOX9/SEMA6A/EXT1/EDNRB/CITED2/GDNF/SEMA4F/RADIL/BMPR1A/SEMA4B/FOXC1/KITLG/SEMA4G/HTR2B/PEF1/EFNB1/FOXC2/SEMA3B/HES1"
"Femenino","GO:1901342","regulation of vasculature development",0.381398747531176,0.000569036828755835,283,"ADAMTS1/SEMA5A/ANGPT2/CDH5/SFRP1/CD34/ECSCR/ACVRL1/ANGPT4/FLT1/RAMP2/HSPG2/COL4A2/SERPINE1/KDR/TSPAN12/ADAMTS9/ISL1/TEK/RHOJ/SULF1/SPARC/TJP1/ERBB2/DSG2/RAPGEF3/CXCL12/EPHA2/TIE1/NPR1/COL4A3/WARS1/FGF2/HMGA2/FOXO4/EFNA1/AMOT/ADGRG6/CMA1/GPR4/BMPER/SEMA6A/MAPK7/TGFB2/THBS1/JCAD/DAB2IP/ITGB8/ID1/CLDN5/CXCR3/SHC1/PIK3CB/MDK/CXCL13/MINAR1/VASH2/CD160/NAXE/GATA2/GATA6/ITGA5/THBS4/SPINK5/EPN2/GHRL/PAK4/VEGFC/DDAH1/HSPB6/S100A1/FOXC1/JUP/ENG/SMAD1/TNFRSF12A/CHRNA7/NOS3/CX3CL1/GAB1/PRKCA/SARS1/PPP1R16B/HYAL1/CLIC3/APELA"
"Masculino","GO:0002702","positive regulation of production of molecular mediator of immune response",-0.403902785054253,0.000583713620485163,137,"SHLD2/TLR4/B2M/RTN4/EPHB2/NOD1/DENND1B/SYK/IL13RA1/SIRT1/RBP4/RAET1G/PANX1/CLEC7A/CD86/TNFRSF14/WNT5A/LAPTM5/PYCARD/RIPK2/CD74/NR4A3/IL18/SCIMP/CLCF1/BTK/TNFSF13/IL10/CD81/CD40/CD36/LACC1/TFRC/TNF/P2RX7/CARD9/IRF5/TLR7"
"Masculino","GO:0097006","regulation of plasma lipoprotein particle levels",-0.523115757522447,0.00059154657707209,66,"LMF1/ABCA1/PRKACB/SOAT1/PLA2G7/MIR27A/ABCG1/NCEH1/CD36/PLTP/APOC2/TREM2/LPL/LIPA/APOC1/MSR1/APOE"
"Masculino","GO:0002753","cytoplasmic pattern recognition receptor signaling pathway",-0.355259741174079,0.000593387929759699,209,"OASL/TLR4/NEK7/ZC3HAV1/IFI16/ERBIN/RTN4/GRAMD4/NOD1/KCNK13/DHX58/ALPK1/PEPD/KCNK6/CARD8/RNF135/PTPN6/PELI1/BIRC3/TNFAIP3/UNC93B1/HAVCR2/PYCARD/RIPK2/HSPA1B/SLC46A2/PPT1/NFKBIA/IFIH1/WASHC4/SLC15A3/LAMP2/TASL/SCIMP/BTK/TLR8/HSPA1A/CD36/LACC1/TNF/RAB7B/P2RX7/IRF5/TREM2/TLR7/TLR6"
"Femenino","GO:0007498","mesoderm development",0.481017671136409,0.000597509967037994,107,"BMP7/DKK1/GJA1/IRX3/TP63/MEST/FGFR1/ITGB4/ITGA3/ITGA2/EPHA2/TIE1/PAX2/BMP4/HMGA2/YAP1/TWSG1/NCKAP1/EXT1/INHBA/TEAD2/FGFR2/IKZF3/CITED2/SRF/BMPR1A/NOG/LHX2/FOXF1/FOXC1/SMAD1/TBX6/OVOL1/APELA/POFUT2/FOXC2"
"Masculino","GO:0055094","response to lipoprotein particle",-0.627698902548473,0.000603085151384102,33,"ABCA1/ITGB2/CD81/CD68/CD36/TXNIP/TREM2/TLR6/LPL/APOE"
"Femenino","GO:0010810","regulation of cell-substrate adhesion",0.403941837467683,0.00060397326867747,213,"MMP12/COL8A1/ANGPT2/CCN1/COL16A1/TACSTD2/SFRP1/ACVRL1/SERPINE1/KDR/TEK/OLFM4/FGA/FN1/ONECUT2/PKHD1/NPNT/ABI3BP/ITGA3/CDH13/SPRY4/FERMT2/CEACAM6/SPOCK1/AGR2/EFNA5/PKP2/DAG1/FERMT1/DDR1/CCDC80/FZD4/FAM107A/FBLN1/CDKN2A/THBS1/PHLDB2/NEXMIF/PIK3CB/CSPG5/MDK/EFEMP2/LIMS2/ACER2/RHOD/ITGA5/ACTN4/EDIL3/FGB/AJAP1/PTK2/RAB40C/DAPK3/FOXF1/JUP/THY1/ITGB1BP1/CX3CL1/TRIOBP/DOCK1"
"Femenino","GO:0001890","placenta development",0.439826156822093,0.000645043253583344,147,"CCN1/BMP7/CDKN1C/IGF2/LDOC1/PTN/HSD17B2/STC1/KRT8/NR2F2/KRT19/ASCL2/RSPO3/ETNK2/PHLDA2/EGFR/GRHL2/OVOL2/ADGRG6/MDFI/ADAM19/HTRA1/ELF5/STC2/TTPA/FGFR2/GCM1/ITGB8/EPAS1/MME/CCNF/FBN2/PLCD3/E2F7/FBXW8/GJB3/VASH2/CITED2/PARP1/GATA2/WNT7B/GHRL/LLGL2/PTK2"
"Femenino","GO:0060541","respiratory system development",0.401841689682262,0.000645043253583344,210,"MMP12/CCN2/ABCA12/ASS1/FOXJ1/MYCN/RXFP1/KDR/LAMA5/LOX/FBN1/DNAAF3/FGFR1/GLI3/NFIB/ITGA3/ESRP2/DPPA4/BMP4/ALDH1A3/TNC/TP73/DLX5/FGF2/GRHL2/HMGA2/HHIP/AGR2/DAG1/YAP1/ERRFI1/FLT4/SOX9/SMPD3/THRB/SLC7A11/EXT1/EDN2/FGFR2/DLG5/ID1/EPAS1/EVA1A/MME/ABCA3/FGF7/SRF/GATA6/WNT7B/BMPR1A/LTBP3/CRISPLD2/NOG/PKDCC/FOXF1"
"Masculino","GO:0010883","regulation of lipid storage",-0.585849892215599,0.000647780203975175,41,"ITGB3/PPARA/SIRT1/HILPDA/ABCA1/NFKBIA/C3/ABCG1/CD36/TNF/NR1H3/TREM2/LPL/MSR1"
"Masculino","GO:1903039","positive regulation of leukocyte cell-cell adhesion",-0.335005659631765,0.0006637986090967,273,"AIF1/IL7R/SYK/GCNT1/SIRPB1/CCL19/HHLA2/ALOX5/NFKBID/ITPKB/BCL6/HLA-DQB2/RAG1/CD80/HLA-DRA/PTPN6/NCK1/CD86/VCAM1/TGFBR2/TNFRSF14/LILRB4/CYRIB/HAVCR2/PYCARD/RIPK2/SIRPA/HSPH1/CD74/CD40LG/HSPD1/DUSP10/HLA-DPB1/CD83/PIK3R6/SOX4/ITGB2/HLA-DQA2/BTN2A2/ABL2/CD4/NR4A3/IL18/GPR65/HLA-DRB5/LGALS9/HLA-DRB1/HLA-DMB/NCKAP1L/CD81/HLA-DMA/HLA-DQA1/IL4I1/TFRC/TNF/IL23A/TNFSF9/HLA-DOA"
"Femenino","GO:0030178","negative regulation of Wnt signaling pathway",0.434575690273315,0.000689345163633039,152,"IGFBP1/DKK3/SFRP1/CDH2/TLE6/DKK1/RNF43/APCDD1/TPBG/ISL1/SOX30/CAV1/GLI3/PTPRU/NOTUM/APC2/HMGA2/ZNRF3/FERMT1/APCDD1L/SOX9/MDFI/WWTR1/EGR1/CTHRC1/TSKU/NKD1/DAB2IP/RBMS3/SOX17/MDK/ANKRD6/NKD2/TLE2/RUVBL2/BICC1/IGFBP6/SHISA3/NOG/SOX13/TCF7L2/APP/PRKN/FZD6/WWOX/SDHAF2/KREMEN1/HDAC1/NFATC4/RACK1/CBY1"
"Femenino","GO:0042303","molting cycle",0.490965557714604,0.00068978617464563,99,"FST/LGR5/DKK1/FOXI3/SOX18/APCDD1/MSX2/TP63/LAMA5/KRT14/FA2H/FOXQ1/EGFR/PKP3/CDH3/FERMT1/SOX9/PPP1R13L/TGFB2/TSKU/EXT1/INHBA/FGFR2/TFAP2C/FGF7/KRT16/SPINK5/LGR4/EPS8L3/LHX2/HPSE/WNT10B/TRPV3/NGFR/INTU/FZD6/HDAC1"
"Femenino","GO:0042633","hair cycle",0.490965557714604,0.00068978617464563,99,"FST/LGR5/DKK1/FOXI3/SOX18/APCDD1/MSX2/TP63/LAMA5/KRT14/FA2H/FOXQ1/EGFR/PKP3/CDH3/FERMT1/SOX9/PPP1R13L/TGFB2/TSKU/EXT1/INHBA/FGFR2/TFAP2C/FGF7/KRT16/SPINK5/LGR4/EPS8L3/LHX2/HPSE/WNT10B/TRPV3/NGFR/INTU/FZD6/HDAC1"
"Masculino","GO:0065005","protein-lipid complex assembly",-0.711158269956482,0.000707102493864199,22,"SOAT2/ABCA1/PRKACB/SOAT1/APOC1/APOE"
"Masculino","GO:0002286","T cell activation involved in immune response",-0.418776872489865,0.000736362812581716,124,"TYROBP/NFKBIZ/SOCS3/STAT5A/CCL19/NFKBID/PTGER4/BCL6/ATP7A/CD1C/CD80/HLA-DRA/CD86/PLXNA1/JUNB/ICAM1/HAVCR2/RIPK2/CD74/IFNB1/IL27/IL18/GPR65/LGALS9/HLA-DRB1/CEACAM1/HLA-DMB/NCKAP1L/CD81/FCGR2B/APBB1IP/GPR183/LOXL3/IL23A/TREM2"
