"","SRR26204549","SRR26204550","SRR26204553","SRR26204554","SRR26204557","SRR26204558"
"ENSG00000006837",46.823,7.206,28.609,5.742,16.18,6.377
"ENSG00000007001",1,0,0,0,0,0
"ENSG00000007038",3,30,10,20,3,4
"ENSG00000007047",37,403.851,319.119,467.345,355.033,259.083
"ENSG00000007062",27,25,9,62,51.001,80
"ENSG00000007080",903.066,235.12,606,318,711,247
"ENSG00000007129",1,49.625,19.997,28.45,27.128,14.446
"ENSG00000007168",3536.42,2277.914,3406.351,2372.68,3591.143,1217.316
"ENSG00000007171",0,1,9,1,7,142
"ENSG00000007174",3.552,9.703,9.717,7.007,1.145,4.935
"ENSG00000007202",1072,1628.999,1469,2624,1982.001,1363
"ENSG00000007216",0,0,0,0,0,0
"ENSG00000007237",1629.671,2611.12,2776.931,3053.056,2389.88,1051.597
"ENSG00000007255",244,108,193,95,270,70
"ENSG00000007264",18,612.008,34.323,490.128,57.002,285.311
"ENSG00000007306",0,0,0,0,0,0
"ENSG00000007312",25.226,146.861,555.367,144.761,692.131,51
"ENSG00000007314",10,0,4,2,1,2
"ENSG00000007341",106.6,57.206,82.072,72.9,112.016,79.042
"ENSG00000007350",2,174.001,5,117,23,75
"ENSG00000007372",4.669,7.542,4.59,1.246,7.956,4.192
"ENSG00000007376",107.999,117.001,219.001,108,163,114
"ENSG00000007384",383.001,26,132,14,271,203.999
"ENSG00000007392",668.037,798.498,671.123,1054.517,733.029,438.134
"ENSG00000007402",1,38,3,33,8,16
"ENSG00000007516",17,102,134.001,144,46.999,17
"ENSG00000007520",1146,171,731,212,977,252
"ENSG00000007541",112.006,193.758,252.458,305.118,264.857,215.942
"ENSG00000007545",192.242,519.14,286.624,394.447,315.016,294.154
"ENSG00000007866",6681.996,192,3070.997,146,4327.948,561
"ENSG00000007908",0,7,0,3,2,100
"ENSG00000007923",597.351,311.624,619.9,467.115,661.953,348.077
"ENSG00000007933",2.082,0,3.591,0.937,2.364,3.71
"ENSG00000007944",7344,1218,3928,836,5017,707
"ENSG00000007952",0,0,0,0,0,0
"ENSG00000007968",13.183,145.044,163.752,246.914,95.506,89.496
"ENSG00000008018",4139,691,2661,878,3303,872
"ENSG00000008056",2,161,28,515.622,45.607,189
"ENSG00000008083",103,1981,711,2790,716,1015
"ENSG00000008086",301.451,153.678,189.418,163.943,299.231,190.384
"ENSG00000008118",0,40,0,42,3,8
"ENSG00000008128",345.872,586.604,750.16,676.277,587.714,336.85
"ENSG00000008130",2004.001,2016.997,2987,1495,3289.999,727.001
"ENSG00000008196",39,0,28,2,59.002,7
"ENSG00000008197",0,0,0,0,0,0
"ENSG00000008226",3,16.02,11.944,35.087,7.678,15.041
"ENSG00000008256",9177,483,1881,713,6176.999,687.001
"ENSG00000008277",2,35.999,5,25,11,36
"ENSG00000008282",1003.131,506,957,622.129,1188.006,402.842
"ENSG00000008283",836.041,74.172,272.093,120.586,396.246,292.226
"ENSG00000008294",1213.039,3698.632,1423.009,4537.092,1757.558,1783.692
"ENSG00000008300",3,58.999,17,44,23,65
"ENSG00000008311",7.02,64.768,30.372,61.036,66.138,52.237
"ENSG00000008323",2082.242,53.591,664.985,45.704,1372.269,448.106
"ENSG00000008324",189.001,145.058,244.091,147.381,213.917,83.129
"ENSG00000008382",89.999,129.001,174.999,155.999,199,99
"ENSG00000008394",26,75.117,245.119,173.473,152,108.052
"ENSG00000008405",549.001,535.001,430,614,746,254
"ENSG00000008438",6,228,136,312,110,18
"ENSG00000008441",8,59.004,172,140,216.005,45.005
"ENSG00000008513",2704.707,3563.479,1293.164,4645.603,2291.13,1133.033
"ENSG00000008516",12,2048,1564.961,470,393.999,116
"ENSG00000008517",34.009,1209.558,94,1228.076,216,736.998
"ENSG00000008710",46.94,833.592,387.921,1013.533,408.255,395.081
"ENSG00000008735",382.248,17.555,83.787,18.29,145.88,55.275
"ENSG00000008838",373,462.066,518.001,778.034,591.998,399.001
"ENSG00000008853",90,154.162,318,187.001,294,217
"ENSG00000008869",168.03,581.229,511,685.001,604.003,377
"ENSG00000008952",3177.273,2205.169,2714.07,1924.854,4165.054,1186.348
"ENSG00000008988",11377.455,5509.406,8538.439,6069.288,11083.663,3918.916
"ENSG00000009307",39632.726,6318.447,18667.791,7402.638,29368.396,4890.886
"ENSG00000009335",1609,627.504,1310.402,1022.326,2009.871,713.927
"ENSG00000009413",215.057,717.056,403.121,1533.336,561.004,399.681
"ENSG00000009694",4,239,11,186,2,33
"ENSG00000009709",0,0,0,0,0,0
"ENSG00000009724",2.003,0,0,0,0.761,1.041
"ENSG00000009765",0,10.277,7.202,1.191,2.2,5.429
"ENSG00000009780",79.994,76.543,142.014,167.048,129.603,75.316
"ENSG00000009790",52.142,791.001,1162.617,795.001,864.94,323
"ENSG00000009830",194,94.096,124.976,189.9,144.436,147.144
"ENSG00000009844",1975.111,263.127,1296.542,345.493,1564.143,273.418
"ENSG00000009950",0,24.947,13.1,23.045,15.965,10.929
"ENSG00000009954",1690.001,723,1465.999,1030.001,1901,903
"ENSG00000010017",2777,816,2090,904,2628,569
"ENSG00000010030",12,9,24,12,46,40
"ENSG00000010072",242,94,208,111,210,87
"ENSG00000010165",189,120,353.001,163.001,360,148
"ENSG00000010219",41.001,115.999,139.001,227.998,101.001,63.001
"ENSG00000010244",3624.244,2551.305,3108.758,3183.216,3319.836,1576.231
"ENSG00000010256",3483.001,768,2322,1205,2625.001,909.001
"ENSG00000010270",332.001,521,351,678,450.002,306.001
"ENSG00000010278",37,659.618,984.715,3083.902,1071.999,2135.815
"ENSG00000010282",0,0,0,2,0,0
"ENSG00000010292",597.203,600.564,489.612,726.541,735.835,701.653
"ENSG00000010295",27.569,351.645,641.547,459.114,465.282,227.479
"ENSG00000010310",0,38.549,2.396,25.138,12.047,34.746
"ENSG00000010318",47.996,43.205,63.006,74.899,66.006,30.177
"ENSG00000010319",0,4,7,6,6,4
"ENSG00000010322",263,1081.999,997.012,1177.001,988,743
"ENSG00000010327",166,5250.999,4451,6718.999,2272,1531
"ENSG00000010361",183.001,67.002,170,95.999,207,41.001
"ENSG00000010379",6,2,1,0,1,0
"ENSG00000010404",2629.862,2951.276,3293.927,3989.903,3164.243,1823.156
"ENSG00000010438",0,0,1,1,1,1
"ENSG00000010539",531.065,130.319,401.096,155.073,377.24,70.784
"ENSG00000010610",94,3031,3999,6623.001,3655.633,1560
"ENSG00000010626",72.463,30.828,72.137,35,59.57,36.628
"ENSG00000010671",62.965,625.85,1438.236,1115.241,1311.58,324.731
"ENSG00000010704",30.736,79.082,192.534,142.682,88.164,64.572
"ENSG00000010803",375,152.001,169,221,308,106.999
"ENSG00000010810",139,2917.002,1137,2760,1478,1094
"ENSG00000010818",506,2537.999,521,4916,846,1420
"ENSG00000010932",1,0,0,0,2,0
"ENSG00000011007",1475,428,1297,651,1288,395
