"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NOXO1",6.92750628293977,0.868843327016739,0.255133555755055,3.40544513811772,0.000660562844631914,0.00104986617888745
"NOXRED1",6.3306985604865,0.45994157905179,0.160892568451753,2.85868752968359,0.00425397585143865,0.00632062369415885
"NPAS2",871.111632457524,2.37897240325773,0.147656574466786,16.1115237289542,2.11741263332676e-58,1.64126681197846e-57
"NPAS3",58.0210037201076,0.472442434826664,0.136932913806834,3.45017440798142,0.000560224493482424,0.000894351188141771
"NPAS4",1.31492024319901,2.52568369992806,0.519692865068667,4.85995454179333,1.17412709756999e-06,2.17485056976002e-06
"NPAT",561.134355400398,0.265318240453104,0.0807376549387765,3.2861771951922,0.00101557102142866,0.00159085502152069
"NPB",147.439514481042,1.9742968585936,0.267820050465419,7.37172909631918,1.68429013658008e-13,4.12253879600399e-13
"NPC1",2916.29713966487,0.565660714030255,0.0411224161460564,13.755532068475,4.71796894032291e-43,2.60489910306847e-42
"NPC1L1",3.75106600795021,1.21773484565261,0.218686050799808,5.56841573204578,2.5706589768325e-08,5.13360370783867e-08
"NPDC1",693.370838620457,2.27167819220431,0.115892596445446,19.6015816530062,1.49891828063399e-85,2.04427516682487e-84
"NPFF",2.45783483935078,1.44263985524551,0.60333296486902,2.39111724246444,0.016797188005761,0.0236072536069537
"NPFFR2",236.046521771933,1.81903065315131,0.238893605126884,7.61439659376887,2.64926178710725e-14,6.6639463251905e-14
"NPHP3-ACAD11",31.1121197267529,0.565265890908503,0.20326630197618,2.78091294726632,0.00542062705448089,0.00798223935793586
"NPIPA1",2156.78527133718,0.297573964700061,0.0846954409741983,3.513459063171,0.000442312564671941,0.00071098068259927
"NPIPA7",24.6943370984036,0.778750411615328,0.278053977746871,2.80071667352398,0.00509892644857202,0.00752712923764537
"NPIPB11",75.0617105073888,1.8846692097275,0.146467602238158,12.8674818248407,6.86024741520397e-38,3.3641083228523e-37
"NPIPB15",169.160953269942,1.31715096822832,0.263016549797296,5.00786345666627,5.5037555217487e-07,1.03402783720905e-06
"NPIPB3",1289.49294339496,1.7703122394824,0.0941309863841359,18.8069020360415,6.63008362499934e-79,7.87052844172272e-78
"NPIPB4",271.13779160677,1.48155195429882,0.104588326487571,14.1655575153971,1.49674329920583e-45,8.72817368243072e-45
"NPIPB5",2933.27317049131,1.5799328206717,0.0836074197707436,18.8970407770502,1.20631418278318e-79,1.46270443192134e-78
"NPIPB6",39.4353839177842,1.22659184763972,0.152531686109167,8.04155437422913,8.87059686518483e-16,2.34168853892979e-15
"NPIPB7",14.4953385732817,1.51831315621944,0.342464209595306,4.43349440227244,9.27179158600021e-06,1.64381410770131e-05
"NPIPB8",8.82673287294593,1.80571803022922,0.204855205344841,8.81460652752064,1.20106127317449e-18,3.47864981654455e-18
"NPIPB9",7.85713465854976,2.0611605612011,0.499371954016122,4.12750564909491,3.66719425677333e-05,6.28971628667021e-05
"NPLOC4",4703.46618547046,0.397270898479387,0.0445088513836432,8.92566054008265,4.43047289548808e-19,1.30186856796511e-18
"NPPA",4.55385442621612,2.56169429036078,0.200804961691724,12.7571264613147,2.84503764237576e-37,1.37194845900243e-36
"NPPC",2.11309277642347,1.63648833609161,0.298539822281141,5.48164169050285,4.21397030222696e-08,8.33729381411221e-08
"NPR1",587.316960646738,3.26594625892573,0.104623642025452,31.2161400205436,6.43505755151546e-214,1.22352615260999e-211
"NPR2",251.472350291372,0.72137562660893,0.0801484567998359,9.00049302771363,2.24706284149584e-19,6.6713087326709e-19
"NPR3",87.31364664807,3.3246904745009,0.205196914916076,16.2024388907634,4.84661592638639e-59,3.82088961499716e-58
"NPTN",2189.97984162476,0.190521305091151,0.0316211778103244,6.02511728797606,1.68987032581124e-09,3.55244875887811e-09
"NPTX1",30.5194691116419,1.94560190579091,0.186614541435808,10.4257786709518,1.89103962559941e-25,6.69679463203624e-25
"NPTXR",25.0597290869854,0.83368375648276,0.157404077874901,5.29645589706602,1.18071838607117e-07,2.2903750174251e-07
"NPY1R",21.2205469780868,1.99793544237035,0.16397616033447,12.1843043421377,3.76855241665845e-34,1.68479089071951e-33
"NPY5R",9.4725169243064,1.97543431569612,0.225080119815367,8.77658283333316,1.68516663634829e-18,4.86023968311237e-18
"NQO1",125.070320405093,0.573722674457885,0.09796308631431,5.85651898121219,4.72669588520034e-09,9.74719477748295e-09
"NR1D1",205.062074594033,1.23144880785813,0.0858023698385909,14.3521537945246,1.03279265787558e-46,6.19018984823651e-46
"NR1D2",644.834649898049,0.550569845928204,0.0889091558656298,6.19249885535176,5.92177799115179e-10,1.27169845128892e-09
"NR1H2",2328.0808508852,0.857398350814707,0.0471773378465726,18.1739451599217,8.30095166727682e-74,8.91820191945894e-73
"NR1H3",543.747323581252,0.881976160247523,0.0574971819358499,15.339467614805,4.16597549979943e-53,2.86328559108329e-52
"NR1I3",6.22020528926223,0.557753792758416,0.176312344756397,3.1634415249201,0.00155915670192463,0.00240326177108432
"NR2C2",1479.57159724139,0.624616724206354,0.0439397652640335,14.215294971492,7.36404944845543e-46,4.33001514606945e-45
"NR2E3",2.28960851150539,1.15508737774769,0.295220283183078,3.91262878449097,9.12968213926023e-05,0.000153024807824952
"NR2F1",1481.23238699615,1.54059487545746,0.114852221998094,13.4137141507199,5.02574434851429e-41,2.64201885756237e-40
"NR2F6",6301.61925378808,0.221878612211987,0.0968146506107481,2.29178756326942,0.0219179046784483,0.0304428797578005
"NR3C1",1674.12798823983,0.465760423639933,0.05892000964097,7.90496176898225,2.68015843291788e-15,6.97828132372843e-15
"NR3C2",145.198069013532,1.5873279996992,0.0840520613130364,18.8850573668562,1.51373424498785e-79,1.83251744393233e-78
"NR4A2",44.1157772832746,0.957028559563451,0.145215940814398,6.59038225553101,4.38695596310896e-11,9.82862319252434e-11
"NR4A3",95.8552900674375,0.413013959588446,0.133758210041052,3.087765300251,0.0020166767331808,0.00308014903233082
"NR5A1",0.393185948291328,1.84835277751234,0.654385926971642,2.82456070848913,0.00473454782326764,0.00700613989857774
"NRARP",199.936079296983,2.75327301930892,0.143533022927129,19.1821572705728,5.21702574018617e-82,6.62032666278476e-81
"NRBF2",1054.52584913296,0.260701706842153,0.0470711050530004,5.53846582842303,3.05132766794185e-08,6.07580214862732e-08
"NRCAM",1363.60390525112,1.38215562137946,0.117296292474238,11.7834553183599,4.75049493674153e-32,2.00793383969202e-31
"NRD1",3785.96541519248,0.317139026777266,0.0295345089717284,10.7379143184959,6.75532427409125e-27,2.49056488553998e-26
"NRDE2",601.133304324718,0.8099307915048,0.0446485494836838,18.1401367092738,1.53648504708431e-73,1.6382898527488e-72
"NRF1",581.452091928452,0.900269385635226,0.0348275287854355,25.8493616122344,2.4736443527476e-147,1.05601277594844e-145
"NRG1",0.363452075329134,2.4096141951709,0.735956098895761,3.27412762634392,0.00105988729356648,0.00165820840162047
"NRG2",17.601890245198,1.11985732733785,0.150817688730143,7.42523862264996,1.12576771118344e-13,2.7749885862552e-13
"NRG3",5.52763166012283,1.98656888588925,0.242800648489035,8.18189283369632,2.79419503955588e-16,7.49602287941561e-16
"NRGN",148.491654787028,0.771962641552571,0.10670468115669,7.23457146569778,4.67001375835678e-13,1.12587886304295e-12
"NRIP2",50.937885722279,1.02468558991083,0.0777175924838541,13.1847315023777,1.07435811991933e-39,5.48475334415498e-39
"NRL",37.1700879150264,0.688085844830207,0.0914538476643087,7.52385889061662,5.31827424575708e-14,1.32567228252175e-13
"NRN1",393.827386950716,2.94845621941069,0.152269475059951,19.3634096278971,1.57132693732379e-83,2.05389042656777e-82
"NRN1L",7.85934239237261,0.987862301730878,0.22047397324824,4.48063001349646,7.44230278248476e-06,1.3262151906474e-05
"NRP1",8018.8167675128,0.290718538152354,0.0530443979052564,5.48066430448719,4.23731798766289e-08,8.38202105165768e-08
"NRROS",367.834579183184,0.669904164900439,0.109699102656186,6.10674243161333,1.01685135778964e-09,2.16152563146828e-09
"NRXN2",38.4207184815931,1.31496796462391,0.127461647028441,10.3165775374807,5.92993509906081e-25,2.07309504869206e-24
"NSFL1C",3381.13393136568,0.182281882249548,0.032437179294763,5.61953555187758,1.91471477585496e-08,3.84540533627679e-08
"NSMF",247.663247902729,0.369790261651714,0.0933329321325501,3.96205554890896,7.43072457896178e-05,0.000125272017229409
"NSRP1",658.915630265362,0.348077712851582,0.052591427071864,6.61852572237577,3.62798787306433e-11,8.16297271439475e-11
