"","M02","F01","F02","M03","M04","M08","M09","M10","F08","F10","F11","F13","M16","M17","M18","F14","F15","F16","F17","M21","M22","M01","M05","F06","M07","F03","F04","F05","M06","F07","M11","F09","F12","M12","M13","M14","M15","M19","M20"
"ENSG00000154620",12,0,0,11,20,17,36,23,0,0,0,0,22,20,18,0,0,0,0,29,41,11,13,0,15,0,0,0,16,0,13,0,0,13,26,24,9,41,36
"ENSG00000241859",51,0,0,38,45,42,69,46,0,0,0,0,61,38,62,0,0,0,0,31,27,38,27,0,25,0,0,0,37,0,57,0,0,33,63,40,29,99,86
"ENSG00000165246",33,0,0,13,133,19,67,28,0,0,0,0,54,29,47,3,0,0,0,36,46,20,14,0,35,0,2,2,24,0,45,0,0,60,32,45,29,38,45
"ENSG00000226555",2,0,0,0,2,0,3,2,0,0,0,0,5,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,8,6,5,2,0,2
"ENSG00000230663",5,0,0,5,4,3,3,4,0,0,0,0,3,2,2,0,0,0,0,2,0,2,1,0,2,0,0,0,1,0,1,0,0,5,1,3,1,9,5
"ENSG00000176728",99,0,0,58,138,76,190,79,0,0,0,0,111,39,100,0,0,0,0,70,95,48,65,0,46,0,0,0,79,0,138,2,0,104,81,110,24,52,154
"ENSG00000217896",18,0,0,3,24,9,12,11,0,0,0,0,7,4,5,0,0,0,0,3,7,9,3,0,7,0,0,0,6,0,13,0,0,5,26,17,3,10,18
"ENSG00000131002",579,0,0,62,820,217,141,277,0,1,0,0,300,139,212,0,0,0,0,182,221,170,152,0,280,0,0,0,292,0,192,1,0,368,557,290,30,123,852
"ENSG00000267793",8,0,0,0,3,3,0,7,0,0,0,0,3,2,3,0,0,0,0,2,5,2,1,0,2,0,0,0,3,0,1,0,0,3,5,7,0,1,5
"ENSG00000260197",13,0,0,0,30,3,30,17,0,0,0,0,3,5,6,0,0,0,0,6,16,5,3,0,8,0,0,0,2,0,5,0,0,5,4,10,2,7,16
"ENSG00000012817",819,0,0,693,1212,921,1453,1055,0,0,0,0,996,1080,909,0,0,0,0,969,718,513,605,0,825,0,0,0,726,0,915,0,0,969,1229,835,900,1205,1692
"ENSG00000229236",18,0,0,5,23,17,28,19,0,0,0,0,10,14,9,0,0,0,0,6,8,7,12,0,7,0,0,0,13,0,16,0,0,10,27,22,11,12,24
"ENSG00000277438",1,0,0,0,2,2,4,2,0,0,0,0,1,3,4,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,4,3,0,3,3
"ENSG00000198692",270,0,1,188,766,289,1062,724,0,3,1,0,287,416,312,0,0,0,0,843,802,160,184,1,239,0,0,0,187,0,312,1,0,365,277,275,315,485,567
"ENSG00000228786",3,0,0,2,4,2,4,5,0,0,0,0,0,5,6,0,0,0,0,4,5,3,1,0,2,0,0,0,2,0,3,0,0,2,3,4,3,5,4
"ENSG00000215506",2,0,0,0,36,1,0,0,0,0,0,0,34,1,0,0,0,0,0,2,38,0,11,0,1,0,0,0,0,0,0,1,1,0,13,0,0,1,1
