Gene_Symbol,WT_1.gProcessedSignal,WT_2.gProcessedSignal,RNA5_TLR4_1.gProcessedSignal,RNA5_TLR4_2.gProcessedSignal
lnc-PERP-3,6.467503,6.935457,3.249369,7.51665
MIR4435-2HG,112.4527,91.58573,105.5298,75.30647
SNHG11,1538.11,1715.967,1399.948,1249.633
,21.49442,14.70131,28.24439,17.73736
,5.430743,3.719365,4.999142,5.610076
HCG18,276.7921,384.7474,392.8831,334.3684
LOC441204,2.564762,3.239998,3.667168,3.52829
LINC00870,2.49485,2.741951,2.981991,3.227957
XLOC_l2_015561,13.2285,14.7513,10.63852,9.684609
,6.230259,3.283863,5.227757,5.154815
SNHG11,1894.732,1771.492,1439.0,967.4194
LOC100293612,15.96656,15.54744,21.71458,13.06345
RNASEH1,183.6179,306.7271,301.3183,264.882
LINC01197,19.56528,27.53767,234.4846,309.027
,3.374763,6.693521,9.123095,8.625665
GARS-DT,18.23157,44.71468,46.48958,49.73281
lnc-RGL4-1,19.81853,18.4973,12.67625,18.28659
CTD-3080P12.3,77.9576,99.63025,93.0488,69.71299
RPS6KA2-AS1,2.824013,3.531352,3.983372,3.804128
SNORA26,292.7607,306.9957,460.8698,447.6954
LINC00513,76.95555,135.8287,224.5502,162.7262
LINC01122,280.1177,299.8895,279.8732,249.9637
APTR,27.49227,25.58319,23.98089,15.60273
lnc-TRIM39-1,3.427086,21.71983,9.06804,25.06034
KIF9-AS1,91.42878,131.6706,152.1745,134.3271
LOC148696,3.475665,9.622291,7.623135,5.450891
LINC00989,238.1813,272.3031,316.9629,225.8569
NEAT1,260.6429,278.9533,383.9467,379.1616
LOC105377329,2.714325,2.704052,2.952587,2.789074
TBXAS1,329.8166,380.0412,338.2762,300.9157
lnc-MAGI2-1,9.198566,6.557175,11.37866,14.89467
LINC01471,2.41889,2.831648,3.103254,3.026963
,6.79507,12.69429,4.39936,2.704442
LINC00887,72.85524,40.74559,71.13208,63.55649
,5.290565,3.432745,3.610966,4.652794
,2.513439,3.025847,3.323394,3.138294
MIATNB,14.02187,16.5803,17.15003,16.90572
,76.42558,60.61525,58.5265,53.08752
lnc-BTBD10-3,200.9982,295.9347,240.7671,256.2897
LINC02037,3.378201,3.430013,3.683205,3.492161
PURPL,23.16402,35.21292,25.12119,38.91049
LINC01176,9.846837,5.102523,9.617594,9.801535
LINC01023,137.5726,148.8937,127.4106,113.0596
LOC648987,416.4992,570.3051,450.4239,336.9588
LINC01828,2.364137,3.062991,3.327658,3.172897
LINC00607,2.362495,3.052491,3.318354,3.161901
LOC102723493,16.1288,16.63828,8.647067,4.889887
LINC01204,9.16053,8.469553,10.30837,2.780403
APCDD1L-DT,100.0205,119.9137,125.042,113.2069
,54.60043,47.15588,40.01583,34.82589
LINC01193,19.13367,32.97907,107.2146,101.196
,20.52336,19.32291,27.82697,16.8408
LINC01611,20.09773,15.21773,14.14472,13.64388
SEPT7-AS1,16.34928,15.60723,11.63184,11.48324
LINC01978,1612.975,1708.22,790.3977,699.8434
,89.0411,90.33816,73.5269,68.89713
MRPL23-AS1,3.397352,9.039248,4.484305,3.743114
,899.121,1628.251,1527.397,1170.583
APTR,191.5472,313.4132,343.3082,246.3853
KIAA1671,29.07578,33.50122,20.54081,29.95277
,5.981693,5.370994,9.241233,9.409882
LOC105375547,2.581328,6.544311,3.381587,3.18142
LOC105377329,13.61301,31.23224,12.45779,18.73108
PVT1,651.2513,619.8132,702.1594,611.2711
,2.824335,3.029711,3.244413,3.161983
LINC00673,22.92773,29.06563,35.04443,27.75519
SNHG5,53117.78,57995.17,59629.95,55287.43
RFX8,39.32005,48.60747,30.19342,29.37601
SEM1,7.559407,9.245572,3.551903,4.510654
LOC101929551,4.700665,10.23829,3.517545,3.320294
XLOC_l2_006673,7.526347,10.51059,2.950999,9.350318
LOC101927314,2.807339,3.498837,5.984652,3.828088
CRYBB2P1,4.454616,3.326982,8.219471,4.817428
LINC01234,6.336296,8.509559,9.692094,3.084437
SNHG5,42557.6,48370.3,52254.11,45936.88
lnc-RAD23B-2,86.80194,87.60323,91.65973,97.08452
LOC101928682,9.794797,5.806562,8.28359,4.181024
LOC100126447,5.45403,3.519353,3.78137,3.607699
,6.341667,4.560011,3.808857,3.584654
LINC00911,2.831501,3.039008,3.256373,3.206456
ZNF300P1,2.820817,3.497494,3.981319,3.819172
LOC105372687,5.552513,7.192731,3.773754,4.428412
XLOC_l2_008691,2.226369,2.716542,2.947169,2.801302
LINC00574,35.30515,62.11014,41.2867,34.19135
,7.759904,13.89414,16.45837,19.21428
MIR570HG,166.7375,131.895,180.0476,180.6175
UBA6-AS1,19.74715,32.02487,32.53635,36.9922
ERVMER34-1,2.483464,3.048163,3.37276,3.192975
LINC00472,379.5748,434.2059,950.5218,780.761
ERVMER34-1,10.02756,5.869894,10.85177,12.02052
,2699.854,3359.781,1766.207,1443.854
LOC105377329,44.87315,41.39813,35.42612,30.08212
MAVS,642.6919,823.7406,812.6483,607.1912
TALAM1,86.80294,87.81867,111.1139,94.54042
LINC00698,3.09091,3.215773,3.454614,3.854607
TSTD3,1040.65,1301.699,1095.569,1007.674
LINC01605,221.4457,344.0943,137.1809,147.0543
LINC00963,5.465352,14.56027,13.72328,15.01153
PWAR5,16.28394,37.30411,31.39346,29.98126
LINC01091,22.34114,17.67307,25.88847,12.64937
,7.552196,3.230215,3.527712,4.791834
,3.348628,2.871928,3.148775,2.957483
JPX,2.284489,2.827588,3.064276,2.906341
,2.289827,2.892645,3.133035,2.976147
lnc-SHPRH-2,3.164309,5.299505,3.525997,3.314571
LOC100294145,92.38113,75.73146,108.0365,70.2439
LINC01104,254.7279,268.839,257.916,236.9878
LINC00673,1990.106,1547.958,2198.955,1747.719
CTD-3080P12.3,24.49415,21.67938,17.21209,17.78389
LRRFIP1,84.50338,103.5463,164.1354,125.8109
KIAA1328,5.149003,11.31649,20.14094,21.52535
DUBR,2.755532,2.970952,3.186968,3.103232
GMDS-DT,18.51699,15.20011,15.11974,20.23803
FLJ37201,85.67634,90.70621,88.68777,86.78075
,2.737082,2.95744,3.182787,3.154702
LINC00870,10.77268,10.27608,12.28441,18.88658
LINC01699,3.433779,3.471609,3.713071,3.542704
LINC01630,36.46727,37.46187,28.03058,27.03533
