Gene_Symbol,fc,pval
PWAR5,1.21302697268736,0.570250831090255
LOC100294145,1.02792250820268,0.934125650835222
LINC01104,-1.0156272381587,0.956555306954539
LINC00673,1.33205523810831,0.0158305063296812
LRRFIP1,1.53769471915741,0.0303793393816623
FLJ37201,-1.01129802126207,0.976393372456564
LINC01630,-1.34093781172035,0.331129610987666
LOC220729,-1.37721953202653,0.123607173080378
NUP50-DT,1.6900085647535,0.0447691644202515
LINC01004,1.88632916614754,0.0051284613222772
X23,1.0907031907405,0.797868075447606
HCG18,1.11443249904641,0.59189964330974
LINC02593,-1.70304958796898,0.0230576888530525
LOC105375451,-1.26328017380317,0.359251993271684
TUG1,1.31762389098197,0.0479011354712023
IPW,-1.18460429720226,0.327524516658603
SEC14L1,-1.14258572306422,0.501547813140189
