"","x.WT_1.gProcessedSignal","x.WT_2.gProcessedSignal","median.1","std.dev.1","p.outlier.x","flag.outlier.x","y.RNA5_TLR4_1.gProcessedSignal","y.RNA5_TLR4_2.gProcessedSignal","median.2","std.dev.2","p.outlier.y","flag.outlier.y","median.diff","pooled.std.dev","z.stats","p.value"
"MT1A",74083.95,89962.05,82023,16061.7307512677,0.4879654064874,".",41256.07,41107.11,41181.59,9046.49050712488,0.990694624785643,".",40841.41,13034.918204993,3.13323101516323,0.00172893305976781
"SNAR-H",59872.13,84443.8,72157.965,16062.1668627192,0.280430503095537,".",40663.64,44748.18,42705.91,9046.3313494258,0.749096413769627,".",29452.055,13035.1316681006,2.25943670918757,0.0238562331020005
"COX1",37647.83,50431.59,44039.71,16062.0412602865,0.571865122263892,".",101999.5,73646.47,87822.985,9045.96222064084,0.027304037102428,".",-43783.275,13034.9261974207,-3.35892005346864,0.000782477009040918
"SLC20A1",58909,98181.16,78545.08,16061.908692413,0.0856883568247266,".",40814.71,31710.19,36262.45,9046.34076427774,0.476299678476691,".",42282.63,13034.9758739102,3.2437827587107,0.00117953670879499
"LAMA5",40182.66,54655.47,47419.065,16061.9993392085,0.521691208490963,".",79197.35,72948.81,76073.08,9043.34690747843,0.626639183267373,".",-28654.015,13033.9929810809,-2.1984065083963,0.0279201503132915
"MT1L",67952.91,76679.72,72316.315,16062.1641646733,0.701494677987983,".",35268.39,37720.48,36494.435,9046.36271770552,0.847865725721726,".",35821.88,13035.1408905544,2.74810071488812,0.00599415935068608
"SNAR-G2",50718.62,75949.87,63334.245,16062.0187791023,0.265360199998731,".",35075.12,38200.62,36637.87,9046.37583885349,0.806816426649817,".",26696.375,13035.0558701915,2.04804453972838,0.0405556353816991
"MT1B",58274.04,70481.49,64377.765,16062.0540805095,0.590157650430623,".",35157.95,35265.15,35211.55,9046.23222408064,0.993310247245105,".",29166.215,13035.0277854941,2.23752610887852,0.0252519748577481
"GAS5",46738.68,49632.78,48185.73,16061.982238238,0.898032046264642,".",76584.24,74013.73,75298.985,9042.17993169552,0.841369486612891,".",-27113.255,13033.5776235581,-2.08026190376101,0.0375015170354558
"PDZD7",34070.71,47127.9,40599.305,16062.0402262722,0.564457002586041,".",71987.08,64266.52,68126.8,9042.8440932381,0.547191206436312,".",-27527.495,13033.8437447477,-2.11200130514783,0.0346863373515704
"ND4L",35856.54,40439.71,38148.125,16062.0220222038,0.839990685197812,".",64453.05,71503.26,67978.155,9042.99876000866,0.582507411040747,".",-29830.03,13033.8861820886,-2.28865202467343,0.0220995785696483
"MT1HL1",50403.46,58630.14,54516.8,16061.8342705989,0.715662444212104,".",24953.28,25661.43,25307.355,9045.75372189785,0.955893231433986,".",29209.445,13034.726321128,2.24089438323337,0.0250329171691938
"KRT81",28096.49,22723.35,25409.92,16061.9427408515,0.813092693857699,".",54910.88,47240.03,51075.455,9044.87676576714,0.548269702842208,".",-25665.535,13034.4888721865,-1.96904805793851,0.0489475726806451
