"","WT_1.gProcessedSignal","WT_2.gProcessedSignal","RNA5_TLR4_1.gProcessedSignal","RNA5_TLR4_2.gProcessedSignal"
"RPS23",16.7427207656444,16.8049713663163,16.8569774624865,16.8174367731438
"SVOP",16.67017486472,16.7173264517076,16.8728999854352,16.948112846113
"RPL36A",16.7961865244287,16.7735648088645,16.7654400254206,16.8728999854352
"RPS21",16.8659557217539,16.7654400254206,16.7961865244287,16.7427207656444
"RPL7",16.7665854116545,16.7100399095075,16.8224556663751,16.7802920464121
"OAZ1",16.9745433728684,16.9418977640202,16.6213988140175,16.5226897934829
"RPS19",16.6267122284369,16.7587956226245,16.8409242631695,16.8340439593457
"RPS13",16.8452418684747,16.8224556663751,16.7135343063726,16.6779614499205
"SNAR-B2",16.9632687519619,17.1946895128434,16.2921386208987,16.5498676365029
"UBC",17.0194449253889,17.0403459561632,16.4849493252642,16.4517612859652
"NME2",16.7282554195115,16.7665854116545,16.7587956226245,16.7057503280385
"ACTG1P20",16.7135343063726,16.688465496612,16.7282554195115,16.7735648088645
"RPL38",16.7654400254206,16.7754342950317,16.7330475080768,16.6239068005118
"RPL30",16.7057503280385,16.7427207656444,16.7173264517076,16.6938221707474
"PABPC1",16.6938221707474,16.67017486472,16.67017486472,16.7665854116545
"RPS15",16.7330475080768,16.7885211366123,16.6735953585411,16.6038309196161
"RPL10",16.9177425221345,16.9994927757896,16.459499202318,16.4006658808746
"VIM",16.878856651214,17.0230579080318,16.3736775583194,16.4228790572979
"RPL3",16.6239068005118,16.6735953585411,16.657033090363,16.688465496612
"HMGN2",16.8367882556884,17.0895012769499,16.3028584543957,16.3504870322108
"RPL32",16.6110714561652,16.5381808280652,16.6779614499205,16.6366655970624
"RPL37",16.6140268326497,16.5972904050634,16.6038309196161,16.6095272626204
"PRDX1",16.5708274536913,16.6831320925185,16.5916540647934,16.4747153145188
"AP2S1",16.7100399095075,16.8340439593457,16.3504870322108,16.4092105981635
"COX2",16.3600122902222,16.3239980131982,16.8049713663163,16.7654400254206
"RPL22L1",16.6095272626204,16.6038309196161,16.4878765433388,16.4996492995106
"HSCB",16.4477103915447,16.3864081906508,16.6474079036512,16.7100399095075
"RPS7",16.4996492995106,16.5682088652629,16.5682088652629,16.5433381920212
"RPS16",16.5226897934829,16.3669463088554,16.6239068005118,16.5814711953352
"ANXA2",16.6213988140175,16.6672542111904,16.3969504491325,16.3600122902222
"RPL14",16.5498676365029,16.5865138614412,16.4517612859652,16.4425737832402
"RPL34",16.4228790572979,16.3278689879301,16.6074271020971,16.5865138614412
"RGS4",16.4849493252642,16.2706116852466,16.5708274536913,16.6140268326497
"LDHB",16.4878765433388,16.5831608058481,16.4178656190291,16.438416616236
"RPL9",16.4092105981635,16.4178656190291,16.561977929309,16.4784225298658
"PLAU",16.6366655970624,16.9327896627416,16.1653801703598,16.1252811212539
"SLC25A3",16.5728513521295,16.6074271020971,16.3796481416767,16.2984115542715
"ATF4",16.657033090363,16.459499202318,16.3931921602442,16.3129041812838
"RPS11",16.3736775583194,16.3365308751605,16.5433381920212,16.5280150179318
"RPL13AP3",16.3669463088554,16.3096917532063,16.4477103915447,16.5381808280652
"RAN",16.5153951741697,16.555813657425,16.2734422133058,16.2369231140991
"PSMD2",16.6038309196161,16.7282554195115,16.1581078500232,16.0711601497314
"ATP5F1E",16.5527249518242,16.4251545922463,16.3129041812838,16.2647005620764
"SNAR-D",16.5916540647934,16.8861620880784,15.9157673596639,16.1581078500232
"RPL15",16.3864081906508,16.3129041812838,16.4784225298658,16.353481951807
"CALR",16.6831320925185,16.4849493252642,16.2346678646689,16.1225663688838
"CAVIN1",16.1130483620477,16.2109343795022,16.5226897934829,16.657033090363
"POLR2L",16.4517612859652,16.4996492995106,16.2493842974519,16.2961628502407
"RPL24",16.3475716061594,16.4228790572979,16.3327019494219,16.2921386208987
"TPT1",16.2623364674004,16.2810671559561,16.4665762478861,16.3278689879301
"UBB",16.438416616236,16.5153951741697,16.1887025734647,16.1563013991141
"SNORD3B-1",16.1172069211667,16.1636624378428,16.4717302421595,16.5153951741697
"RPS14",16.3278689879301,16.3600122902222,16.2961628502407,16.2810671559561
"RPL27",16.3365308751605,16.2847617576678,16.3170311284113,16.3096917532063
"SLC35E4",16.0348368943862,16.193368449132,16.5153951741697,16.4902935922491
"PPIAL4A",16.3931921602442,16.4665762478861,16.193368449132,16.169246439998
"RPL17",16.2984115542715,16.2647005620764,16.3239980131982,16.2623364674004
"LGALS1",16.459499202318,16.4477103915447,16.0969225629762,16.1302409742087
"RPL4",16.2810671559561,16.2369231140991,16.3278689879301,16.2109343795022
"XRCC3",16.0662728652806,16.0819068821866,16.4092105981635,16.4878765433388
"RPL39",16.1581078500232,16.1130483620477,16.276954703779,16.3170311284113
"TXN",16.3239980131982,16.2961628502407,16.1225663688838,16.0912950984954
"HINT1",16.2308756126532,16.2346678646689,16.220092089674,16.1151842969288
"XRCC6",16.2921386208987,16.3969504491325,15.9983669189804,16.044111435902
"RPSAP58",16.1302409742087,15.9892959619718,16.2706116852466,16.3239980131982
"CATSPER2P1",15.8612899005654,15.9405829949189,16.4228790572979,16.4849493252642
"RPS2P32",16.1900695776144,16.1887025734647,16.2005428348144,16.1172069211667
