"ProbeID","Gene_Symbol","x.WT_1.gProcessedSignal","x.WT_2.gProcessedSignal","median.1","std.dev.1","p.outlier.x","flag.outlier.x","y.RNA5_TLR4_1.gProcessedSignal","y.RNA5_TLR4_2.gProcessedSignal","median.2","std.dev.2","p.outlier.y","flag.outlier.y","median.diff","pooled.std.dev","z.stats"
"A_19_P00315941","MIR570HG",6.17723533443449,5.07033590350148,5.62378561896799,0.296264999396024,0.00849701794268909,"*",5.76172812373861,5.7366829884596,5.7492055560991,0.214177762445346,0.934418251495643,".",-0.125419937131119,0.258500545253991,-0.485182485815986
"A_19_P00315967","",7.07603030745398,7.00164295210275,7.03883662977836,0.260496270089654,0.839096574966819,".",6.70233486484071,5.72724152928481,6.21478819706276,0.19380393331717,0.000393170025955403,"***",0.824048432715605,0.229584702560763,3.58930026053242
"A_19_P00316050","",4.92337212180173,5.42191078948787,5.1726414556448,0.314793292911838,0.261660237421496,".",6.16190598843769,5.91491722706778,6.03841160775274,0.201103011560814,0.387240697328458,".",-0.865770152107935,0.26413750067068,-3.27772523746015
"A_19_P00316107","L3MBTL1",5.76784654578501,6.07097343410277,5.91940998994389,0.285800036805499,0.455943632138848,".",6.01481225797507,6.45286983499934,6.23384104648721,0.193044267486021,0.109863398074818,".",-0.314431056543315,0.243872661697903,-1.28932474166709
"A_19_P00316110","LINC00313",5.03888355226406,5.54098793238797,5.28993574232601,0.309870503380264,0.25154077436002,".",5.34854898418427,5.3405236884746,5.34453633632944,0.234621419037145,0.980753681906007,".",-0.0546005940034204,0.274833530647319,-0.198667876786428
"A_19_P00316156","LOC101928673",4.36600680643039,4.9617367084402,4.6638717574353,0.334129810110556,0.205804895824354,".",5.53723783678251,5.40795531884963,5.47259657781607,0.22793879032324,0.689444398243452,".",-0.808724820380775,0.286005963345643,-2.82765020323516
"A_19_P00316185","LINC02541",8.04349802536076,7.85027637102348,7.94688719819212,0.234323962095669,0.559308180537157,".",7.80980171349492,7.7788405078879,7.79432111069141,0.147029768800991,0.881260575383529,".",0.152566087500711,0.195608629827374,0.77995581092384
"A_19_P00316202","MIR3150BHG",8.19152189505772,8.02634597626876,8.10893393566324,0.228626385167413,0.609765184652798,".",7.47117643642912,7.42179194804158,7.44648419223535,0.155516168665812,0.82164057727856,".",0.66244974342789,0.195518928381898,3.38816169314287
"A_19_P00316219","LINC02482",4.60929659295669,3.86546859938299,4.23738259616984,0.347435137769002,0.130684618714164,".",3.90069627648852,4.15899493678633,4.02984560663742,0.298398120890986,0.541761828624371,".",0.207536989532415,0.323846115854303,0.640850636682595
"A_19_P00316225","FAM107A",5.11370258424671,5.14488682370868,5.12929470397769,0.316586022996909,0.944313845584539,".",4.69409322727558,4.73730702869601,4.7157001279858,0.268481792407435,0.908927143589669,".",0.413594575991899,0.293521023788168,1.40907990389945
"A_19_P00316326","MAP3K13",10.2963124535832,10.2365577563251,10.2664351049541,0.17498730141006,0.808610654229956,".",10.1689339284783,10.0470970482709,10.1080154883746,0.110903777570876,0.434830209628884,".",0.15841961657955,0.146492667963734,1.08141669328303
"A_19_P00316340","LINC00513",6.88431483795333,5.97885890679178,6.43158687237255,0.272352130798444,0.019092273474294,".",7.97976798374895,8.12442607809183,8.05209703092039,0.141112303768756,0.467921744919354,".",-1.62051015854783,0.216896709778385,-7.47134504808116
"A_19_P00316344","lnc-C9orf69-2",7.63509383603759,7.70217361014624,7.66863372309192,0.243808440899785,0.844939679879875,".",8.15183413495299,7.61685275187699,7.88434344341499,0.144923491517037,0.00886791151447119,"*",-0.215709720323074,0.200555945121894,-1.07555884315456
"A_19_P00316371","LOC100506178",7.29400823945934,7.30269023180577,7.29834923563256,0.254695942298408,0.980619114542724,".",7.83589755421988,7.3877398984751,7.61181872634749,0.151415149798307,0.035643156188693,".",-0.313469490714935,0.209519176463299,-1.49613747059494
"A_19_P00316423","",10.3268472315788,10.2271581360115,10.2770026837951,0.174800035792144,0.685818955968541,".",10.3307271415838,10.3459082591228,10.3383177003533,0.107967954917138,0.920486787863418,".",-0.0613150165581509,0.145279268655105,-0.422049320083747
"A_19_P00316427","CDKN2B-AS1",6.06968163367631,5.47967432483355,5.77467797925493,0.290684421724749,0.153375517085381,".",6.29986934242381,6.33928608063347,6.31957771152864,0.189697034122359,0.883562527431611,".",-0.54489973227371,0.245440825646704,-2.2200859650711
"A_19_P00316467","",8.65927036125208,8.69158895200564,8.67542965662886,0.209553246798246,0.913709598677071,".",9.67393537742213,9.68724735062325,9.68059136402269,0.115917873808266,0.934983706476668,".",-1.00516170739383,0.169336228716591,-5.93589283883315
"A_19_P00316493","",5.2772480546118,5.17267881315022,5.22496343388101,0.312606605534525,0.812712785958248,".",5.01574319261851,4.74764809851421,4.88169564556636,0.259653732708273,0.463903160011161,".",0.34326778831465,0.287352528032344,1.19458767481598
"A_19_P00316528","",6.00554083391861,5.89021559891686,5.94787821641773,0.28490016836809,0.776006530612435,".",5.46512091624523,5.25727381570061,5.36119736597292,0.233742931527959,0.530631099382722,".",0.586680850444814,0.260579991533742,2.25144243420871
"A_19_P00316533","BLCAP",4.7920268781614,5.13320620989696,4.96261654402918,0.323241499849057,0.453651920725753,".",5.15616687546735,4.52133465763935,4.83875076655335,0.261963030619251,0.0854340723122859,".",0.12386577747583,0.294202053558342,0.421022817406224
"A_19_P00316547","",5.17569422664477,5.46147315980316,5.31858369322396,0.308662323343847,0.512544833549514,".",5.92265672570997,6.24518721496399,6.08392197033698,0.199172941999346,0.254193585827907,".",-0.765338277113016,0.259752084377293,-2.94641823162948
"A_19_P00316564","LOC653712",5.65345695594002,5.12166904791309,5.38756300192656,0.305766928584769,0.219121178359966,".",5.37173190193441,5.06778671749178,5.21975930971309,0.241277950204052,0.373683289391943,".",0.16780369221346,0.275416469978497,0.609272539970327
"A_19_P00316625","MAGI2-AS3",8.97477532321646,8.87315603596086,8.92396567958866,0.202531996435791,0.724269975447679,".",9.08630100398104,9.31559105214418,9.20094602806261,0.121203594593006,0.181538620994227,".",-0.276980348473948,0.166897454927469,-1.65958401579173
"A_19_P00316682","",4.913365625276,5.21318192679976,5.06327377603788,0.319271369227359,0.505215118487529,".",4.992808652275,4.55967195707857,4.77624030467678,0.265294740982053,0.246203294416497,".",0.287033471361095,0.293526410056274,0.977879541762755
"A_19_P00316701","SNHG5",15.8987170999919,15.7966509499143,15.8476840249531,0.105007607377806,0.479317150388071,".",15.9556091325902,16.0607291694402,16.0081691510152,0.0576903925532658,0.200948108622009,".",-0.160485126062099,0.0847194753293518,-1.89431208630842
"A_19_P00316726","",9.6363869076576,10.0448242709455,9.84060558930155,0.182732027282804,0.113339824676388,".",10.2651461299296,10.2959423696285,10.280544249779,0.108714917573214,0.840554543609694,".",-0.4399386604775,0.150349471395536,-2.92610713156496
