NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION	REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION	Details ...	9	0.5905771	1.2790122	0.15944882	0.9473155	1.0	1591	tags=33%, list=10%, signal=37%	
REACTOME_LGI_ADAM_INTERACTIONS	REACTOME_LGI_ADAM_INTERACTIONS	Details ...	13	0.5910897	1.2781982	0.14312977	0.9400145	1.0	3556	tags=54%, list=22%, signal=69%	
REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE	REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE	Details ...	5	0.6561279	1.2763921	0.15674603	0.9407316	1.0	2320	tags=40%, list=14%, signal=47%	
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES	REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES	Details ...	15	0.5552773	1.2762372	0.106	0.9309189	1.0	685	tags=27%, list=4%, signal=28%	
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	Details ...	94	0.42680562	1.273054	0.05566219	0.9416412	1.0	3275	tags=38%, list=20%, signal=48%	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	Details ...	200	0.38552755	1.272781	0.07884616	0.9330104	1.0	3296	tags=36%, list=20%, signal=45%	
REACTOME_RA_BIOSYNTHESIS_PATHWAY	REACTOME_RA_BIOSYNTHESIS_PATHWAY	Details ...	21	0.519529	1.2660551	0.21314742	0.963073	1.0	4254	tags=52%, list=26%, signal=71%	
REACTOME_COENZYME_A_BIOSYNTHESIS	REACTOME_COENZYME_A_BIOSYNTHESIS	Details ...	8	0.6449295	1.2649176	0.19760479	0.9570869	1.0	1158	tags=38%, list=7%, signal=40%	
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	Details ...	16	0.5648399	1.2646484	0.2932331	0.94898605	1.0	1221	tags=19%, list=8%, signal=20%	
REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM	REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM	Details ...	10	0.5479082	1.2642889	0.103053436	0.9410013	1.0	4627	tags=60%, list=28%, signal=84%	
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NUDT_PROTEINS	REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NUDT_PROTEINS	Details ...	6	0.68251604	1.2604538	0.09942639	0.9529556	1.0	4202	tags=67%, list=26%, signal=90%	
