NAME	TITLE	SCORE	
GYLTL1B	glycosyltransferase-like 1B	1.2387395	
DOK7	docking protein 7	1.2364018	
STMN1	stathmin 1/oncoprotein 18	1.2328498	
ANXA9	annexin A9	1.2316507	
KIF4A	kinesin family member 4A	1.2304119	
CNTNAP2	contactin associated protein-like 2	1.2299341	
KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7	1.2250025	
MMP23B	matrix metallopeptidase 23B	1.2249976	
ZNF704	zinc finger protein 704	1.21617	
DOCK3	dedicator of cytokinesis 3	1.2142361	
PSPH	phosphoserine phosphatase	1.2096256	
TLCD1	TLC domain containing 1	1.2035804	
RGPD3	RANBP2-like and GRIP domain containing 3	1.2006109	
CHST9	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	1.1998252	
HSD17B7P2	hydroxysteroid (17-beta) dehydrogenase 7 pseudogene 2	1.1969645	
CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	1.1912307	
GSTA4	glutathione S-transferase A4	1.1883322	
BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	1.1882414	
RNF186	ring finger protein 186	1.1882023	
FBXL21	F-box and leucine-rich repeat protein 21	1.1855636	
CXXC4	CXXC finger 4	1.1803374	
PLA2G4B	phospholipase A2, group IVB (cytosolic)	1.1790348	
CRYAB	crystallin, alpha B	1.1785312	
MYADM	myeloid-associated differentiation marker	1.1778616	
BPHL	biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	1.1749077	
PRKCQ	protein kinase C, theta	1.1738371	
KLF11	Kruppel-like factor 11	1.168529	
LRRC56	leucine rich repeat containing 56	1.1647109	
LRRC19	leucine rich repeat containing 19	1.16343	
CERK	ceramide kinase	1.1606942	
SYCE1	synaptonemal complex central element protein 1	1.1593629	
OLR1	oxidised low density lipoprotein (lectin-like) receptor 1	1.1589878	
SNORA56	small nucleolar RNA, H/ACA box 56	1.1586759	
ITM2A	integral membrane protein 2A	1.1566529	
H2AFY	H2A histone family, member Y	1.1562607	
SLC18A2	solute carrier family 18 (vesicular monoamine), member 2	1.1526793	
LOC392364	-	1.1472245	
FAM117A	family with sequence similarity 117, member A	1.1449089	
ARL3	ADP-ribosylation factor-like 3	1.1430486	
RFC3	replication factor C (activator 1) 3, 38kDa	1.1410404	
RORA	RAR-related orphan receptor A	1.1364172	
KRTAP5-11	keratin associated protein 5-11	1.1360699	
USP30	ubiquitin specific peptidase 30	1.1357964	
LOC440028	-	1.1343879	
POMZP3	POM (POM121 homolog, rat) and ZP3 fusion	1.132666	
CPS1	carbamoyl-phosphate synthetase 1, mitochondrial	1.1321661	
TNPO3	transportin 3	1.1311867	
FLJ31813	-	1.1308756	
SERINC5	serine incorporator 5	1.1307203	
LGI3	leucine-rich repeat LGI family, member 3	1.1282275	
FASTKD1	FAST kinase domains 1	1.1243497	
IFT172	intraflagellar transport 172 homolog (Chlamydomonas)	1.1201996	
RND2	Rho family GTPase 2	1.1199461	
TOB1	transducer of ERBB2, 1	1.1163034	
ZNF154	zinc finger protein 154	1.1146826	
DLEU1	deleted in lymphocytic leukemia, 1	1.1133302	
HIST1H2AG	histone cluster 1, H2ag	1.1128752	
TM4SF19	transmembrane 4 L six family member 19	1.1102679	
ESPL1	extra spindle poles like 1 (S. cerevisiae)	1.1092252	
AP4B1	adaptor-related protein complex 4, beta 1 subunit	1.105735	
CORO6	coronin 6	1.1024035	
SUSD1	sushi domain containing 1	1.1022685	
OVGP1	oviductal glycoprotein 1, 120kDa (mucin 9, oviductin)	1.1004624	
TMPRSS9	transmembrane protease, serine 9	1.0979934	
CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	1.0950981	
OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	1.0943918	
LYPD1	LY6/PLAUR domain containing 1	1.0929649	
PLXDC2	plexin domain containing 2	1.0920664	
SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	1.0838135	
HAO2	hydroxyacid oxidase 2 (long chain)	1.0834694	
OSBP2	oxysterol binding protein 2	1.0819011	
LOC645638	-	1.0811479	
LOXL1	lysyl oxidase-like 1	1.0795997	
FILIP1	filamin A interacting protein 1	1.0795678	
FAM69B	family with sequence similarity 69, member B	1.0795236	
GNG7	guanine nucleotide binding protein (G protein), gamma 7	1.0769901	
EOMES	eomesodermin homolog (Xenopus laevis)	1.0733598	
GUCA2B	guanylate cyclase activator 2B (uroguanylin)	1.071801	
SLC5A12	solute carrier family 5 (sodium/glucose cotransporter), member 12	1.0693989	
UCA1	-	1.0679166	
HMCN1	hemicentin 1	1.0679042	
INMT	indolethylamine N-methyltransferase	1.066852	
FLJ22763	-	1.0653768	
ACN9	ACN9 homolog (S. cerevisiae)	1.0645075	
MPI	mannose phosphate isomerase	1.0619237	
PAQR7	progestin and adipoQ receptor family member VII	1.0619131	
PTPN14	protein tyrosine phosphatase, non-receptor type 14	1.0571897	
ZNF577	zinc finger protein 577	1.057063	
ALDH1L1	aldehyde dehydrogenase 1 family, member L1	1.0569266	
ASB5	ankyrin repeat and SOCS box-containing 5	1.05585	
RASL10B	RAS-like, family 10, member B	1.0555581	
HPSE	heparanase	1.0532985	
LRRC25	leucine rich repeat containing 25	1.0469694	
HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	1.0462959	
SYNE2	spectrin repeat containing, nuclear envelope 2	1.0446749	
SAT2	spermidine/spermine N1-acetyltransferase 2	1.0408747	
CCDC12	coiled-coil domain containing 12	1.0391041	
TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	1.0372716	
CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	1.0361103	
INPP4A	inositol polyphosphate-4-phosphatase, type I, 107kDa	1.0334634	
CAND2	cullin-associated and neddylation-dissociated 2 (putative)	1.031252	
CDX2	caudal type homeobox transcription factor 2	1.0312275	
SCTR	secretin receptor	1.0308857	
PRKAA2	protein kinase, AMP-activated, alpha 2 catalytic subunit	1.0292361	
SEC14L1	SEC14-like 1 (S. cerevisiae)	1.0270782	
GYS2	glycogen synthase 2 (liver)	1.025798	
ACAD11	acyl-Coenzyme A dehydrogenase family, member 11	1.0237874	
POLR2H	polymerase (RNA) II (DNA directed) polypeptide H	1.0237074	
KCNE3	potassium voltage-gated channel, Isk-related family, member 3	1.0226545	
LOC283177	-	1.0218829	
RNF185	ring finger protein 185	1.0203834	
C1QTNF9	C1q and tumor necrosis factor related protein 9	1.0203553	
LOC643669	-	1.0175786	
INSL3	insulin-like 3 (Leydig cell)	1.0174537	
