NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE	53	45		
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	18	13		
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	16	13		
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	11	9		
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	45	25		
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	45	39		
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE	97	91		
REACTOME_MITOCHONDRIAL_UNCOUPLING	6	5		
REACTOME_MTORC1_MEDIATED_SIGNALLING	24	15		
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	13	12		
REACTOME_SIGNALING_BY_NTRKS	134	130		
REACTOME_COMPLEMENT_CASCADE	115	54		
REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION	8	8		
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	80	21		
REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT	8	8		
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	71	14		
REACTOME_SIGNALLING_TO_RAS	20	19		
REACTOME_HIV_TRANSCRIPTION_INITIATION	47	47		
REACTOME_HIV_TRANSCRIPTION_ELONGATION	43	35		
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	70	62		
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	23	19		
REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY	33	25		
REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION	9	9		
REACTOME_THE_FATTY_ACID_CYCLING_MODEL	5	5		
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	13	11		
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	94	87		
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	103	97		
REACTOME_INNATE_IMMUNE_SYSTEM	1117		Rejected!	
REACTOME_INFLUENZA_INFECTION	157	149		
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	33	28		
REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS	41	35		
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	44	39		
REACTOME_NOD1_2_SIGNALING_PATHWAY	36	31		
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	56	48		
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	10	9		
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	155	144		
REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT	19	19		
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	81	71		
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	14	13		
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	10	10		
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	14	14		
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	32	27		
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	73	71		
REACTOME_ARMS_MEDIATED_ACTIVATION	7	6		
REACTOME_P38MAPK_EVENTS	13	13		
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE	23	17		
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION	5	5		
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	24	21		
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	88	82		
