"Symbol","logFC","AveExpr","P.Value","adj.P.Val"
"PWWP2A",2.04501257410945,9.48629367596257,0.0018545259228542,0.0109741751886251
"PTPRF",-2.04013943762659,6.88227830053544,0.000354173972599277,0.00477083948209903
"MAP2K3",2.03709697279147,9.65624494693708,0.00102851943761237,0.00794762998527239
"STK26",2.02635587836902,10.3877152615374,0.00010206158807375,0.00256554153954642
"TALDO1",2.02608749874098,14.7290509960903,0.000270349588873164,0.00411147654758308
"FUCA1",-2.02517220218184,12.2779589240548,0.00111528504989222,0.00833476906081617
"TCF4",-2.02300432207747,11.3103424295458,0.00195693174295118,0.011303083154881
"SEMA4A",2.02261181959318,9.64964413145733,0.00195627453105831,0.011303083154881
"CCR5",-2.0216124689126,11.3744311396334,0.000100303190171147,0.00255085437478731
"EIF4EBP2",2.0169355804053,7.84404577057649,7.69610389539284e-05,0.00225081438540643
"STAT4",-2.01127807808402,7.61772311346008,0.0124918093140386,0.0357499879653556
"PSG8",-2.00619620667467,7.6862059356238,0.000768443173351514,0.00696441756178942
"FGD3",1.99814426582279,12.7664514121106,0.000195608726451951,0.00354144941890628
"CNN1",-1.99763941623826,7.07060153749119,0.00890967665711308,0.0284959753104891
"TMEM131L",1.99761300539693,7.94683557235485,0.000809747033191874,0.00709777111284266
"TMEM164",1.9962205096749,10.6527921152103,0.00018275650037662,0.00342052372838523
"CTSZ",-1.9951682308001,11.9869023038375,0.0180773064214562,0.0463061606969017
"TSPO",1.99223904335596,15.8918262789213,0.000133383863909105,0.00289785971761382
"SERPINB2",1.99212179978105,8.29832865070598,0.00283735285145907,0.0139871352575342
"MAP3K20",1.98646244665311,9.14127788636204,0.00258559772550999,0.0132040867056937
"CD163",-1.98596270113122,15.3863934529476,0.00092170489463609,0.00753976183015467
"ICA1",-1.97998721200541,9.59517477087386,0.000268116383520825,0.0041103971376862
"GSN",-1.97451374917237,10.6405205815672,0.000112723218967615,0.00267217975189168
"CD9",-1.97414343641462,9.17783713877774,0.000552793174689091,0.00591617072531436
"CES1",1.97310200091954,8.48880342478016,0.000219913933930675,0.00376147700130116
"LILRB3",1.97275997383137,13.0577495257649,6.40385114937342e-05,0.00209644887784227
"ING1",1.97188904082311,9.65809975620401,0.000884273297740893,0.00737985880296858
"THBS1",1.96792616551194,10.3153677802006,0.0141470207617865,0.0390397190610143
"LST1",1.96591249605644,13.5168905022853,0.00123845071710541,0.00880933512897059
"IRAK3",1.96528488383384,10.0638026701163,0.000308238365987421,0.00440572281009088
"KLF13",1.96521482195175,9.29542558903167,0.0131366396900385,0.0369966697048343
"TNFRSF12A",-1.96421840789634,9.30578711925282,0.00297338650923368,0.0143690060477997
"METTL9",1.96194960251389,10.4692597970119,0.000813398458808079,0.0071223201975967
"FGL2",1.95385102132432,12.3698520539771,0.00124082780863309,0.00881172620772983
"ETV5",-1.94815369303583,6.88621093181514,0.00154436439583694,0.00992255755466338
"CTSB",-1.94469561328356,13.2643304667299,7.97857832510004e-05,0.0022680040966004
"TREM1",1.94468266015146,10.8319906935282,0.000103186045787821,0.00258526092972187
"SLC39A14",-1.94077584996613,8.36677128370204,0.00446321443806542,0.0183748146112883
"MCM6",-1.93789916755668,8.98766795591138,0.000482440158363514,0.00552897507791433
"SLC46A1",-1.9361750844716,8.97659401578372,0.00057265438634933,0.00603013390554661
"CALR",-1.93182051772355,13.5215980087373,0.0135493818114203,0.0378000532473943
"APPL2",-1.93045444107786,9.16403396461311,0.000923721418344228,0.00754455173479002
"KLRB1",-1.92941966481028,8.44860541759051,0.00602383833369443,0.022251769098573
"RASGRP4",1.92829963781774,10.1894139048327,7.89709191008717e-05,0.00226227390713583
"IMPDH1",1.92047565647706,14.0845873965633,0.000113152044152946,0.00267217975189168
"TBL1X",1.91984011976984,9.39610737649987,0.000847856246557005,0.00725665519142915
"PRELID1",1.91548278617028,13.4521816556128,6.33054164513972e-05,0.00208924981101982
"MLC1",1.91366777587791,8.49618272468819,0.00506491932444384,0.0198677567929177
"IFI44L",-1.9126020490846,11.5201421055548,0.0102331516220197,0.0312815617824474
"ST6GALNAC2",1.91225752651818,7.98968153364166,0.0158427031922203,0.0423362906602155
"DUS2",1.91013797623417,8.38303608762826,0.00107692690609764,0.00815226699250023
"SLC29A1",-1.90121285667688,10.1755629474587,0.000495818302611675,0.00559167841437125
"TNFRSF4",-1.90089507482949,7.62396146959157,0.00655943026494626,0.023417856538015
"CTRL",1.89829970616232,7.66361113922739,0.00042462785760437,0.00523619429390657
"CERK",1.89808901279674,8.97315905853618,0.000194864784965299,0.00354030846725277
"SCO2",1.89797799271041,12.5805782208746,0.000246866474357141,0.00400589419415948
"TPD52",-1.895351486747,7.32058450326938,0.00127614310629936,0.00893535191556199
"GAPT",1.89449755214103,10.8568826831498,0.00442044578726059,0.0182798837913695
"TNFRSF10C",1.89156686283859,9.95813757925255,0.000671368066292128,0.00652879320679851
"DENND10",1.88456603169517,12.8369313792057,0.000167722221660969,0.00331882495705834
"PELI3",1.88175569529644,9.27684984848363,6.24322933054532e-05,0.00207758154660846
"CEP170B",-1.88169652185308,8.23738814725338,0.00085324059490816,0.00727358910726642
"GNG12",-1.8774527790143,6.8769577499898,0.00491482787143967,0.0194952275088301
"LINC00265",1.87630696567174,11.6480050907415,0.000862581012172754,0.00730313468701956
"IFI6",-1.87537985153479,11.6825972808894,0.00400985913277834,0.0172168090602182
"PTGIR",1.86243141822386,9.44423953329565,0.000172698579800955,0.00334147582902408
"TACC3",1.85553039602818,9.50654035918563,0.0011700755451461,0.00855094132175964
"AMDHD2",-1.85445990474409,8.86284117925214,0.0002341653253117,0.00390909579290925
"AKR1B1",-1.85167544267984,11.7276528257546,0.00447366286400696,0.0183979082844288
"RGS2",1.84944508591665,14.5994428018893,0.00204028268200594,0.0115500258243839
"SH3BGRL3",1.8449840944495,14.7348079408017,0.000474086255952563,0.00547581196627214
"GAS7",1.84181453126084,8.82547757641841,0.000316584288410224,0.0044662466216537
"SLC26A6",1.83561865032977,10.0039503389839,0.002067517001746,0.0116153670345597
"TSPAN3",-1.83482355760155,10.9809719116901,0.000134312640929786,0.00290145830008549
"ERC2",-1.83317501655483,6.83411728845304,0.00241594346540886,0.0126783773697142
"BCR",1.83009048855932,9.24496863591118,0.00145399756701624,0.009581674451417
"ANKRD37",-1.82759663559711,9.58659264608394,0.00533626252196789,0.0204904921528344
"STAB1",-1.82388257822028,13.6784766977991,8.83982274899191e-05,0.00239244200816526
"ADGRE2",1.82384327902992,11.3730090773147,0.000202608603141202,0.00359338218713332
"NOTCH2",1.82160838911917,13.1934355585859,0.0001682856886778,0.00331882495705834
"ABTB1",1.81870641212996,11.5944327314212,0.000203298464373364,0.00359338218713332
"CFI",-1.81678446001333,6.73038665787326,0.00880539253438851,0.0282694552803421
"DLGAP5",-1.81615073257356,6.77892242363225,0.0110533275669198,0.032941212157107
"SEMA4D",1.81541604186835,8.82053514672515,0.00527444062452879,0.0203433155003383
"SLED1",1.81104277018522,8.34969684838243,0.00652691379254645,0.0233969650785101
"IKBKE",1.80611539668854,7.55243577049759,9.48829681124388e-05,0.00247085647098282
"SPINT1",1.80194326406564,9.06406567707642,0.000260621962991343,0.00406390010483973
"CAST",1.79642794992639,12.1887259106224,0.00020872431076583,0.00366122182021539
"FPR1",1.79424662216858,14.4867281977351,0.00103611409412292,0.00797834083211208
"RGS19",1.79244401707413,10.9152946037229,0.000557361134050329,0.00595429007362712
"MAST3",1.7915477040108,10.5788103584113,0.000623745309634517,0.00629382317497288
"PDGFC",-1.78743612000834,7.2911646426398,0.000194986476075356,0.00354030846725277
"ITGAE",1.78422852310477,9.28921443318674,0.000453455758256504,0.00535102694899918
"NAAA",1.78237749877815,12.684003543254,0.000131417162048781,0.00288469032275595
"SLC25A4",-1.78218515694691,7.58012026191115,0.000267937549132231,0.0041103971376862
"TTC9",1.77794420116389,7.53196011124693,0.000126265954440653,0.00281456334962822
"TOP2A",-1.77403203040979,6.78376847532425,0.000326891598164835,0.00453450501670929
"INPP4B",-1.77273340368301,7.25548996884977,0.00507346835095166,0.0198807798714952
"KDM6B",1.76787879424911,7.91524029924917,0.00180821245774517,0.0108307581951117
"PRKCD",1.76547356626926,12.236422554394,0.000367071299343456,0.00487122192008315
"ABCC6",1.76510402867472,8.60862802829323,0.000117032008240035,0.00271314448371105
"SAPCD2",1.76367652884858,8.386061758562,0.0018694581371146,0.0110236073091623
"DNASE1L3",-1.76212984312193,7.14807600180875,0.00695129384151128,0.0243149204336973
"MUSTN1",1.7606318102646,7.95873200889954,0.000512915110543139,0.00571094659585717
"TES",1.7509166948635,8.68418099331092,0.00117794074608031,0.00858688487331544
"CALCOCO2",1.7507670615781,9.10908172177567,0.000108864343685668,0.00263170378133674
"ENPP1",-1.74952984435945,6.73519901912693,0.00372357364985662,0.0164856209802094
"NPLOC4",1.74884139721653,10.8688976973919,0.00196629384215067,0.0113270442240256
"SKAP1",-1.74714474776914,7.93373054403676,0.00470123014315585,0.0189293905261091
"IFIT1",-1.7429311007203,11.6852738595233,0.000434695089395582,0.00527676893815758
"SCLT1",1.74263625124348,10.7132348208972,0.00174915055097342,0.0106191942431951
"PTN",-1.74257141939435,6.83558106270968,0.0151083769049234,0.0409350072991404
"LILRP2",1.74055779974576,11.8596047916879,0.00118443226115517,0.00860750743161822
"VAT1",-1.73914647526598,11.971408098913,0.00575231403964988,0.0216376927813493
"LRRC36",1.73869733863547,7.1874474740345,0.000261512094449736,0.00406653980817135
"AHNAK",1.73836925422278,14.610231486435,0.000544039240083185,0.00588878915529187
"ICAM1",-1.73136005002093,11.508079459376,0.000420666956227281,0.0052139389326035
"SLC7A5",-1.73128966200891,7.40565694906002,0.0105223838220883,0.0317760947510563
"FABP5",-1.73090664139554,9.41131491005234,0.00208294663378847,0.0116546918346781
"GSTT2",-1.73025716996107,7.43599037138127,0.000410635596845901,0.00514348496213484
"POU2AF1",1.72950561681553,6.78496041565687,9.07102647582953e-05,0.00242822522767906
"ZG16B",1.72918624467458,9.16326137089067,0.00257177182197252,0.0131644247285621
"CD38",-1.72551237745771,9.19301858584478,0.000241844723122813,0.00397189476161095
"NR4A1",-1.72350477838944,12.194411351518,0.000799360241406605,0.00705962285209736
"CD84",-1.7195957549457,10.4479379140985,0.0068721401845153,0.0241198956672302
"ST6GAL1",-1.71898541617881,12.1695009483928,9.09351111938256e-05,0.00242822522767906
"ZNF281",1.71897576136669,10.0066068810265,0.000875983375582914,0.00734639802425736
"SON",1.71281294889208,8.80367172306178,0.00533685161871234,0.0204904921528344
"GDPD5",1.70976383633135,7.5631657757027,0.000106771627708898,0.00260815596673567
"ZDHHC20",1.70814203217988,9.91709826102916,0.0019601362298682,0.0113129987794443
"GNG7",-1.7061249965093,9.80849588967526,0.000125449479981019,0.0028141932237327
"KLHL8",1.70506697020739,8.25337439342413,0.00037934984856101,0.00496484724347318
"LINC01002",1.70229381889304,13.9774178073002,0.0072873416267043,0.0250390935400157
"MORC4",-1.69707829505536,7.60447146990988,0.000121113632762168,0.00278232043360583
"SLC38A6",-1.69141020872292,7.56127156601025,0.000140228115116709,0.00300453835026012
"TLE3",1.68863966064193,8.73679355382403,0.000940645196340186,0.0076152333657821
"ASPHD2",1.68625371795973,7.91967519239683,0.000607245483304358,0.0061946999344591
"HRH1",-1.68484208731764,7.56730148004198,0.000140866418060713,0.00300532347454135
"ABLIM3",-1.68412133352917,6.79461931993637,0.000103803068034911,0.00258792960438511
"RHOH",-1.67978497624346,7.7484948805721,0.000596080558426691,0.0061086207092676
"ST3GAL4",1.6770401491508,7.87343309324794,0.000131449920677924,0.00288469032275595
"MRTFA",1.67385175851808,10.6012650442077,0.0038267494579531,0.0167041348325346
"H3C1",1.67379064683481,13.8227845983612,0.000122544626361996,0.0027899082001695
"PER3",-1.67333509417675,7.63193479248536,0.00248824716699124,0.0129167794304986
"LAMB3",-1.67243612433913,7.86084425980318,0.00206119789415719,0.0115927135999788
"ZAP70",-1.67208409779072,8.11296504133472,0.0159675414410342,0.0425577234902293
"TBL1Y",1.67091381109764,8.91590821170257,0.00193327273883988,0.0112317239639322
"LINC00482",1.66928693196984,7.66344827269606,0.000922504937914733,0.00753976183015467
"ENOSF1",-1.66403426338042,9.1563902622051,0.00314077623065709,0.0148882143117877
"RIN3",1.66379940299559,12.0765901881647,0.000250965812045673,0.00401153084282279
"PGS1",1.66244088223842,8.03595275777916,0.00075386708922771,0.00692342932111148
"RND3",-1.65723341762585,6.80659863601789,0.00175841759267546,0.0106626853067816
"CAMTA1",-1.65627877635979,6.84413091206073,0.000485182889197659,0.00554369750482194
"CSGALNACT2",1.65421186427378,8.1792495203133,0.000258787071321565,0.00406189949681936
"IGF2R",1.65413355626065,10.0862352702496,0.00760642691051404,0.0257690951307601
"TFRC",-1.65406710948537,11.3121865734281,0.0117043396968013,0.0341230171610333
"IRAG1",1.64358068631917,9.212459614444,0.00752029176571058,0.0255515185819764
"ADAM28",-1.64347951151854,8.27663531542258,0.000452007919583836,0.00534120935589043
"PPM1F",1.64282123118093,8.03965891336671,0.000347562340669988,0.00471557330760418
"KRT18P55",-1.64267830557557,7.7961742282738,0.00420085958771719,0.0177167699972277
"TMEM106C",-1.64021402710375,9.66160677750045,0.00558901044440282,0.0212017138534493
"ENPP4",-1.63955465891761,8.68574664695105,0.00694586967580393,0.0243057492014787
"BUB1",-1.63676803626495,6.76738879638419,0.00234197668413844,0.0124708618390677
"SEPTIN9",1.63032714280973,15.251494217675,0.000462160034183516,0.00541348036607865
"UNC119",1.62892117416537,10.3306565997279,0.000150498526106775,0.00313180162716482
"CD109",-1.62674343257253,7.66448703745575,0.00522349083113488,0.0202185921506488
"NR2F1",-1.62319344765151,6.72987903108894,0.0193891904983071,0.0485304162439525
"LHX2",-1.62106796057429,6.9570017451837,0.00393275616144667,0.0170203061193173
"LINC01001",1.61764221265254,11.7067043632938,0.000293194953984051,0.00425062808407002
"FES",1.61371605994185,12.6004546611123,0.000504530975407723,0.00565107392730337
"BCL2",-1.60873786181996,7.94853528541187,0.000162495044648023,0.00326593399915106
"ADAM9",-1.60674222320712,8.86598138861009,0.000860077434894143,0.00730313468701956
"EHD1",1.60519466481087,11.7468043029408,0.000578417802212647,0.00606213124343545
"EREG",1.60256662278501,7.37584659148275,0.000430827650823599,0.0052542316870291
"ULK1",1.60237106226987,12.9906961395465,0.00319849808226895,0.0150295430240535
"SLURP2",1.60167623417227,12.0129878977024,0.00201044397882331,0.0114598320951818
"LILRA4",1.59798270047281,12.0718816211157,0.000918232254157408,0.00752396342738462
"MITF",-1.59414188690824,9.3805706966226,0.00526726579161537,0.0203318620902689
"CLEC7A",1.58779932950987,9.52987084555024,0.000445552303533673,0.00531031303459255
"GBA2",1.58757236277803,8.69582886373319,0.00656336257234953,0.0234199009855213
"LINC00324",1.58687978082165,7.75728626924553,0.00026219946620662,0.00407306382233941
"GPR68",-1.58284029674662,7.23145295320908,0.00214665279297991,0.0118772098747283
"SMC1A",1.57951605957102,9.1913755073299,0.00154607097778499,0.00992932746205831
"CSAD",1.57919432758829,8.55159462508764,0.00159389339066551,0.0101200202050598
"KRT18",-1.57263089616423,7.383693575952,0.00111716264668258,0.00833738358731171
"SECTM1",1.57216514081851,13.7646054423546,0.000772951503633403,0.00698043139385795
"IL6R",1.57160917041555,11.2062348158587,0.000171676188570595,0.00334147582902408
"S100A10",1.56952370132042,13.7568674252445,0.000127866519903452,0.00283468518176632
"MIIP",1.56781735585548,10.1750122724962,0.00105221658904567,0.00805172072681076
"TXNIP",1.56732488670241,15.597452183821,0.000402328691705598,0.00511223832988518
"RAC3",1.56699219921585,7.50648019821935,0.000217652345756484,0.00375664770836115
"FHL3",1.56658647181066,9.07396881040401,0.000298034786312318,0.00428809179776512
"C9orf72",1.56442376712511,10.0672636828708,0.000964860063018728,0.00771844848531824
"UPP1",1.56422653277875,10.3335112586998,0.000470421171000228,0.00547373004481368
"EGFL7",-1.56334936929669,8.41656389810315,0.000763322349679388,0.00694946975347108
"SEL1L3",-1.5624252125254,9.17463281165176,0.000977014054761547,0.00774279819948599
"PSD4",1.56160508670387,10.0920321379764,0.00223270834127093,0.0121181400621157
"SFMBT2",-1.56095221765022,7.70268224078645,0.0101976134929753,0.0312231338838672
"TGFB2",-1.55701011966772,6.73523330375087,0.00141648420617005,0.00941685537695686
"CCNB1",-1.55491461424285,7.67397122492011,0.00372744207330412,0.0164931449085857
"IGBP1",1.55398770194053,10.0278349968197,0.000924580372773328,0.00754751385353557
"MARCKS",-1.55287303128978,14.1090549051983,0.000186934556606194,0.0034635000277712
"TCHH",-1.55180304318956,6.81651535483287,0.000140467304513082,0.00300453835026012
"ADAM8",1.55007971378206,14.2925437665965,0.00441275055162678,0.0182623433531414
"C1orf162",1.54964439566894,14.2750767703504,0.0044255375473023,0.0182890149509167
"U2SURP",1.54725643118806,8.27851371591439,0.00437237411661435,0.018165635676927
"STK35",1.54608351698163,7.31199802351367,0.000177612665146131,0.00336603301510559
"SLC35A1",1.54584582861002,11.0003731196928,0.0123564840558621,0.0354494264330411
"PTPN22",1.54570190556119,9.07134351481105,0.000268539564334818,0.00411147654758308
"MAPK14",1.54345519543766,11.79825232588,0.00129254046016615,0.00898398323501226
"CTSC",-1.54303787257206,10.5057136210081,0.000140899239699368,0.00300532347454135
"SASH3",1.54149575204461,8.61977567018776,0.000250233543670325,0.00401153084282279
"BCL2A1",1.53786311196238,11.1830391883019,0.000504749273794826,0.00565107392730337
"STOM",-1.53746151842633,11.5766353691896,0.00144700449469774,0.0095632926860727
"EEF2",1.53718019398715,14.1100455654637,0.00289013387285291,0.0141328926373163
"KYNU",1.53693459269808,9.88986711583829,0.000754347868561396,0.00692342932111148
"PTPRC",1.53548388772871,14.404503336938,0.000202014498500021,0.00359241938250952
"PBX1",-1.53453300518833,6.76766391867878,0.0190784412551634,0.0480213397233573
"CD96",-1.53378745757461,6.93938198904937,0.00866308776105143,0.0280069467257106
"VDR",1.53304077063124,9.84770730485937,0.00774614926258707,0.0260569427085654
"USP15",1.53183266843737,12.1561942112545,0.0102047664756821,0.0312261747610008
"PRRG4",1.52941962520763,8.60884267356116,0.000581908568237143,0.00606378649212819
"TNFRSF1B",1.52197072320136,9.62300475878701,0.000266439535243896,0.0041095460973521
"FOXO4",1.51924835555328,8.08551138937336,0.00212512606673072,0.0118211109081349
"ANKRD33B",-1.51831553689172,7.25353927361811,0.00393269322385872,0.0170203061193173
"FGFBP3",1.51564239107545,8.56368189140325,0.00215948653769742,0.0119311758563793
"MAP4K2",1.51526978108134,8.36093161077178,0.000292531054179466,0.00425062808407002
"QPRT",-1.51344292925719,9.56031476321428,0.000366511816240898,0.00487122192008315
"TCEANC2",1.51332433314067,8.54538717923658,0.000269593302174064,0.00411147654758308
"PRDM1",-1.51320614575931,8.22712367654122,0.000207940407945744,0.00365590488328194
"IL16",1.51276453306917,10.6201992787204,0.00023354325937185,0.00390728920630044
"HDAC4",1.51121993035107,8.86445527598511,0.000505326375659777,0.00565107392730337
"MAPKAPK3",1.51043080349878,12.7521094655996,0.00818350695994331,0.0269732929880403
"NDUFA10",1.50812221311639,7.35910205670712,0.000417718961900512,0.00519858426561619
"NAT8L",-1.50739310133173,6.73686423853622,0.00078148699656307,0.00699520555840563
"RBBP4",1.50651482235,8.74294174457632,0.000660639704323644,0.00647689368474192
"HRH2",1.50639921246942,7.50500612819197,0.000394556551531597,0.00505511039232732
"P4HA1",-1.50629716688029,8.82708197082889,0.00342653302404119,0.0157147589619452
"TYK2",1.50450133919621,12.831966350963,0.000279981364950946,0.0041950311312059
"SNX8",-1.50442135297771,9.91716523222045,0.000902883189093277,0.00746252583681009
"VCPKMT",1.50181518746826,8.5114658576825,0.000267923803916563,0.0041103971376862
"APOL6",1.49919237467589,8.5997607994581,0.000272567703643159,0.00412094604267
"CFB",-1.49909593818837,7.33818282178527,0.000171885719529353,0.00334147582902408
"CLASRP",1.49578564071986,10.0009359103821,0.000209396975996351,0.00366878941353976
"GLCCI1",-1.49349991358799,8.67106176628525,0.000220272586591641,0.00376147700130116
"BRICD5",1.49237979390635,8.33767568056522,0.000232916117355527,0.00390108845015732
"KIF2C",-1.49048254080892,8.21318548366083,0.0192229000750962,0.0482491936527585
"UPK3A",1.4900105547579,6.83406655443276,0.000198259624244649,0.00356943532912823
"MCM2",-1.48660465472845,8.34042555509891,0.000755760213339018,0.00692385621955408
"SLC25A20",1.48577787122562,8.88216266943731,0.00116704924315768,0.00854903282929009
"SMPDL3A",-1.4851813408327,10.6201312371505,0.00247620718028043,0.012883393362198
"CXCL2",-1.48382069880726,9.51734358685613,0.0109245160144726,0.0326790006978951
"ITSN1",-1.48342865401288,10.2375939119952,0.00369776871457274,0.0164081083836889
"IL6",-1.48224993474012,7.06781748801198,0.00580366027483387,0.0217439446093989
"IL15",1.48063495274168,10.9335565988993,0.000966408518335079,0.00771844848531824
"TMOD4",1.4804325005032,7.37350335040983,0.000644274559740531,0.00638009406730012
"TCIRG1",1.47899469226631,13.9920726292168,0.000285945637579505,0.00422239228108633
"SLC7A7",1.47763957563265,14.0461350279469,0.000292027043120469,0.00425062808407002
"CTTNBP2NL",-1.47649258034557,8.50066491878621,0.000281047890112229,0.00419860148607738
"CD55",1.4763177706763,10.808715636365,0.00182201065548367,0.0108663286465081
"DUSP22",1.47505486255116,8.17043519886905,0.000419216098420265,0.00520443953042888
"ANAPC1P2",1.47368586603703,9.91739420374625,0.00063256673424201,0.0063519635825985
"ELANE",1.4719047976927,6.86630899549226,0.00219369808034112,0.0120092730042577
"CORO1B",1.46905800824351,11.1458542099772,0.00147630041759419,0.00965659215086986
"MPEG1",1.46857885660187,14.3451672812972,0.000578676922844472,0.00606213124343545
"MIDN",1.46805772460518,7.85348009763319,0.000960667938685262,0.0077056107655725
"MEI1",1.46767038068345,10.1752388917015,0.00317484154704641,0.0149662107857384
"MID1IP1",1.46764005854544,10.3039664988618,0.0113137689980612,0.033409669693692
"TTYH3",-1.46731534867104,11.1274096936443,0.000590070860002034,0.0060880580996682
"TBC1D4",-1.46666771457554,8.89549453133195,0.000222472237877009,0.00377606896610887
"IFITM1",-1.46660042869195,11.2518726135576,0.00302872153034264,0.0145164818888909
"MTHFS",1.46394018328506,11.7140947723805,0.00140278557807205,0.0093650408565934
"TRIM22",1.46309488924706,10.5861689070535,0.00104973698293153,0.00805063037641081
"HIPK2",1.45890334419934,10.120454375942,0.000884746467154488,0.00737985880296858
"SNRK",1.45773683710281,8.69670141527521,0.0114876801122599,0.0337539560765296
"RALGAPA2",1.45527946752243,8.91079207072149,0.00353402933233318,0.0159529587670297
"RRAGD",-1.4544806244537,9.55412682126732,0.000385680588209832,0.0049897584631213
"EIF3L",1.45442297461151,13.935746727062,0.000834037490906487,0.00717638708770631
"BTBD9",1.45423311483653,9.6459276348843,0.000675171043843453,0.00655264916067085
"BCL6",1.45401542514673,11.208112622043,0.000173412509741104,0.00335102598239226
"SNX21",1.45218784767192,8.49716755518917,0.00246542114938734,0.0128492545715842
"SNX15",1.45167436149177,8.0641003054085,0.000277209591015577,0.00416170134270967
"BAX",1.45076559372979,7.39014492254779,0.0123699783275035,0.0354814467002401
"CDS1",-1.44873412516245,6.80125004077231,0.000348520804691419,0.00471557330760418
"ADORA2B",1.44761762454359,7.57325418334035,0.000173807221328948,0.00335439114463279
"INTS6",1.4459242240845,7.66332755772493,0.000988683999507246,0.00778421417695443
"LILRB4",-1.44485548638593,12.5618574798445,0.000390591011455103,0.00502822195718958
"RRM2",-1.44431968276247,6.7905663751686,0.00296811667304028,0.0143526608469306
"KCNE1",1.44212091011256,7.43930064972147,0.00215981898557419,0.0119311758563793
"RMDN2",1.4418607993051,8.10253141815033,0.00141905390805206,0.00942812225148787
