SYMBOL,001_C_Female,001_F_Female,002_A_Male,002_C_Male,014_D_Female,015_A_Female,015_D_Female,015_E_Male,022_B_Male,022_F_Male,023_B_Male,023_D_Female,023_E_Male,029_A_Male,029_E_Female,030_B_Male,030_E_Male,030_F_Male,033_A_Female,033_C_Male,033_D_Male,054_B_Male,054_D_Female,054_F_Female,072_C_Male,072_F_Male,087_A_Female,087_C_Female,087_E_Male,623b_Male,624_Male,657_Female,668_Male,701_Female,705_Male,777_Female,784b_Female
ISCA1,31.7233602412895,29.5033139868871,31.7182809069591,29.5045034403558,32.7495499008815,32.810384007573,32.8160791280085,32.8027987972375,32.7814699382677,32.8104871506095,31.6805819194522,32.8441789135177,32.8224377769725,32.809100233088,31.6792596168461,32.8001340688984,32.797530262997,32.7458403679575,32.8134268508329,31.6869885717859,31.6711347213235,32.7836553993506,32.7923205102227,32.7810626767338,32.7235119876192,31.6425290122164,31.6425890299564,31.6011782157615,31.653852470373,20.4539198728593,22.6831567299718,22.646950983301,21.5205631091234,21.540139440592,21.5672552220959,22.6054836003619,20.4640629412371
ISCA2,33.1302616321678,33.123512550062,33.0995238830843,33.053905089601,33.1250859632562,33.1141899953932,33.0967206183434,33.1152321196703,33.1125622240007,29.7756227442972,33.0914169358249,33.1192470705603,33.1455374321749,33.1144233898987,33.0664457925166,29.7354358695083,33.1117219867265,33.0780591250227,33.1359900459146,33.1153522447518,33.1162080631328,33.0868748746372,29.7633964386509,33.0821416667063,29.7457499935827,33.0907261619214,33.1361288574052,33.1079110007201,33.1149515650133,23.1688974787881,23.1872656769137,23.1825903044109,23.1646169599563,23.1964931696775,23.197650753035,23.194399480694,23.2081806161768
ISCU,32.910686493628,32.9197372759347,32.9720656138841,32.9710847064776,33.0119485701236,32.9826682173607,32.9485676972059,32.9435522757355,33.0192078020782,32.9396501088303,32.9609024820804,32.9802777183884,32.9543880621131,32.9654467283629,32.9947300549931,32.9888536036256,32.9937072676726,33.0046314049592,32.9588779776375,33.0633615907343,33.0401191596852,32.9951259268128,32.9939716809776,29.6688836219264,32.9698495087443,32.9517416276091,32.9473299811418,32.9569989963976,32.9241403959933,23.1116893717385,23.0837166102718,23.10431784559,23.0868884262583,23.0857972499634,23.0585490221704,23.0966225127059,23.091184839286
ISG15,33.1033428510348,33.1358245578775,32.9733694392832,29.9520983963138,32.9395688038976,32.9033283757108,33.0312669664345,33.0158409053117,33.0432973908868,32.9833490883635,33.0384976772025,33.1053270988118,33.1803322785796,29.6715673622083,33.1305263512337,32.8699085483792,33.0039993501864,33.0195350232948,29.914225754426,33.0806523987746,33.0719628737474,32.9171704236403,33.1350794788929,33.142103735294,32.9409311587141,33.1972875416304,33.160599530166,33.0428298072619,33.107780947794,19.9519804494422,23.171508359999,23.1798685537277,23.124941979301,23.1453766621359,23.2365349811463,19.9674120334954,23.1485038906434
ISG20,32.8184285072742,32.8987413000824,32.8323561951689,33.005968827417,29.5332575024263,32.85326249758,32.8313836251088,32.8508153826335,32.8984231259683,29.6041434311091,32.9293991941739,32.958634694898,32.8266643370096,32.9095386451327,32.869822358924,32.8616874461138,32.9120919002956,32.8961300134159,32.9328617409735,32.9477129440958,26.2569242018916,32.8522437356022,32.8288810166556,32.9232989122822,32.9136440874801,32.9022862937649,32.8866157524682,32.8933843322533,32.8280892129759,22.9229545405744,22.9438905155158,22.9261414149273,22.9532593553975,22.9401373865272,23.0132156571417,22.9904209967095,23.0013222844035
ISG20L2,32.6187693282837,32.6348811150001,32.6489498444856,31.5344233275519,31.4612148856589,31.5172960505193,32.6204760859071,31.4641063042282,32.6444374406753,32.6252272633412,31.5023926385531,32.5871642641521,32.5881579200259,32.5746990851691,32.5882993989448,32.6086359322044,32.6140320697768,31.480623838014,32.6018197313136,32.612093704027,31.4874509997062,32.6222652088927,32.5900130020209,32.5865483060831,32.6170489249279,32.6275403879927,32.5949398925239,31.4992555008953,32.6159837418421,22.7266721411362,22.6812611770626,22.7080708791492,22.7041320678711,22.7134816271972,21.5997982052156,22.6202049116936,22.6786170682778
ISL1,33.0319902727121,32.9953015096092,29.7229657351361,33.1049386057661,33.0852092751284,32.929068465197,33.0979419347158,33.06437710819,29.644147388926,33.1492677367859,33.0361912604862,32.9584813880549,33.0558187070344,33.0322565773642,33.1337471813059,32.8124857722976,32.9542221996115,32.9422576632672,32.8790707470564,33.054021807773,33.1116177999396,33.0520664628575,33.0081126376402,33.0060498365717,33.0656495598897,29.8115552959542,33.0443838143688,32.9586928312754,33.1600610459739,23.0531516502873,22.9609652657716,22.9386644782676,19.7265857192293,19.7407590800326,23.0053005590685,23.0885427308352,23.0962018506193
ISL2,29.0695116023887,32.3897087505298,32.3841108397624,32.3347347639033,32.3867015329232,32.3664435371718,32.3566596693829,32.4036202470121,32.3601752276142,32.3775763420534,32.4008261158413,32.3952956676188,32.3790540697322,32.322741353774,32.4219853666679,32.3795117871598,32.375417586395,29.0977905488873,29.0671779841327,32.3688964209605,32.3895577259875,29.0654220618462,32.3593869761203,32.386655594563,32.3730029550742,32.3499762691639,32.3957510598819,32.4164840603936,32.3832189267736,22.3733635545385,22.3919326544739,22.3643535068175,22.3925456666489,22.3961234025843,22.4322852306601,22.3751465787757,22.39955409317
ISLR,32.5452681639204,32.4640137151784,32.4991440430383,31.3407762958689,32.4183439181571,31.3300900501013,31.3066373848241,32.4901562439833,30.2033597057949,31.3299314355812,32.490020584415,32.5265364327613,32.4691298962294,32.4716433372491,32.4533345808249,32.4314070121642,32.472059875862,32.4746822005209,32.4942917519969,32.4394133089526,32.446919980598,32.6489137195708,32.5192196250402,32.4941349804759,32.4268598889887,31.4220211058835,32.5580322253074,31.3176182677328,32.4500825813953,22.4764214488782,22.5865101339536,22.5719815496722,22.4609337879477,22.4925447432969,21.5393753241766,22.5587204454681,21.4030317169419
ISLR2,32.381308963351,32.4240470596099,32.3667623356579,32.3871961857227,32.4120411603227,32.3576289797444,29.0480500739294,32.4260966748659,32.3957724870456,32.3564226554745,32.4346268013233,32.3849011756344,32.3859714743936,32.3939726328141,32.4044594620298,32.3393967969678,32.3934185007008,29.1008080075347,32.5306642919664,32.391151038535,32.4105480945037,32.40181915528,29.0910222056036,32.3719408580451,32.4173228124189,32.4266432696044,32.4657367830933,32.3999033096459,32.3693839136715,22.4110397321287,22.4116369233145,22.4984078289242,22.4180275846133,19.1220418393705,22.498697794902,22.4338556298163,22.4514360122297
ISM1,32.9883949552757,32.9606235378654,33.0563216141616,33.0898174995487,32.967106316139,32.9964564600774,33.0558187070344,32.9870886185873,32.9554351056444,29.6101988013728,33.0065354490739,32.9749103936661,32.846157465895,32.9376523352151,33.0528417604901,32.9600596488783,32.861407478585,32.9181129123215,32.9058439586944,33.0735840173709,33.0771412482991,33.0437573407673,32.9518144625409,32.9192086872051,33.1128840746415,33.1001260829692,32.9863171043055,33.0409283686177,32.9931239002627,22.9069703933516,19.6892728802809,22.9769526498053,22.9990759853398,23.1614053278083,19.6272114620759,22.9292976039208,19.6128756946262
ISM1-AS1,32.3681289934722,32.3172631657705,32.2997001569739,32.3504627222604,32.355300978497,32.32562681479,32.3657015272131,32.3245278341087,32.3583090099337,32.3525855992845,32.3609143135741,32.3373258963971,32.3405091557358,32.3597121288729,32.316415911517,32.3322163128013,32.3260348130564,32.3458769720663,32.3427135210469,32.3550989893183,32.3499198208777,32.3483766994334,32.3808827836077,32.3609912672291,32.3235744874325,32.3592909892941,32.3245223942098,32.3522266618704,32.365000269722,22.4107644598959,22.3967902859709,22.4399657814106,22.3971695820748,22.386485364665,22.38671874241,22.4081244586051,22.362028614621
ISM2,29.9940947247788,30.0212067567548,29.9123987069122,30.0165979116696,33.1349323292866,29.916808757099,29.9904251436687,30.0897822471449,33.2076231735204,29.90959003496,29.8718121768094,29.981967015587,30.06779397349,30.0014540668896,29.9928941040478,33.0942376933591,33.2132506303015,33.1310700284058,26.7350547586154,29.8985727743963,29.9439932789925,29.9603459033284,30.0648968015958,26.7096889987789,29.9553996675237,29.9326642984363,29.9348864438359,26.4881623249269,29.9364941824232,20.0922732404499,20.0532232575985,20.0836948636651,20.0047115022296,20.043315708302,20.0769525651756,20.1185178392942,20.0359763556062
ISOC1,32.8992377453692,32.8497398971249,32.9432126156815,32.9243913804926,32.820648573829,32.9819075847136,29.6144734626762,32.9273218304862,32.8861182999757,32.8375956626625,32.8608936102522,32.9236671634136,32.9533206118899,32.9749103936661,32.9495186325943,32.7849450891783,29.541824057506,32.8622417764846,32.8477555370423,32.9011880892258,32.8775889249846,32.8474142611735,32.8488207897311,32.8588393108766,32.8406681954288,32.860605282512,29.5367016285964,32.8994514881311,29.5860617317505,22.9603719636469,23.0108447793062,22.984300061969,23.0515949707018,23.0229739113099,22.9981778975327,22.9722664070796,22.9869082775969
