"","GSM758942","GSM758928","GSM758925","GSM758926","GSM758957","GSM758961","GSM758958","GSM758959","GSM758962"
"VSIG4",13.1688737936812,5.50783100499896,10.9401724384336,11.9510830864773,14.2429967879598,3.27574144276716,15.1180623008081,14.2685170926224,12.7720983595885
"MARCO",14.0427337560379,8.11494675040737,12.6375945406519,12.4201065486415,16.5312027168965,13.4203421473092,16.6960499126412,16.1900664108808,12.6019975496376
"CLEC7A",10.4407751017748,9.33961188651154,8.47257127006534,9.45436281787604,9.78492410759763,10.9093285574132,9.52218895424025,8.54223517778586,9.42857881623367
"ARG1",2.53882245331506,1.51015226427734,1.83906991994644,1.96941060587362,7.47370250304464,1.83394213973394,7.42609111758276,6.80661277375351,1.51353824509823
"PPARGC1A",1.71649771758895,1.55477021547147,2.32012549628812,1.8245320341736,1.31273712212525,2.04166679452044,1.58342970655539,1.47662183610314,1.57387184944733
"PPARGC1B",9.13734443940743,5.96338395271695,5.72679171672194,7.74465222809217,9.24255844513622,10.5054324741995,9.57820397392657,9.66521278537125,8.57134537065473
"RXRA",15.0048203290039,12.9283913769812,11.566905800359,13.1009419596316,13.0818431390165,14.7165228176683,13.1846910927731,12.8826144420053,12.4539748347235
"ABCA1",9.6919800109469,6.37479531436878,8.13599230239445,8.90031162415556,9.79114841047095,9.61318038848099,9.68281387015631,10.021902096238,9.18821009425643
"ABCG1",11.4515520273794,6.4978504844857,8.85964139996352,10.3303142254178,12.3028323116474,12.1359309956165,12.3015875667263,12.2537278458105,9.75748935062741
"APOE",18.2236507597691,9.30463537008824,17.2235912969067,16.0149066419778,18.1911879723184,16.6833901907358,18.2276947468539,17.2606563576682,15.8115976392226
"LIPA",17.1027700067798,16.2384341274433,15.1925148869814,15.4809189643975,16.6262545555212,18.1401671062735,16.5310782731473,15.9948111088807,16.3825871204941
"FABP5",15.1699075365013,11.6141808384123,13.1637406329016,13.2730434193184,13.7232082550754,15.9483619161015,13.1268050234976,12.5948268272835,13.1667966092224
"ALOX15",6.99113261555375,11.0961168228009,3.89054688088282,7.05178887255663,4.35098856116237,13.2769681308574,4.37971472409063,2.76438629012184,12.1056424348333
"HPGD",9.5599489472678,1.53613663738991,6.96432367756109,7.1335445534922,8.87954128332415,2.04684084150344,8.94840009048236,8.34590039164403,1.85540798883052
"HPGDS",9.75377381192254,2.26254481725467,8.22981507803833,7.11225522767362,9.54051630298266,6.38774608794253,9.00446107252326,8.86594921296155,8.1112178393045
"SLC40A1",8.34859663869022,10.1562998305451,4.33410826992344,6.6961045742667,7.72520344934516,7.51847652773403,7.99509453346186,7.77829415365783,11.3912332843158
"CAT",13.4764145990775,12.0019309886411,10.9200304835117,12.4434473665148,12.041505497802,14.5198334060558,12.2007996232024,11.6200071635514,11.3628413419134
"SOD2",12.8736367973725,10.85007592389,11.5554990075106,11.6319366208564,11.2488146332679,12.2498246973864,11.1984126920406,10.95249552974,10.8375850537879
"GPX4",14.2058647547883,13.7790557054323,12.9486636072897,13.2099875757709,13.0902756027637,15.2108886223863,12.4711319210439,12.030673491761,12.8833147294678
"UCP2",12.593644190056,10.5436611131999,10.5280110985857,11.4888833238063,11.1604486540238,14.1546066482309,11.010041005737,10.8090796361767,10.9399580977576
"CPT1A",8.93945785828368,10.1970212893226,8.21069082308083,8.20644738343614,7.91650650122812,10.5882292838002,7.4252394059217,7.22831943163497,8.1575258083522
"MTOR",9.91102520005246,7.08420142488104,6.72698648363429,8.82353634074631,8.52859124330182,10.3330848913904,8.60724078989515,8.1530072766622,8.14121205347386
"TSC1",11.1549549728302,8.11900524227453,7.96536170548964,8.66175228666643,9.62987679946374,10.4711361953126,9.56650466526359,9.28247308274422,9.15882931788614
"STK11",7.67529232299997,5.79095835656625,4.8478526298369,7.25652479638843,6.66838296666748,8.62866753222437,6.8463253177098,6.74917220768675,6.53466721665886
"SQSTM1",13.0966102763296,11.8714966977404,10.6502212093179,12.1375781458108,11.8914628646251,13.4046190455531,11.7918879756086,11.6626060462132,11.8173004658408
"ATG5",11.5747363707256,9.21739916624052,8.90300451682607,9.8001476262512,10.1139543880672,11.8898727655539,10.3477819051316,9.50298232965917,9.73895373390996
"BNIP3L",13.0654114783497,10.6409944832523,10.0401070705975,11.3939135574033,12.5189377222417,13.6187563558716,12.7116921259926,12.508979407087,11.4351834217233
"LAMP2",11.1294504629017,8.72593504310608,8.15031544971274,9.34936173879709,10.6002121331787,10.8443832989791,10.6321773170311,10.3864887264145,9.57454300847594
