"gene","donor","condition","sample","baseline_sample","delta_log2_vs_GMCSF","panel"
"IL10RA","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-0.860019978944013,"M2_canonico"
"IL10RA","M27","GM-CSF+E","GSM758958","GSM758957",0.253290375607598,"M2_canonico"
"IL10RA","M24","GM-CSF+E","GSM758925","GSM758942",-3.2786443746097,"M2_canonico"
"IL10RA","M24","GM-CSF+P","GSM758926","GSM758942",-0.563045116537408,"M2_canonico"
"IL13RA1","M27","Combo_separado","GSM758962","GSM758957",-0.389313618985243,"M2_canonico"
"IL13RA1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-0.820780322373423,"M2_canonico"
"IL13RA1","M24","GM-CSF+E","GSM758925","GSM758942",-2.17044212836545,"M2_canonico"
"IL13RA1","M24","GM-CSF+P","GSM758926","GSM758942",-0.169679424128715,"M2_canonico"
"IL13RA1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.32739804612967,"M2_canonico"
"IL13RA1","M27","GM-CSF+E","GSM758958","GSM758957",0.0740377566176669,"M2_canonico"
"IL13RA1","M27","GM-CSF+P","GSM758959","GSM758957",-0.204644498720834,"M2_canonico"
"IL4R","M27","GM-CSF+P","GSM758959","GSM758957",-0.084890728611688,"M2_canonico"
"IL4R","M27","Combo_separado","GSM758962","GSM758957",-0.398368664224952,"M2_canonico"
"IL4R","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-0.875962737728017,"M2_canonico"
"IL4R","M24","GM-CSF+E","GSM758925","GSM758942",-1.4794236322473,"M2_canonico"
"IL4R","M24","GM-CSF+P","GSM758926","GSM758942",-0.800249868496643,"M2_canonico"
"IL4R","M27","GM-CSF+IL4/13","GSM758961","GSM758957",0.725816385540581,"M2_canonico"
"IL4R","M27","GM-CSF+E","GSM758958","GSM758957",-0.524294520285011,"M2_canonico"
"LAMP2","M27","GM-CSF+IL4/13","GSM758961","GSM758957",0.244171165800397,"Inmunometabolico_M2"
"LAMP2","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-2.40351541979562,"Inmunometabolico_M2"
"LAMP2","M27","GM-CSF+E","GSM758958","GSM758957",0.0319651838523622,"Inmunometabolico_M2"
"LAMP2","M24","GM-CSF+E","GSM758925","GSM758942",-2.97913501318896,"Inmunometabolico_M2"
"LAMP2","M27","GM-CSF+P","GSM758959","GSM758957",-0.213723406764272,"Inmunometabolico_M2"
"LAMP2","M24","GM-CSF+P","GSM758926","GSM758942",-1.7800887241046,"Inmunometabolico_M2"
"LAMP2","M27","Combo_separado","GSM758962","GSM758957",-1.0256691247028,"Inmunometabolico_M2"
"LIPA","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-0.864335879336554,"Inmunometabolico_M2"
"LIPA","M27","GM-CSF+E","GSM758958","GSM758957",-0.0951762823738846,"Inmunometabolico_M2"
"LIPA","M24","GM-CSF+E","GSM758925","GSM758942",-1.91025511979844,"Inmunometabolico_M2"
"LIPA","M27","GM-CSF+IL4/13","GSM758961","GSM758957",1.51391255075232,"Inmunometabolico_M2"
"LIPA","M27","GM-CSF+P","GSM758959","GSM758957",-0.631443446640448,"Inmunometabolico_M2"
"LIPA","M27","Combo_separado","GSM758962","GSM758957",-0.243667435027092,"Inmunometabolico_M2"
"LIPA","M24","GM-CSF+P","GSM758926","GSM758942",-1.62185104238226,"Inmunometabolico_M2"
"MAF","M27","GM-CSF+P","GSM758959","GSM758957",-1.30696404426813,"M2_canonico"
"MAF","M24","GM-CSF+IL4/13","GSM758928","GSM758942",1.07096460382203,"M2_canonico"
"MAF","M24","GM-CSF+E","GSM758925","GSM758942",-0.984988511642662,"M2_canonico"
"MAF","M27","GM-CSF+E","GSM758958","GSM758957",-0.48881041429588,"M2_canonico"
"MAF","M24","GM-CSF+P","GSM758926","GSM758942",-1.790915381736,"M2_canonico"
"MAF","M27","Combo_separado","GSM758962","GSM758957",1.98366876935614,"M2_canonico"
"MAF","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.16914077417955,"M2_canonico"
"MARCO","M27","GM-CSF+E","GSM758958","GSM758957",0.164847195744734,"M2_canonico"
"MARCO","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-5.92778700563052,"M2_canonico"
"MARCO","M24","GM-CSF+E","GSM758925","GSM758942",-1.40513921538598,"M2_canonico"
"MARCO","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-3.11086056958727,"M2_canonico"
"MARCO","M27","GM-CSF+P","GSM758959","GSM758957",-0.341136306015681,"M2_canonico"
"MARCO","M24","GM-CSF+P","GSM758926","GSM758942",-1.62262720739636,"M2_canonico"
"MARCO","M27","Combo_separado","GSM758962","GSM758957",-3.92920516725892,"M2_canonico"
"MERTK","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-7.20552963769676,"M2_canonico"
"MERTK","M24","GM-CSF+E","GSM758925","GSM758942",-2.28501138366168,"M2_canonico"
"MERTK","M24","GM-CSF+P","GSM758926","GSM758942",-2.94016948620725,"M2_canonico"
"MERTK","M27","GM-CSF+IL4/13","GSM758961","GSM758957",0.278155161051274,"M2_canonico"
"MERTK","M27","GM-CSF+E","GSM758958","GSM758957",0.362593581982361,"M2_canonico"
"MERTK","M27","GM-CSF+P","GSM758959","GSM758957",-0.646750482123811,"M2_canonico"
"MERTK","M27","Combo_separado","GSM758962","GSM758957",2.67190214202215,"M2_canonico"
"MSR1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-7.07342211414428,"M2_canonico"
"MSR1","M24","GM-CSF+E","GSM758925","GSM758942",-0.739363492074567,"M2_canonico"
"MSR1","M24","GM-CSF+P","GSM758926","GSM758942",-1.68668346310408,"M2_canonico"
"MSR1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-2.07600404291947,"M2_canonico"
"MSR1","M27","GM-CSF+E","GSM758958","GSM758957",-0.461586208367001,"M2_canonico"
"MSR1","M27","GM-CSF+P","GSM758959","GSM758957",-0.433872617238643,"M2_canonico"
"MSR1","M27","Combo_separado","GSM758962","GSM758957",-2.68629604216736,"M2_canonico"
"MTOR","M24","GM-CSF+E","GSM758925","GSM758942",-3.18403871641816,"Inmunometabolico_M2"
"MTOR","M24","GM-CSF+P","GSM758926","GSM758942",-1.08748885930614,"Inmunometabolico_M2"
"MTOR","M27","GM-CSF+IL4/13","GSM758961","GSM758957",1.80449364808861,"Inmunometabolico_M2"
"MTOR","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-2.82682377517142,"Inmunometabolico_M2"
"MTOR","M27","GM-CSF+E","GSM758958","GSM758957",0.0786495465933346,"Inmunometabolico_M2"
"MTOR","M27","GM-CSF+P","GSM758959","GSM758957",-0.375583966639612,"Inmunometabolico_M2"
"MTOR","M27","Combo_separado","GSM758962","GSM758957",-0.387379189827959,"Inmunometabolico_M2"
"PPARGC1A","M27","GM-CSF+IL4/13","GSM758961","GSM758957",0.728929672395191,"Inmunometabolico_M2"
"PPARGC1A","M27","Combo_separado","GSM758962","GSM758957",0.261134727322086,"Inmunometabolico_M2"
"PPARGC1A","M27","GM-CSF+E","GSM758958","GSM758957",0.270692584430144,"Inmunometabolico_M2"
"PPARGC1A","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-0.161727502117479,"Inmunometabolico_M2"
"PPARGC1A","M27","GM-CSF+P","GSM758959","GSM758957",0.163884713977895,"Inmunometabolico_M2"
"PPARGC1A","M24","GM-CSF+E","GSM758925","GSM758942",0.603627778699173,"Inmunometabolico_M2"
"PPARGC1A","M24","GM-CSF+P","GSM758926","GSM758942",0.108034316584653,"Inmunometabolico_M2"
"PPARGC1B","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-3.17396048669048,"Inmunometabolico_M2"
"PPARGC1B","M27","GM-CSF+E","GSM758958","GSM758957",0.33564552879035,"Inmunometabolico_M2"
"PPARGC1B","M27","Combo_separado","GSM758962","GSM758957",-0.671213074481487,"Inmunometabolico_M2"
"PPARGC1B","M24","GM-CSF+E","GSM758925","GSM758942",-3.41055272268549,"Inmunometabolico_M2"
"PPARGC1B","M27","GM-CSF+IL4/13","GSM758961","GSM758957",1.26287402906328,"Inmunometabolico_M2"
"PPARGC1B","M27","GM-CSF+P","GSM758959","GSM758957",0.422654340235024,"Inmunometabolico_M2"
"PPARGC1B","M24","GM-CSF+P","GSM758926","GSM758942",-1.39269221131526,"Inmunometabolico_M2"
"RXRA","M27","GM-CSF+E","GSM758958","GSM758957",0.102847953756621,"Inmunometabolico_M2"
"RXRA","M24","GM-CSF+E","GSM758925","GSM758942",-3.43791452864486,"Inmunometabolico_M2"
"RXRA","M27","GM-CSF+IL4/13","GSM758961","GSM758957",1.63467967865173,"Inmunometabolico_M2"
"RXRA","M27","GM-CSF+P","GSM758959","GSM758957",-0.199228697011238,"Inmunometabolico_M2"
"RXRA","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-2.0764289520227,"Inmunometabolico_M2"
"RXRA","M24","GM-CSF+P","GSM758926","GSM758942",-1.90387836937232,"Inmunometabolico_M2"
"RXRA","M27","Combo_separado","GSM758962","GSM758957",-0.627868304293036,"Inmunometabolico_M2"
"SLC40A1","M27","GM-CSF+E","GSM758958","GSM758957",0.269891084116704,"Inmunometabolico_M2"
"SLC40A1","M27","GM-CSF+P","GSM758959","GSM758957",0.053090704312674,"Inmunometabolico_M2"
"SLC40A1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-0.206726921611135,"Inmunometabolico_M2"
"SLC40A1","M27","Combo_separado","GSM758962","GSM758957",3.66602983497063,"Inmunometabolico_M2"
"SLC40A1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",1.80770319185487,"Inmunometabolico_M2"
"SLC40A1","M24","GM-CSF+E","GSM758925","GSM758942",-4.01448836876679,"Inmunometabolico_M2"
"SLC40A1","M24","GM-CSF+P","GSM758926","GSM758942",-1.65249206442352,"Inmunometabolico_M2"
"SOD2","M24","GM-CSF+E","GSM758925","GSM758942",-1.31813778986195,"Inmunometabolico_M2"
"SOD2","M24","GM-CSF+P","GSM758926","GSM758942",-1.24170017651614,"Inmunometabolico_M2"
"SOD2","M27","GM-CSF+IL4/13","GSM758961","GSM758957",1.0010100641185,"Inmunometabolico_M2"
"SOD2","M27","GM-CSF+E","GSM758958","GSM758957",-0.05040194122728,"Inmunometabolico_M2"
"SOD2","M27","GM-CSF+P","GSM758959","GSM758957",-0.29631910352791,"Inmunometabolico_M2"
"SOD2","M27","Combo_separado","GSM758962","GSM758957",-0.411229579480006,"Inmunometabolico_M2"
"SOD2","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-2.02356087348249,"Inmunometabolico_M2"
"SQSTM1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-1.22511357858919,"Inmunometabolico_M2"
"SQSTM1","M27","GM-CSF+E","GSM758958","GSM758957",-0.0995748890165178,"Inmunometabolico_M2"
"SQSTM1","M24","GM-CSF+E","GSM758925","GSM758942",-2.44638906701174,"Inmunometabolico_M2"
"SQSTM1","M27","GM-CSF+P","GSM758959","GSM758957",-0.228856818411961,"Inmunometabolico_M2"
"SQSTM1","M24","GM-CSF+P","GSM758926","GSM758942",-0.959032130518814,"Inmunometabolico_M2"
"SQSTM1","M27","Combo_separado","GSM758962","GSM758957",-0.0741623987842974,"Inmunometabolico_M2"
"SQSTM1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",1.51315618092795,"Inmunometabolico_M2"
"STAB1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",4.72603494956221,"M2_canonico"
"STAB1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",0.665015287970258,"M2_canonico"
"STAB1","M27","GM-CSF+E","GSM758958","GSM758957",-0.17584933617024,"M2_canonico"
"STAB1","M24","GM-CSF+E","GSM758925","GSM758942",-3.18445951570356,"M2_canonico"
"STAB1","M27","GM-CSF+P","GSM758959","GSM758957",-0.716927280054202,"M2_canonico"
"STAB1","M24","GM-CSF+P","GSM758926","GSM758942",-1.24165103416048,"M2_canonico"
"STAB1","M27","Combo_separado","GSM758962","GSM758957",6.20642668625995,"M2_canonico"
"STAT6","M27","GM-CSF+P","GSM758959","GSM758957",0.403304115241705,"M2_canonico"
"STAT6","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-1.86917655161988,"M2_canonico"
"STAT6","M24","GM-CSF+E","GSM758925","GSM758942",-3.21701690838842,"M2_canonico"
"STAT6","M24","GM-CSF+P","GSM758926","GSM758942",-1.76982261566863,"M2_canonico"
"STAT6","M27","GM-CSF+IL4/13","GSM758961","GSM758957",2.40086813521193,"M2_canonico"
"STAT6","M27","Combo_separado","GSM758962","GSM758957",-0.474433314316592,"M2_canonico"
"STAT6","M27","GM-CSF+E","GSM758958","GSM758957",-0.029252267372657,"M2_canonico"
"STK11","M27","GM-CSF+E","GSM758958","GSM758957",0.177942351042318,"Inmunometabolico_M2"
"STK11","M24","GM-CSF+E","GSM758925","GSM758942",-2.82743969316306,"Inmunometabolico_M2"
"STK11","M27","GM-CSF+P","GSM758959","GSM758957",0.0807892410192679,"Inmunometabolico_M2"
