Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,heme Metabolism,-0.27470690591694263,-1.0227762293371832,0.408,0.9742533058595235,1.0,107/199,51.21%,DCAF11;PPOX;MARCHF2;SLC11A2;HEBP1;BNIP3L;SDCBP;UCP2;HBQ1;NFE2;SMOX;SLC6A9;SLC7A11;SLC6A8;ALDH1L1;TRAK2;CDR2;NARF;SLC4A1;DCAF10;ATP6V0A1;GATA1;OSBP2;NFE2L1;ATG4A;MARK3;SLC25A37;FBXO7;CDC27;TFDP2;SPTA1;RHAG;DMTN;RIOK3;NR3C1;FN3K;RCL1;RNF19A;PGLS;TRIM10;HMBS;TCEA1;KHNYN;FOXO3;SLC30A10;CPOX;SLC66A2;UROD;CLIC2;CAT;SLC10A3;CA1;AGPAT4;VEZF1;GYPE;EPB42;ACSL6;TOP1;OPTN;ADD2;DCUN1D1;BTG2;BTRC;SPTB;CA2;EZH1;TAL1;RANBP10;BMP2K;ENDOD1;MXI1;ICAM4;KAT2B;RBM38;ASNS;ADD1;MKRN1;SLC22A4;TYR;TNS1;NNT;ADIPOR1;EPB41;PC;HBBP1;SLC30A1;TSPAN5;TMEM9B;GLRX5;NCOA4;EPOR;AQP3;CCND3;SLC2A1;ELL2;ISCA1;BLVRB;SLC25A38;LPIN2;TENT5C;ANK1;DAAM1;PDZK1IP1;UROS;PRDX2;ERMAP;TMCC2
prerank,Allograft Rejection,-0.2755591243463709,-1.02154834196877,0.425,0.9393311826292227,1.0,99/197,45.82%,PSMB10;IL4;WARS1;TAP1;DARS1;DEGS1;IL12B;UBE2D1;NLRP3;HCLS1;CCL2;IL2RB;RPL3L;CD8A;CCL7;HLA-A;CD80;ELF4;IL18;IL4R;EIF3A;INHBA;IFNGR2;MAP3K7;CCR1;CFP;CCL11;EREG;LTB;IRF4;HLA-DQA1;STAT1;IRF8;PRKCG;CD74;IL27RA;ELANE;BCL3;EIF3J;EGFR;PTPRC;HLA-DOA;CD7;RIPK2;BCL10;IL10;IL12RB1;PTPN6;NOS2;CD2;CSK;EIF4G3;IL15;EIF3D;CD86;LCK;CCND2;HIF1A;CD47;ABCE1;IFNAR2;STAB1;INHBB;CCR2;LIF;TAPBP;SOCS1;TLR1;TGFB2;STAT4;LYN;NCK1;HLA-DMB;PRKCB;IL18RAP;SRGN;SIT1;IKBKB;WAS;LY86;IL7;GLMN;ICAM1;CD40;FCGR2B;MTIF2;IL6;FLNA;IL2;TLR2;IL2RG;IL16;CD96;CTSS;APBB1;IL11;CCL19;CCND3;TLR3
prerank,Estrogen Response Early,-0.27617207658906834,-1.0205178951693465,0.43,0.9059438787418063,1.0,101/194,48.07%,MYOF;NRIP1;BHLHE40;SLC24A3;KCNK5;SLC22A5;CA12;PEX11A;DHRS2;XBP1;PTGES;B4GALT1;ALDH3B1;AREG;FKBP4;ASB13;PMAIP1;ELF1;TGM2;CANT1;MICB;KRT19;ARL3;DEPTOR;ABLIM1;MED13L;SLC16A1;TFF3;RAB31;TJP3;PDLIM3;TPBG;UNC119;TMEM164;ADD3;CLIC3;NCOR2;PRSS23;TFF1;CCN5;KAZN;FDFT1;MYC;WWC1;NXT1;MLPH;SLC7A5;ITPK1;FRK;WFS1;SCARB1;PPIF;SCNN1A;TIPARP;FARP1;IL6ST;FHL2;INPP5F;OPN3;INHBB;HR;CYP26B1;SIAH2;OVOL2;CXCL12;RPS6KA2;KDM4B;FASN;UGCG;RET;BAG1;ENDOD1;RARA;MED24;SLC39A6;ADCY1;AMFR;FKBP5;ADCY9;OLFML3;TMPRSS3;GAB2;SYBU;RASGRP1;EGR3;CALCR;SLC27A2;NBL1;MYBBP1A;KLF10;AQP3;ABHD2;LAD1;TGIF2;SLC2A1;SH3BP5;ABAT;KRT8;BLVRB;HES1;NADSYN1
prerank,KRAS Signaling Dn,-0.27704746945682174,-1.0173807568828694,0.427,0.888030888030888,1.0,57/195,24.14%,TGM1;MX1;PAX4;SLC5A5;MTHFR;GTF3C5;GPR19;GPR3;IL12B;AMBN;GAMT;ABCG4;IRS4;RYR1;IL5;LGALS7;KRT4;TSHB;CD80;EDN1;CLDN16;CHRNG;HTR1D;INSL5;HSD11B2;MFSD6;TFAP2B;PRODH;RIBC2;SLC38A3;CD207;TEX15;EGF;SHOX2;MEFV;FGF16;CKM;DTNB;OXT;BMPR1B;SNN;TFF2;SCN10A;MSH5;TFCP2L1;EDN2;CACNG1;GP1BA;MYH7;RGS11;KCND1;MACROH2A2;NTF3;PROP1;CPA2;ITIH3;FGGY
prerank,Adipogenesis,-0.2735149705831356,-1.0167283089606267,0.448,0.8566073332912711,1.0,100/200,48.45%,PGM1;NDUFS3;UQCR11;LEP;MRPL15;ACADS;UCP2;CMBL;RNF11;ABCA1;ALDH2;HIBCH;CHCHD10;LIFR;CD151;RREB1;CS;CAVIN1;YWHAG;POR;ADIPOQ;HADH;GADD45A;UCK1;SAMM50;FAH;OMD;FABP4;ESYT1;DNAJB9;DHRS7;PDCD4;GPAT4;SULT1A1;MTCH2;SNCG;RIOK3;IDH3A;SLC25A1;PEX14;PPP1R15B;LIPE;PEMT;GHITM;ELMOD3;DBT;CAT;DHRS7B;SDHC;AIFM1;SSPN;GPD2;ECHS1;ITSN1;SCARB1;PLIN2;SLC5A6;CAVIN2;PIM3;ACOX1;DLD;MCCC1;MAP4K3;SLC25A10;RAB34;MTARC2;UBQLN1;PREB;PPARG;ACO2;MDH2;DGAT1;LTC4S;APLP2;TALDO1;UQCR10;MGLL;BCL6;JAGN1;BAZ2A;SLC1A5;ITIH5;ACAA2;ATP1B3;CYP4B1;MRAP;COQ9;QDPR;ELOVL6;RTN3;ARL4A;ANGPT1;ALDOA;GPX3;COX6A1;APOE;ABCB8;FZD4;ANGPTL4;DLAT
prerank,TGF-beta Signaling,-0.3007074375304932,-1.0103627796483639,0.464,0.8608164048578556,1.0,20/53,32.12%,BCAR3;ENG;SMAD1;HDAC1;IFNGR2;MAP3K7;TJP1;LTBP2;FURIN;RAB31;NOG;FNTA;NCOR2;SMAD3;CDK9;THBS1;TGIF1;RHOA;SMURF1;HIPK2
prerank,Complement,-0.25833197151297305,-0.9579563153565865,0.636,1.0,1.0,65/196,32.54%,RHOG;ITIH1;LIPA;APOA4;C9;MMP14;ATOX1;IRF1;MMP12;KCNIP3;C4BPB;PLA2G4A;OLR1;CSRP1;PRSS3;SIRT6;DOCK4;KYNU;SRC;SCG3;MT3;KIF2A;CLU;CASP3;CASP5;ERAP2;PRSS36;LRP1;DPP4;F7;MMP13;F5;LGALS3;S100A9;CDA;ZFPM2;CXCL1;CPQ;PDGFB;MAFF;CEBPB;PLAT;GP9;TFPI2;CDK5R1;GP1BA;ACTN2;GCA;GNB4;KLKB1;CDH13;LCK;GPD2;PIK3R5;ZEB1;CALM3;PPP4C;CA2;F8;DOCK9;GNGT2;GMFB;KCNIP2;LYN;CD59
prerank,KRAS Signaling Up,-0.2578931812993268,-0.9556020871669583,0.641,1.0,1.0,60/194,31.29%,GPNMB;PCSK1N;TMEM100;EVI5;CBR4;ENG;IGF2;CPE;TRIB2;CFHR2;CLEC4A;ADAMDEC1;IGFBP3;PLAU;SCN1B;SOX9;SCG3;LAPTM5;INHBA;NR1H4;USP12;C3AR1;TSPAN13;CROT;TNFRSF1B;EREG;NGF;MMP11;IRF8;BTBD3;RABGAP1L;PEG3;TSPAN7;TMEM176A;PECAM1;MMD;PLAT;IL7R;SNAP91;VWA5A;SERPINA3;HOXD11;AKAP12;NRP1;GLRX;FBXO4;ALDH1A3;NR0B2;CBX8;EPB41L3;ZNF639;CCND2;HSD11B1;CXCR4;TNNT2;CA2;RGS16;CAB39L;TMEM158;LIF
prerank,IL-6/JAK/STAT3 Signaling,-0.2710869327746237,-0.9548877872768449,0.598,1.0,1.0,38/86,42.87%,CD9;HMOX1;IRF1;REG1A;CCL7;IL4R;IFNGR2;CCR1;TNFRSF1B;STAM2;LTB;STAT1;CXCL1;ITGB3;IL1R2;MAP3K8;IL12RB1;TNFRSF1A;CXCL11;TYK2;PIK3R5;OSMR;IL6ST;SOCS1;IL13RA1;IL3RA;IL1R1;CSF2;CD38;IL7;ACVR1B;INHBE;STAT3;LEPR;IL6;TLR2;IL2RG;ITGA4
prerank,PI3K/AKT/mTOR  Signaling,-0.26566171582146225,-0.9415897303209906,0.643,1.0,1.0,55/103,49.11%,ADCY2;IL4;VAV3;AP2M1;PIK3R3;CAB39;NOD1;CALR;MAP3K7;IRAK4;NGF;THEM4;GNA14;EGFR;PAK4;FGF6;CDK2;TNFRSF1A;SMAD2;ACTR2;MAPK9;LCK;CXCR4;GSK3B;RALB;CAB39L;FGF22;MAP2K6;NCK1;AKT1S1;MAPK10;PRKCB;PITX2;PFN1;PLCG1;DDIT3;MAPKAP1;ECSIT;PIN1;PLA2G12A;PRKAA2;CDKN1B;PRKAG1;MKNK1;PDK1;CFL1;IL2RG;CDK4;FGF17;TRIB3;MYD88;SLC2A1;ARF1;PPP1CA;E2F1
