SYMBOLS,logFC,AveExpr,t,P.Value,adj.P.Val,B
CDKAL1,-0.169675244,3.658495626,-0.525739525,0.609424983,0.999966589,-4.61692411
LOC101929479,-0.283069334,-0.541351288,-0.525733216,0.609429225,0.999966589,-4.604791084
CCDC106,-0.193241111,1.72244522,-0.525563937,0.609543027,0.999966589,-4.609849276
GDA,-0.469525956,5.311395039,-0.525310801,0.609713225,0.999966589,-4.616743784
FAM185A,-0.19560899,0.434534455,-0.525272998,0.609738645,0.999966589,-4.604578829
PUS10,0.2779618,3.179197497,0.525237022,0.609762836,0.999966589,-4.623804847
P2RY12,0.617360227,-0.288014727,0.525195253,0.609790923,0.999966589,-4.60275084
C3orf58,0.43431225,3.651213591,0.525123302,0.609839308,0.999966589,-4.623325965
ADGRL2,0.481092777,1.070733929,0.5251137,0.609845765,0.999966589,-4.611326753
CLTCL1,-0.681938755,1.001177979,-0.5250493,0.609889073,0.999966589,-4.606568014
ALDH9A1,0.147526824,5.589850202,0.525004492,0.609919207,0.999966589,-4.627975896
ZNF7,-0.196547993,3.809673031,-0.524974209,0.609939573,0.999966589,-4.616706583
WASHC4,0.223474784,6.011395437,0.524951097,0.609955117,0.999966589,-4.62955991
SIGLEC5,-0.683364986,1.781804089,-0.524927303,0.609971119,0.999966589,-4.613876363
NAAA,-0.370482931,4.54635818,-0.524915701,0.609978922,0.999966589,-4.625776933
AP1M1,-0.137143614,5.631808928,-0.524731878,0.61010256,0.999966589,-4.629062
SYT16,-0.809685546,-2.528035637,-0.524656838,0.610153034,0.999966589,-4.598129849
TMEM156,-0.376681939,2.43187789,-0.524607283,0.610186368,0.999966589,-4.615490436
GRAMD2A,-0.6243898,4.284382503,-0.524577803,0.610206198,0.999966589,-4.617351461
C2orf27A,-0.364799019,-1.759319544,-0.524432904,0.610303673,0.999966589,-4.601385051
PTPN22,0.421518224,4.473157053,0.524382232,0.610337762,0.999966589,-4.629312208
SELP,0.523577954,1.602474288,0.524208718,0.610454501,0.999966589,-4.617323945
DEPTOR,-0.330864774,1.482253874,-0.524067464,0.610549543,0.999966589,-4.609837725
SDAD1,0.150667213,3.916440939,0.524050507,0.610560953,0.999966589,-4.617935358
MRPS34,-0.131599495,4.740889977,-0.52404138,0.610567094,0.999966589,-4.623640858
MED31,-0.254456574,1.041786597,-0.524032811,0.61057286,0.999966589,-4.60551577
RPS19,0.13170182,8.411419546,0.523946814,0.610630727,0.999966589,-4.627440331
ABHD6,0.314077826,1.983603866,0.523882579,0.610673953,0.999966589,-4.612734021
LPO,-0.776709974,-2.694505698,-0.523832055,0.610707953,0.999966589,-4.599134507
BACH2,-0.462456687,4.123433839,-0.523815264,0.610719253,0.999966589,-4.627916332
ATP5PD,0.162992151,5.336510721,0.523665103,0.610820311,0.999966589,-4.626049651
MPG,0.147043757,3.001683888,0.523503635,0.610928987,0.999966589,-4.615372277
DDX18,-0.131883436,5.747214456,-0.52342769,0.610980105,0.999966589,-4.629630886
SLC12A7,0.496808625,5.696551184,0.523321402,0.611051651,0.999966589,-4.629647726
APOD,-0.396163069,-1.721842001,-0.523205243,0.611129847,0.999966589,-4.601543782
ETFRF1,0.319690444,3.189799297,0.523200624,0.611132957,0.999966589,-4.609752717
GRPEL2,-0.203841432,3.439586539,-0.522829406,0.611382885,0.999966589,-4.616274319
EIF1AD,0.175493292,4.868556872,0.5227158,0.611459383,0.999966589,-4.624399766
MTHFS,-0.271990191,2.050009554,-0.522593767,0.61154156,0.999966589,-4.607616392
KIF26B,0.572120768,0.375261801,0.522490252,0.611611271,0.999966589,-4.607630659
BCL2,0.170391587,6.821805387,0.522451845,0.611637138,0.999966589,-4.629809703
LIMA1,0.488824931,5.204689136,0.522445132,0.611641659,0.999966589,-4.62740345
CENPT,-0.119634514,4.217382082,-0.522373551,0.611689868,0.999966589,-4.624535756
NFATC1,0.423974079,4.722235724,0.522320855,0.611725359,0.999966589,-4.629698272
XPNPEP2,-0.287055268,-0.877833721,-0.522072117,0.611892903,0.999966589,-4.601272714
RAB27A,-0.291811081,5.588519916,-0.521906281,0.612004619,0.999966589,-4.628227499
MUM1L1,-0.510177605,2.418565775,-0.52185024,0.612042373,0.999966589,-4.602420973
CCT7,-0.109680541,6.621951669,-0.521821469,0.612061756,0.999966589,-4.630061662
SEMA3C,0.370117408,3.47196255,0.521810881,0.61206889,0.999966589,-4.626272794
PDPN,0.553589637,-0.991217708,0.521788848,0.612083734,0.999966589,-4.604931348
ITGB1,0.290885435,7.714611282,0.521768533,0.61209742,0.999966589,-4.62619956
LINC00092,0.71174596,-2.673007266,0.521699168,0.612144155,0.999966589,-4.599444024
TPP1,0.284416296,8.403493629,0.521698411,0.612144665,0.999966589,-4.625604101
ERCC4,-0.213861926,2.245927295,-0.521622803,0.612195607,0.999966589,-4.608223461
ZNF385C,0.329251855,-0.631349259,0.521304938,0.6124098,0.999966589,-4.601345014
LOC100506289,-0.697971293,-3.259926881,-0.521282558,0.612424882,0.999966589,-4.599164826
CPXM1,-0.34130483,0.521966797,-0.521275117,0.612429897,0.999966589,-4.607973106
MED14OS,0.337998122,-1.063273544,0.521269065,0.612433975,0.999966589,-4.60085077
CYP3A5,-0.473783711,-1.235879012,-0.520999004,0.612615988,0.999966589,-4.601554243
SH3BP5,-0.261921441,4.593495826,-0.520777614,0.612765219,0.999966589,-4.627920053
CAPN3,-0.563300402,-0.221048123,-0.520531992,0.612930805,0.999966589,-4.604361272
ERI3,-0.195696553,4.698127501,-0.52052104,0.612938189,0.999966589,-4.621859444
POLR3H,-0.176371939,3.324915234,-0.520468296,0.61297375,0.999966589,-4.615856457
AGFG1,-0.153656814,7.506128366,-0.520400032,0.613019776,0.999966589,-4.62968661
LOC200772,0.808670341,0.203943333,0.520291154,0.613093189,0.999966589,-4.601720152
EIF3H,0.118326915,7.810412407,0.520192826,0.613159492,0.999966589,-4.629107179
SUMF1,0.201373766,4.106712417,0.52003465,0.613266157,0.999966589,-4.624211291
