"Symbol","logFC","AveExpr","P.Value","adj.P.Val"
"ITGAL",2.54132135784193,11.10730205335,3.9455638870881e-05,0.00178809273861894
"EDA",-2.28513351540714,7.39646108738498,3.95807533653276e-05,0.00178809273861894
"CD59",-5.1057435472195,11.5013468838054,4.09306363306125e-05,0.00181897532952286
"TMEM86A",-2.23065188412415,8.19865598198855,4.19202108914019e-05,0.00181897532952286
"CCL17",-2.79024741209697,7.79511274012147,4.19338764018646e-05,0.00181897532952286
"CARD11",-2.68000467501826,7.9950518713803,4.19818740572412e-05,0.00181897532952286
"TNFRSF10B",2.19866362489774,11.5026347585668,4.3061501680352e-05,0.00182953079529745
"CD79B",2.33743613980717,7.4199594522443,4.36288649437059e-05,0.00182953079529745
"APOL3",2.13822598469649,9.17494497409273,4.45347570012074e-05,0.00185557420403935
"C3",-7.04999809005781,11.9405458074321,4.53512434280082e-05,0.00187418942949225
"LILRA2",3.06865264647964,11.0659780786308,4.66906787019303e-05,0.00189433933980213
"LEP",-4.20313363277885,8.37863197421754,4.67107609433062e-05,0.00189433933980213
"CCDC69",3.46738887605549,9.10514553552678,4.81974152450051e-05,0.00194672792471706
"CISH",-2.26015460428896,10.6740159536409,4.82585762505478e-05,0.00194672792471706
"TLR7",-2.32695172286197,11.2997583471743,5.05896143408337e-05,0.00197922235010098
"FCGR3A",-2.15956299332536,13.8715673756623,5.07013183140971e-05,0.00197922235010098
"SLC1A3",-5.14800914739448,10.2981780836271,5.10162520541547e-05,0.00197922235010098
"VNN1",2.52534040723431,9.8245772661451,5.38643759945047e-05,0.00200383318517556
"HLA-DOA",-3.48030074254982,12.0925161420792,5.42705401632456e-05,0.00200383318517556
"IRF1",2.18253790259072,10.854485065918,5.49901680470003e-05,0.00200402164506413
"MTARC1",3.97376262394926,8.70711075220413,5.5213379095336e-05,0.00200402164506413
"SLC40A1",-3.57337327715923,12.7614270870778,5.60513392164016e-05,0.00201519803026722
"MAP3K7CL",2.24400482521438,7.25293912779822,5.64365828986727e-05,0.00201558346676719
"GTF2IRD1",-3.36893109931702,7.54249834858492,5.6497995431847e-05,0.00201558346676719
"SYNGR1",2.2133760859299,9.32281075361315,5.65921975479741e-05,0.00201558346676719
"XYLT1",2.05293940695017,7.68742074565727,5.67996475785106e-05,0.00201824542143455
"P3H2",-4.69444596186359,9.24036752962817,5.70760107000402e-05,0.00202333792710073
"TCEAL3",-2.21902851000977,11.8013456053464,5.76897477438592e-05,0.00203089278631623
"SESN1",-2.35429564525003,8.97080373552281,5.8243742354374e-05,0.00203625479017315
"ENPP2",-5.50462527754219,9.23830062316813,5.86579019881403e-05,0.00204162671207463
"ICAM3",3.6521735691329,12.5934578421766,6.20793956977917e-05,0.00207040230213162
"PELI3",1.88175569529644,9.27684984848363,6.24322933054532e-05,0.00207758154660846
"PRELID1",1.91548278617028,13.4521816556128,6.33054164513972e-05,0.00208924981101982
"HSPB1",-4.54253562949542,12.292629804061,6.35804268743042e-05,0.00209292452793164
"LILRB3",1.97275997383137,13.0577495257649,6.40385114937342e-05,0.00209644887784227
"TNFSF10",2.34475855357983,11.8902531797917,6.46344561908215e-05,0.00209644887784227
"STMN1",-4.05014664006068,9.94097659679443,6.53398075425747e-05,0.00210527074810906
"KCTD15",2.45307195456211,8.02128397799573,6.57712858237777e-05,0.00210589232151935
"STARD13",-2.20013932250058,7.60329468613891,6.58489194203306e-05,0.00210589232151935
"LILRB2",2.1255888045074,13.9496324120892,6.67703686739405e-05,0.0021096968598992
"BPI",2.08834422781723,7.02539354654608,6.72720159012676e-05,0.0021096968598992
"VNN2",3.88725432361805,12.1709403071623,6.77769779894713e-05,0.00211653445844739
"FLT3",2.90325279376638,7.94390381841783,7.06694284262767e-05,0.00215378891283931
"C1QB",-7.46830587870002,13.8246724527867,7.20119743787458e-05,0.00217725269652478
"CCNY",2.33605647902064,9.15817148527805,7.32257828350988e-05,0.00220518357496274
"IL27RA",2.8581597238443,10.3487497498673,7.37426096688056e-05,0.00221245399672463
"LGI2",-3.50283782085536,7.67481250736783,7.4511744493768e-05,0.00222627624805741
"CD300LB",2.65704678026654,8.83268977209705,7.56325666416544e-05,0.0022319615100813
"SERPING1",-2.8622048796654,8.31150316963903,7.57293621253255e-05,0.0022319615100813
"EIF4EBP2",2.0169355804053,7.84404577057649,7.69610389539284e-05,0.00225081438540643
"SLC16A6",2.25033787986925,8.75324156947618,7.74266610304117e-05,0.00225763613216071
"PTPRE",2.26297511014163,12.8143553481137,7.75212290374889e-05,0.00225763613216071
"RASGRP4",1.92829963781774,10.1894139048327,7.89709191008717e-05,0.00226227390713583
"DAPP1",2.0795499564102,9.7597425607032,7.9135608126391e-05,0.00226227390713583
"PCSK5",2.79914753889929,10.2765738360508,7.92791949433197e-05,0.00226227390713583
"TLR8",2.09041618928394,9.85501860843979,7.94354462395144e-05,0.00226227390713583
"CTSB",-1.94469561328356,13.2643304667299,7.97857832510004e-05,0.0022680040966004
