Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Microtubule Cytoskeleton GO0015630,17/342,0.0202636123725746,0.1285291984774733,0,0,1.7970890979524072,7.006721892664137,CKAP2L;PLK1;KIF14;CKAP2;BUB1B;KIF23;KIF11;SEPTIN9;LRPPRC;CDC20;TPX2;KIF9;KIFC1;FES;BIRC5;KIF20A;KIF20B
GO_Cellular_Component_2023,Phagocytic Vesicle GO0045335,7/100,0.0248565083488855,0.1532818014847939,0,0,2.5711083247843765,9.49930849049752,ITGB5;SYK;APLP2;TLR7;CD36;MPEG1;ATP6V0A1
GO_Cellular_Component_2023,Multimeric Ribonuclease P Complex GO0030681,2/9,0.0258113612319959,0.1548681673919754,0,0,9.717287965974482,35.53554416708377,POP5;RPP40
GO_Cellular_Component_2023,Neuron To Neuron Synapse GO0098984,2/10,0.0316604555128605,0.184963713785659,0,0,8.502189141856393,29.3553965356626,SLC4A8;SLC39A3
GO_Cellular_Component_2023,Early Phagosome GO0032009,2/11,0.0379738126387722,0.2150484745715764,0,0,7.557112278653435,24.718244916275157,SYK;TLR7
GO_Cellular_Component_2023,Mitochondrial Inner Membrane GO0005743,17/370,0.0387474728957795,0.2150484745715764,0,0,1.6521185318034524,5.370524762087881,TIMMDC1;DMAC1;MRPS34;MRPL23;TYMS;MRPL24;DHODH;SLC25A16;MRPL3;AIFM1;PLSCR3;NNT;NOA1;UQCRC2;SLC25A5;SLC25A13;SLC25A6
GO_Cellular_Component_2023,Intracellular MembraneBounded Organelle GO0043231,167/5175,0.0400069006994866,0.2166227306167324,0,0,1.184298718110137,3.811906218529909,RPL3;SPARC;UBE3D;ITSN1;MPV17L;PPAN;NUDT1;MKI67;NUDT3;IPO5;FBL;HPGDS;HENMT1;CHEK2;LAMP2;PCLAF;SACS;NEK2;CCN3;PRKACB;SOX4;TLE3;BNIP3L;MORC4;PRKCB;APLP2;LMO2;THOC1;ADAM10;TSC1;CDC25C;PUS7;WDR77;DEPDC1B;MAF;RRAGD;BTK;S100A4;KIF20A;KIF20B;S100A9;PPIA;CSF1R;NECAB3;TSHZ3;EPAS1;SHMT1;TSHZ1;PIK3R1;CD1C;OAZ3;CCNB1;PGBD5;NTHL1;RDH10;HLTF;H3C1;TBC1D14;LTA4H;B4GALNT3;PLTP;ATP6V0A1;NAA50;OSBPL8;EGR1;PRNP;TGFB1;SMAD3;FUCA1;PLK1;RPP40;HSPA6;AZU1;POU2F2;PTK2;FAM111B;TPX2;DAB2;P4HA1;ADI1;CDK4;ID1;CALM2;BRWD3;GAPT;TOP2A;GPI;GSK3B;BNC2;PTPN22;ARRB1;KIF11;BRCA1;YBX1;CHTF18;RBM3;ING2;AIFM1;EXO1;CTSK;TRPS1;TSPO;CTSG;DLGAP5;H3-3A;CTSC;ANKRD6;DACT1;SEC13;ZHX3;SYK;CEMIP2;GAA;KIF23;FOS;SMC1A;ETV5;TGFBR1;CCNA2;ZEB2;PLSCR3;KIFC1;CAT;BIRC5;BLVRB;SLC25A5;SGK1;ITGB3BP;SLC25A6;MAGEH1;MARCHF1;AHNAK;NUFIP2;SATB1;TGFBRAP1;TYMS;SAMHD1;PTGS1;SH3BGRL;RXRA;CUX1;FAM172A;MBNL3;BUB1;KLRG1;WWOX;GDF11;DUT;MGMT;RRP1B;PTPN13;LRPPRC;BATF;SKI;FABP3;PER3;IMPDH1;IMPDH2;TACC3;POLR3H;EIF3E;CHPT1;NAA16;PAXBP1;SPG21;SSBP4;CDKN3
GO_Cellular_Component_2023,Condensed Nuclear Chromosome GO0000794,3/28,0.0450883827852865,0.2336630752350776,0,0,4.084631578947368,12.658806934832771,RRS1;SMC1A;LRPPRC
GO_Cellular_Component_2023,Organelle Envelope Lumen GO0031970,5/68,0.0452590641221096,0.2336630752350776,0,0,2.7056785155376706,8.3750282615995,NLN;GATM;AIFM1;SDHAF3;ALOX5
GO_Cellular_Component_2023,Bounding Membrane Of Organelle GO0098588,32/819,0.0476629311031274,0.2398964507847585,0,0,1.4009540429389784,4.263945558835879,COLEC12;SIGLEC9;ARRB1;SLC2A3;RHOBTB1;SNX2;MAN1A2;STAB1;MAN1C1;CD36;BBS5;CTSC;ATP6V0A1;MSR1;CD163;CR1;CD93;APLP2;IRAG1;HS3ST2;TPST2;MARCO;FCGR2A;DOK3;SELL;P2RX1;PECAM1;TLR7;CHPT1;SLC18B1;DIPK2A;TLR4
GO_Cellular_Component_2023,Actin Cytoskeleton GO0015629,15/327,0.050567666659104,0.2398964507847585,0,0,1.6469361731458505,4.915186978196876,FYB1;AHNAK;DSTN;TSC1;SEPTIN9;LIMD2;CNN2;ARHGAP33;SMTN;KIF9;CAPZB;COTL1;FSCN3;WASF1;GAS7
