,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
80,prerank,GO_Molecular_Function_2023__Ribosome Binding (GO:0043022),-0.7332090740722106,-1.71309477093989,0.022913256955810146,0.5758493492947329,1.0,1/83,0.03%,DDX3X
81,prerank,GO_Molecular_Function_2023__Cysteine-Type Peptidase Activity (GO:0008234),0.9966751478561515,1.7114060840744167,0.004987531172069825,1.0,1.0,1/123,0.02%,USP9Y
82,prerank,GO_Biological_Process_2023__Negative Regulation Of NIK/NF-kappaB Signaling (GO:1901223),-0.8423425712007002,-1.7076880886059487,0.013513513513513514,0.5687754029446319,1.0,1/25,0.03%,DDX3X
83,prerank,GO_Biological_Process_2023__Regulation Of Interferon-Alpha Production (GO:0032647),-0.855925227693505,-1.703279072284811,0.015873015873015872,0.5620028127400117,1.0,1/25,0.03%,DDX3X
84,prerank,GO_Biological_Process_2023__Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114),-0.8411858160294604,-1.6977364725573103,0.013029315960912053,0.5569340037706992,1.0,2/27,0.82%,DDX3X;NDP
86,prerank,GO_Biological_Process_2023__Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),-0.8770442529114587,-1.6960066109428538,0.0065252854812398045,0.5462593000376874,1.0,1/17,0.03%,IGFBP1
89,prerank,GO_Biological_Process_2023__Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),0.9964083065164119,1.6902441419005036,0.012315270935960592,1.0,1.0,1/124,0.02%,USP9Y
90,prerank,GO_Biological_Process_2023__Stress Granule Assembly (GO:0034063),-0.8533352929000603,-1.6897957247669422,0.01733102253032929,0.5445324500042146,1.0,1/24,0.03%,DDX3X
91,prerank,GO_Biological_Process_2023__Positive Regulation Of Amide Metabolic Process (GO:0034250),-0.7207083503119968,-1.6891188151585406,0.023291925465838508,0.5332167900794675,1.0,3/82,1.22%,RPS4X;DDX3X;SLC2A13
92,prerank,GO_Biological_Process_2023__Positive Regulation Of Viral Process (GO:0048524),-0.7931731326709941,-1.688093964869869,0.016722408026755852,0.5229162516931939,1.0,1/41,0.03%,DDX3X
94,prerank,GO_Biological_Process_2023__Positive Regulation Of Protein Autophosphorylation (GO:0031954),-0.8617165236463816,-1.6796412341146318,0.01391304347826087,0.525708486534738,1.0,2/20,2.05%,DDX3X;PDGFD
95,prerank,GO_Biological_Process_2023__Cell-Cell Signaling By Wnt (GO:0198738),-0.8519500675621696,-1.6780271554160593,0.011686143572621035,0.5172998275999416,1.0,1/23,0.03%,DDX3X
96,prerank,GO_Biological_Process_2023__Regulation Of Protein Autophosphorylation (GO:0031952),-0.8068167005268083,-1.6768424750828985,0.018487394957983194,0.5083928977507884,1.0,2/30,2.05%,DDX3X;PDGFD
97,prerank,GO_Biological_Process_2023__Ribosome Assembly (GO:0042255),-0.7587595881871358,-1.676168747605149,0.007886435331230283,0.4991086515329177,1.0,1/48,0.03%,DDX3X
98,prerank,GO_Biological_Process_2023__Positive Regulation Of Interferon-Alpha Production (GO:0032727),-0.8668101440061755,-1.6722808452001503,0.01658374792703151,0.4955016873661272,1.0,1/21,0.03%,DDX3X
99,prerank,GO_Biological_Process_2023__Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625),-0.7881974668876043,-1.670766076317019,0.005016722408026756,0.48816867687526483,1.0,1/30,0.03%,DDX3X
100,prerank,WikiPathway_2021_Human__nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell WP5027,-0.8640330253682555,-1.6667743782716904,0.00819672131147541,0.4855563390643754,1.0,2/17,4.37%,EIF1AX;EIF2S3
107,prerank,GO_Molecular_Function_2023__Insulin-Like Growth Factor Binding (GO:0005520),-0.874272327150985,-1.6456795130840631,0.0136986301369863,0.5166758452060939,1.0,1/15,0.03%,IGFBP1
108,prerank,GO_Biological_Process_2023__Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333),-0.7462076764341345,-1.6373262826455086,0.016666666666666666,0.5232403781748182,1.0,2/52,1.52%,DDX3X;IRGM
109,prerank,GO_Biological_Process_2023__Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117),-0.7592272522149961,-1.6314928132187592,0.03767123287671233,0.5259337942268559,1.0,1/46,0.03%,DDX3X
110,prerank,GO_Biological_Process_2023__Regulation Of Viral Genome Replication (GO:0045069),-0.7074286134210477,-1.6292729844891847,0.028481012658227847,0.5209000946000187,1.0,2/65,0.32%,DDX3X;SLPI
112,prerank,GO_Biological_Process_2023__Positive Regulation Of Chemokine Production (GO:0032722),-0.7565430598490409,-1.624158428818395,0.029173419773095625,0.5218711594634703,1.0,3/45,3.59%,DDX3X;EGR1;AZU1
115,prerank,WikiPathway_2021_Human__Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex WP3657,-0.8417010668500208,-1.6163223876563881,0.0053285968028419185,0.5295729849853702,1.0,2/20,2.97%,ZFX;GZMB
116,prerank,GO_Biological_Process_2023__Lipid Catabolic Process (GO:0016042),-0.8374517699965418,-1.612760556469456,0.026402640264026403,0.5284119953150167,1.0,1/17,0.07%,STS
117,prerank,GO_Biological_Process_2023__Negative Regulation Of Amide Metabolic Process (GO:0034249),-0.6903394141217797,-1.6124483502569127,0.035058430717863104,0.5201621827276474,1.0,6/91,3.86%,DDX3X;NHLRC3;ENC1;ZAR1;GZMB;ORMDL1
118,prerank,GO_Biological_Process_2023__COPII-coated Vesicle Budding (GO:0090114),-0.7668660153575196,-1.6123239782361287,0.03368794326241135,0.5117402966615865,1.0,1/36,0.08%,TRAPPC2
120,prerank,GO_Biological_Process_2023__Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),-0.6854236662610983,-1.6100754598909703,0.029801324503311258,0.5080625928339213,1.0,2/78,0.87%,DDX3X;NR4A2
121,prerank,GO_Cellular_Component_2023__Cytoplasmic Stress Granule (GO:0010494),-0.6950743600967413,-1.6089988434982716,0.027914614121510674,0.5018303922034332,1.0,7/75,9.58%,DDX3X;MBNL1;LARP4;C9ORF72;TIA1;RBM4;PABPC3
