"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ATXN3L",-0.619847383333334,0.2878883235,-1.31840350735219,0.226397406829592,0.533385347306082,-6.06717260645011
"DNAJB6",-0.310523033333333,-0.602361921666667,-1.31724515729827,0.226766216529558,0.534059268344978,-6.06856111188535
"GAB1",0.406678363333334,0.331272998333333,1.31638568124925,0.227040201874538,0.534358106081869,-6.06959087150217
"H4C2",0.548410420666667,1.086109327,1.31632761998424,0.227058721040831,0.534358106081869,-6.06966042115138
"SLC28A1",0.430796943333333,0.260145545,1.31556462674092,0.227302205701095,0.534736104042714,-6.07057420882056
"PHEX",-0.291756096666667,-0.162131083333333,-1.3148815969723,0.227520363526942,0.534769835632463,-6.07139195108278
"NUP50",-0.24611648,-0.0677281443333333,-1.31466532646938,0.227589477342038,0.534769835632463,-6.07165082131314
"SMPD2",-0.231838863333333,-0.358518521666667,-1.31409414560887,0.227772097284064,0.534769835632463,-6.07233438322986
"IGF2BP1",-0.245046456666667,-0.208318568333333,-1.31374821282198,0.227882761517773,0.534769835632463,-6.07274828949635
"STMN2",-0.443759356666667,-0.153420385833333,-1.31359729658937,0.227931054280604,0.534769835632463,-6.07292883859026
"C20orf173",0.457021013333333,0.3729215155,1.31346303946201,0.227974023589378,0.534769835632463,-6.07308944670138
"ZCCHC14",0.280264861,0.147940162166667,1.31346086508461,0.227974719561405,0.534769835632463,-6.07309204776552
"ACTR10",-0.249825796666667,-0.357830688333333,-1.31344587953645,0.227979516166884,0.534769835632463,-6.07310997391485
"NARS1",-0.246792476666667,-0.2403796515,-1.31225288109593,0.228361652696359,0.535176958295541,-6.0745366662224
"CFTR",0.825271466666667,0.520472158333333,1.31223044207224,0.228368845559046,0.535176958295541,-6.07456349306827
"OGFRL1",-0.29175281,-0.160928246666667,-1.31212738930881,0.228401881783034,0.535176958295541,-6.07468669355038
"SLC8A3",0.328118966666667,0.57611895,1.31066154615752,0.228872241496101,0.535790094692255,-6.07643847115657
"CLCNKB",0.314662293333333,0.1469750775,1.31057925654813,0.22889867129146,0.535790094692255,-6.07653677650705
"ANKRD28",-1.06703012,-0.26620265,-1.31051075634769,0.2289206742054,0.535790094692255,-6.07661860573775
"DEGS1",0.327393846666667,0.321463265,1.3100591995945,0.229065764086041,0.535790094692255,-6.07715796158815
"ZNF804A",-0.657169176666667,-0.998238096666667,-1.31001894196534,0.229078703123498,0.535790094692255,-6.07720604115726
"NSMCE1-DT",-0.5373199,-0.682068966666667,-1.30948071442654,0.229251753044194,0.53600056608485,-6.07784875646897
"RIDA",0.275802615,0.240400315833333,1.30908381858137,0.229379434326396,0.536104849586466,-6.07832259767488
"RNF10",-0.258758863333333,-0.353362083333333,-1.30830703788068,0.229629501556946,0.536494994043074,-6.07924971250997
"ARHGEF12",0.28978276,0.265909073333333,1.30743662955392,0.229909988755962,0.536955902078257,-6.08028816805323
"TBX1",0.5176905,0.8634588,1.30622978625729,0.230299378946135,0.537670728053331,-6.08172730051211
"PDCD11",-0.33895143,-0.244612853333333,-1.30481734990347,0.230755824217849,0.53848314556819,-6.08341054503093
