"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C15orf48",1.89404775,2.02673768333333,8.56670070963175,3.72776836704641e-05,0.00308401144519878,2.83240557109848
"CHIT1",4.197854975,5.16876981666667,8.44264596321506,4.12379851391363e-05,0.00332635897628559,2.72871624440943
"ATAD2",1.9753523,1.83341941666667,8.38767484900945,4.31418541445754e-05,0.00343696771351784,2.68230178333445
"CDT1",2.018853675,2.00477218333333,8.21135856708839,4.99451291591214e-05,0.00393043803004647,2.53145661820896
"GAS1",1.6914599,1.40354435,8.17676166552109,5.14165891253723e-05,0.00397839819494145,2.50149961050254
"DEPDC1B",2.18369505,2.14356563333333,8.16821302106423,5.17876101619529e-05,0.00397839819494145,2.49407914516936
"TM4SF1",1.9955324,1.98561875,8.12901093049356,5.35278468178897e-05,0.00406370818253932,2.4599573216308
"SPARC",4.21228675,4.43204878333333,8.00853458931045,5.9299210992182e-05,0.00430998400454192,2.35412650381542
"TCEA3",2.148576225,1.57412641916667,8.00569389718415,5.94434490011206e-05,0.00430998400454192,2.35161337490727
"SPSB1",1.85489465,1.7263112,7.94967842034021,6.23693915718769e-05,0.0044515358452114,2.30188838789495
"SERPINI1",2.4948925,2.47471468333333,7.94213811451493,6.27754163821847e-05,0.0044515358452114,2.29517024329815
"SLC28A3",3.9553554,4.3266182,7.90236338411621,6.49667056542092e-05,0.00449590032742277,2.25963521542821
"PTTG2",2.340552575,2.61018531666667,7.86755143762913,6.69549433882466e-05,0.00454800262825637,2.22839935740505
"SLC1A4",1.385448225,1.40492471666667,7.79560482060373,7.12834013268377e-05,0.00479158113293837,2.16344227222048
"CDC20",2.001800525,2.11303901666667,7.75654068940779,7.37640413628786e-05,0.0049072098857181,2.1279449236749
"ALPK3",1.993518125,1.93282088333333,7.73323882965183,7.52896207880156e-05,0.00491158512964927,2.10669363598645
"CD9",1.813132275,1.951571,7.69156170901838,7.81069850068825e-05,0.00504024374249413,2.06853981008677
"PTTG1",2.6349671,2.82147566666667,7.49073111223526,9.34438581779871e-05,0.00580925683483831,1.88205591946964
"CA11",2.454087225,2.20648015666667,7.40731282556653,0.000100780743454637,0.00619369654774071,1.80329414204886
"SMC4",1.5921171,1.48581713333333,7.38731196788111,0.000102634049081029,0.00621052254728523,1.78429433891485
"CD1E",5.772772075,5.28936926666667,7.38362978085791,0.000102979375880911,0.00621052254728523,1.78079155487237
"ATL1",1.854171975,1.90687783333333,7.3327177203556,0.000107889452517626,0.00638725355134163,1.73220348618766
"ZBTB8A",1.72425785,1.70300955,7.30244044941226,0.000110933079154223,0.00648191955841611,1.70316924431366
"IL1R1",2.3126626,1.98087676,7.29692812734495,0.000111497454049928,0.00648191955841611,1.69787202150655
"DIRAS1",2.224723575,2.37289031666667,7.23797587477626,0.000117737844675279,0.00678359206865695,1.64100322384938
"KIF14",2.346610075,2.18513195,7.22309066314154,0.000119374497008621,0.0068170232672268,1.62658107869182
"MCM8",1.621609675,1.58366775,7.20576083876374,0.000121311996753126,0.00686689750042036,1.60975822278812
"CENPN",1.96447535,1.90767286666667,7.19017369684629,0.000123084665020837,0.00690665515982139,1.59459745203811
"RNF128",2.74195085,3.08151446666667,7.00146833087055,0.000147002488458314,0.00817764705190951,1.40880358110755
"MKI67",2.789100775,2.68606973333333,6.9868264987127,0.000149064718525777,0.0082214925525371,1.39421193369745
"APOLD1",1.688135375,1.59234285,6.94344958196188,0.000155365854681779,0.00838744167401864,1.35083332081726
"CRNDE",2.073859825,2.04812393333333,6.93708245034359,0.000156315513513949,0.00838744167401864,1.3444469552927
"PPM1J",2.380980875,2.06193585,6.92259944441371,0.000158499840098051,0.00838744167401864,1.32990204062281
"POC1A",1.428876275,1.3729608,6.91361339894726,0.000159872202991522,0.00838744167401864,1.32086488331313
"PRRX2",2.973676875,2.76462956666667,6.83419631160449,0.000172593325140845,0.00898181231559575,1.24057112628355
"BRCA1",1.729036175,1.61578048333333,6.81915451775008,0.000175127608952719,0.00904078768457518,1.22527684923347
"PRIM1",1.482889425,1.40646998333333,6.80209414810718,0.000178052271768758,0.0090931863300639,1.20789661177762
"CENPE",1.83879185,1.80005375,6.79685735476185,0.0001789608963146,0.0090931863300639,1.20255447713489
"ARFGEF3",2.22767555,2.750809,6.76182130828743,0.000185174424065955,0.00926302758525276,1.16672694622571
"DEPDC1",1.976347925,1.81973783333333,6.75388247695947,0.000186615499328708,0.00926330628590885,1.15858775621379
"RAP2A",1.537657725,1.38996409333333,6.74453474882447,0.000188328350722459,0.00927696829932848,1.14899413270002
"SPON2",2.7904153,2.92701453333333,6.71536193018176,0.000193787459585903,0.00940233441133707,1.11898435677913
"CD109",2.06137085,2.19748353333333,6.68201541785783,0.000200244421434058,0.00964311381726849,1.08455165493718
"EBP",1.500898825,1.72842866666667,6.57115980048807,0.000223492938443976,0.0104174284133542,0.969083940707027
"CCL22",2.428918125,2.25061623333333,6.52247208172088,0.000234640407688198,0.0107385429135599,0.917879575092551
"PPBP",2.5629393,4.50272653333333,6.35606777054796,0.000277672361911757,0.0122727380234012,0.740576425333379
"RGS16",3.069043875,3.09788991666667,6.31037551409418,0.00029097470936134,0.0124348331093293,0.691261885945478
"P2RY14",3.700688925,2.79283315,6.26756090145491,0.000304084304931958,0.0128367213292168,0.644804057061153
"KIF23",1.556793225,1.53993988333333,6.25896094358788,0.000306795922568425,0.0128555460281432,0.635443116090836
"ITGA3",1.8743732,2.20522913333333,6.18857947372171,0.000330024390883526,0.0133565311626173,0.558464866698448
"CLU",1.904528625,2.00280381666667,6.18389010804992,0.000331640057374892,0.0133565311626173,0.553312520574416
"KBTBD8",1.65611231,1.49761645666667,6.17731894733778,0.000333918864419399,0.0133565311626173,0.546087643127144
"CKS1BP2",1.731456525,1.79955848333333,6.1733307323441,0.000335310405756083,0.0133565311626173,0.541699852449353
"TMEM97",1.39293385,1.43731785,6.15679762037036,0.000341148066635399,0.0135056961594983,0.523487578383691
"TMEM217",1.49561811,1.53937364,6.13559224284322,0.000348801193655835,0.0136983053973393,0.500074809924245
"FBP1",3.454266075,3.86704538333333,6.11409444192963,0.000356754817130095,0.0137852624846737,0.476277421708104
"RHBDF1",1.640309475,1.79539611666667,6.07433667897544,0.000371999797644588,0.0142042289597664,0.432102421124267
"FANCI",1.3894205,1.5464766,5.89297104795158,0.000451345232463793,0.0163625325004992,0.227851297242538
"STIL",1.646840575,1.38529110833333,5.87477338988216,0.000460289987473409,0.0164657303009248,0.207107270650384
"ADORA2B",2.1290245125,2.18066660833333,5.8712746627967,0.000462032135913346,0.0164657303009248,0.203113701894087
"CAPN11",3.1153615575,3.429918505,5.79750482892219,0.000500519406486658,0.0174448498871334,0.118513012643837
"TNFAIP8L3",2.02643444,2.06772201,5.75573223065133,0.000523878331096568,0.0177133070758994,0.0702694885648016
"LIG1",1.0950524575,1.097070055,5.75501511044609,0.00052428973368926,0.0177133070758994,0.069439137930023
"CA2",2.2905459425,2.41102806166667,5.71622392871859,0.000547085577842293,0.0179914380999432,0.0244148969397084
"INHBA",4.8141325,4.80381988333333,5.6669010985081,0.000577668760598266,0.018372610396364,-0.0331407395810004
"CLDN23",1.249667875,1.48450486666667,5.65369122402094,0.000586177391759591,0.018372610396364,-0.0486142211582292
"HMGB3P1",1.311670525,1.39944011666667,5.62578789560553,0.000604609495412395,0.0186569575782737,-0.0813807068240271
"ROBO4",1.656078225,1.6338923,5.6047449046205,0.00061893377589883,0.0186795300093902,-0.106164723033666
"NSD2",1.068567625,1.03332463833333,5.60307984904388,0.000620083120215478,0.0186795300093902,-0.108128496229109
"ALPK1",1.030385725,1.02372963333333,5.597887298347,0.000623682578973891,0.0186795300093902,-0.114255160064877
"PDE3B",1.7808738,1.72873673333333,5.57115816395591,0.000642580308550247,0.0187995388993249,-0.145853870580924
"GPC4",2.14302015,2.06880696666667,5.5630876452175,0.000648409951778696,0.0187995388993249,-0.155414847588289
"APBB2",1.83086884,1.82542227666667,5.55703112466822,0.000652823192452909,0.0187995388993249,-0.162596030120255
"MCM2",1.4129107125,1.33825365833333,5.52661008305248,0.000675498197514262,0.0191632516792029,-0.198745936408312
"MTBP",1.4979645,1.18454973416667,5.52003643686175,0.000680511500955429,0.0191632516792029,-0.206575049042573
"TMEM237",1.24060225,1.10625935,5.50473760963926,0.00069233881992918,0.0191745167596695,-0.22481987088117
"USP2",2.13114906,2.05714624,5.43528675434553,0.000748961769376902,0.0197643619414821,-0.308070441325385
"LONRF1",1.05903755,0.7160285995,5.4171348071677,0.000764590723830699,0.0199311408653266,-0.329944589955971
"GEM",1.77481925,1.8226162,5.40581761889703,0.000774516873976664,0.0199720412713792,-0.34360674296753
"CD226",1.918204075,2.0482304,5.37454339700859,0.000802694277792507,0.0201548100178796,-0.381458265180526
"APOC1",2.1712978,2.7610561,5.34453613720454,0.000830796582367618,0.0204623295649551,-0.417910776807636
"AMIGO1",1.648667465,1.45435592666667,5.31724091476841,0.000857303583102612,0.020569345605671,-0.451183329434579
"ACOT7",1.4881518,1.59371266666667,5.29877835613513,0.000875761204520666,0.020569345605671,-0.473750989641512
"CDS1",1.59074711,1.81483164,5.29577508558554,0.000878804892231697,0.020569345605671,-0.477426768254094
"S100A3",2.487300525,2.93904456666667,5.29103868872787,0.000883628753280769,0.020569345605671,-0.483226460240934
"CCL1",2.690499675,2.98600521666667,5.27255830563376,0.00090273144590735,0.020569345605671,-0.505887167299916
"MICALL2",1.186126,1.15006176666667,5.26681540016355,0.000908760086602555,0.020569345605671,-0.512939383250241
"PTGER3",2.72465459,2.13132248666667,5.2550912576156,0.000921205777163941,0.020569345605671,-0.527351579928734
"IL1RAP",2.4555952575,2.283772555,5.22945611245192,0.000949078055235044,0.020935185557249,-0.558934899289319
"RSPO3",3.2312281,2.41999148333333,5.22788386248237,0.000950817502548931,0.020935185557249,-0.56087512111924
"DUSP13",2.251392675,2.69567033333333,5.20969841401327,0.000971194094097482,0.02103058888997,-0.58334328660629
"APOL4",1.546555175,1.3417947,5.19646317180527,0.000986326384972939,0.0210612681151283,-0.599726230701382
"SLC7A1",1.41092205,1.12903770166667,5.1678528888507,0.00101993257117035,0.0214676850077527,-0.635229519892923
"ABCG2",1.526581275,1.5415689,5.14294717699777,0.00105021534012491,0.0214676850077527,-0.666234592277668
"SLC7A5",1.90227294,1.67006270166667,5.13941636664616,0.00105458796644314,0.0214676850077527,-0.670637549068722
"CXADR",1.633719575,2.01231548333333,5.12714748329345,0.00106993848030791,0.0216148237231367,-0.685951382615364
"MYO15A",1.765615475,1.68110443333333,5.11704555807006,0.00108276240966805,0.0216823670489925,-0.698577259713907
"IL1RN",2.141086815,2.25385521,5.0832262018303,0.00112694073976304,0.0217088396186764,-0.740956924468413
"CYCS",1.1081392825,1.24076732166667,5.07943231564038,0.00113201913802925,0.0217088396186764,-0.74572174720985
"BLM",0.999713925,0.933863023333333,5.04699113431354,0.00117648640262433,0.0217088396186764,-0.78655301794748
"CLSPN",1.7105548625,1.69616264166667,5.01196794398696,0.00122665983681916,0.021740039903794,-0.830810544869947
"P2RY13",1.0746414675,1.11988797833333,4.97989639002697,0.00127467339333066,0.021740039903794,-0.871499150688237
