"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLDN6",360.508254242652,-3.40489916665399,0.166043931933361,-20.5060138422913,1.90263178867234e-93,3.05745361154121e-92
"CLEC11A",244.431521461567,-0.468443966391228,0.105622961984403,-4.43505803653189,9.20474879568893e-06,1.63243961632903e-05
"CLEC1B",9.12527018486172,-1.26911360242236,0.245465253846774,-5.17023726386375,2.3379696603475e-07,4.4727235592308e-07
"CLEC2D",149.100369092603,-0.262004556873367,0.0898924391604375,-2.91464509496454,0.00356093237675093,0.00533079634487009
"CLEC2L",15.0480118743792,-1.50024246529613,0.241249698613017,-6.21862938657028,5.01516303866901e-10,1.08090187571847e-09
"CLEC5A",29.3000793716018,-0.64477494956803,0.20264683280909,-3.18176672504653,0.00146379667670416,0.00226166782348458
"CLGN",15.9717685117795,-1.4343446368534,0.175945740818975,-8.1521986845317,3.57366524902618e-16,9.55652404260329e-16
"CLMP",1332.81625291257,-1.12877091361997,0.0869356362766549,-12.9839840365105,1.5082628796096e-38,7.49856205538275e-38
"CLN3",3094.60700151822,-0.21231112681069,0.0490573566737817,-4.32781424043089,1.50596396627686e-05,2.63791443067123e-05
"CLN5",1141.39509845285,-0.501555112503931,0.0792393006498967,-6.32962568309321,2.45756645942251e-10,5.35228594772294e-10
"CLN6",1415.71693920548,-1.05708749103618,0.0470136860818945,-22.4846758281155,5.86271728809948e-112,1.35772611423274e-110
"CLNK",16.1381126385147,-0.960917867255985,0.304985178887407,-3.15070348913818,0.0016287775179173,0.00250647623752954
"CLNS1A",1401.28036859245,-0.575368400052027,0.0360198608408588,-15.9736430574813,1.95053004705671e-57,1.47798703431699e-56
"CLPP",804.663639265165,-0.274782274260733,0.0449179110862985,-6.11743216938135,9.50952164801352e-10,2.02353462623863e-09
"CLPSL1",1.83532755638638,-2.65217120431805,0.452927282749981,-5.85562253661383,4.75226472582018e-09,9.79813574689333e-09
"CLPSL2",1.14696150931109,-1.2391586934279,0.380162137114969,-3.25955315495596,0.00111587868326926,0.00174183312091413
"CLPX",1573.40875236855,-0.133754832634597,0.0288523541249835,-4.63583775712698,3.55494726210158e-06,6.43525376048566e-06
"CLSPN",286.071063288134,-2.14846967523289,0.0725096821171181,-29.6301074905097,6.12004748756735e-193,6.92360972268494e-191
"CLTA",7666.15493607662,-0.497300683476053,0.0456741593706477,-10.8880095513185,1.31482499434497e-27,4.94584045254353e-27
"CLTC",14243.307016595,-0.2698626166274,0.0381289878450798,-7.07762340096376,1.46647592284214e-12,3.47548803081872e-12
"CLUAP1",339.415374769303,-0.724861140157658,0.0443864985384718,-16.3306672980611,5.97274793409575e-60,4.81094320957104e-59
"CLUH",2301.04335114489,-0.572880835996956,0.0576802827571016,-9.93200464029318,3.02119634904934e-23,1.00867033486189e-22
"CLUL1",14.0731798348772,-1.09210565953884,0.138465091375733,-7.88722737758754,3.08974155078873e-15,8.0313023072801e-15
"CLYBL",109.339715640514,-1.27530801380841,0.0784708235769259,-16.252002409,2.16186438601384e-59,1.71930908955885e-58
"CMAS",2405.5512347909,-1.16403445531417,0.0542268419662287,-21.4660196520222,3.23574288943019e-102,6.20966230841793e-101
"CMBL",290.316198324108,-1.4398971322173,0.0645622406942969,-22.3024652913648,3.49695352621148e-110,7.81838641146848e-109
"CMC1",331.907808735139,-0.803050914521917,0.0519643917912686,-15.453869213896,7.10474703711829e-54,4.97838360055245e-53
"CMC2",349.801486913722,-0.315589031588101,0.0422456358940094,-7.47033450697456,7.99912146035242e-14,1.9793101723746e-13
"CMC4",213.01092125132,-0.412251772696142,0.0676471541278328,-6.09414805413854,1.10021799732678e-09,2.3339145328629e-09
